LQGmu1_actor,LQGmu1_higher,ReturnStepMax,Bound,Regret,ReturnMin,TimeElapsed,ReturnMax,Iteration,IWLastEpisode,Regret/t,DenMISELogLast,ReturnMean,IWMax,IWMean,LQGsigma_higher,ReturnAbsMax,TimestepsSoFar,DenMISEMeanLog,IWFirstEpisode,delta,DenMISELogFirst,IWMin,ReturnLastEpisode
1.0040467,1.0,18.273535,37411870000000.0,0.82632256,,0.10541653633117676,16.523678,1,1.04319175e-13,0.82632256,0.8943683,16.523678,1.04319175e-13,1.04319175e-13,0.14999999,16.523678,20,0.8943683,1.04319175e-13,0.0006079271,0.8943683,,16.523678
-1.1184936,-1.0,18.273535,5621791000.0,18.176323,,1.2429723739624023,16.523678,2,,9.088161,0.28467047,8.261839,3.552938e-07,1.776469e-07,0.14999999,16.523678,40,0.24294579,3.552938e-07,0.00015198177,0.20122112,,
0.57613397,0.45454547,18.98805,54063.973,18.327747,,1.8129551410675049,17.198578,3,5.39159e-24,6.109248,-0.4324469,11.240752,0.0036571936,0.0014560726,0.14999999,17.198578,60,-0.25249514,0.0007110238,6.754746e-05,-0.20424381,,17.198578
-0.9616854,-0.5555556,18.98805,6033.733,29.595203,,2.307264566421509,17.198578,4,2.3631793e-12,7.398801,-0.7112809,9.9512,0.1377506,0.035631955,0.14999999,17.198578,80,-0.58258927,0.1377506,3.7995444e-05,-0.4916889,,6.0825424
0.12525015,0.17171717,19.018682,383.27032,29.715382,,2.7804033756256104,17.22982,5,2.0143143e-12,5.943077,-0.6377788,11.406923,0.44620544,0.12498639,0.14999999,17.22982,100,-0.7651318,0.44620544,2.4317082e-05,-0.68097454,,17.22982
0.56911856,0.7171717,19.018682,369.06955,38.10356,,3.2447381019592285,17.22982,6,0.0018238787,6.3505926,-0.5010546,10.999408,5.041833,1.001074,0.14999999,17.22982,120,-0.85295314,2.0554553e-07,1.6886865e-05,-0.77781487,,8.9618225
-0.32663175,-0.33333334,19.018682,234.43814,49.297874,,3.7425496578216553,17.22982,7,6.865911e-08,7.042553,-0.62591547,10.307447,3.502006,0.5072759,0.14999999,17.22982,140,-0.8442117,3.502006,1.2406674e-05,-0.93196553,,6.155693
-0.79880285,-0.7777778,19.018682,226.9417,49.457123,,4.246612548828125,17.22982,8,0.053139284,6.1821404,-0.60993016,11.16786,3.7969866,0.58483064,0.14999999,17.22982,160,-0.8801887,0.0011089774,9.498861e-06,-0.65984076,,17.19074
-1.066662,-1.0,19.141418,127.25677,49.45524,,4.733027458190918,17.351896,9,2.187325,5.4950256,-0.70406014,11.854975,8.14667,1.8088136,0.14999999,17.351896,180,-0.91047245,9.454409e-07,7.505273e-06,-0.7774852,,17.351896
-0.0688934,0.030303031,19.141418,122.39301,49.60421,,5.245038270950317,17.351896,10,1.2355515e-11,4.9604216,-0.645619,12.389579,5.945392,0.9165565,0.14999999,17.351896,200,-0.84187967,2.8412547,6.0792704e-06,-0.88284564,,17.201021
