LQGsigma_higher,TimeElapsed,LQGmu1_actor,ReturnLastEpisode,IWMean,DenMISEMeanLog,Bound,ReturnStepMax,ReturnMax,LQGmu1_higher,ReturnMin,DenMISELogFirst,ReturnMean,ReturnAbsMax,Delta,IWMax,IWFirstEpisode,Regret/t,TimestepsSoFar,Regret,IWMin,Iteration,DenMISELogLast,IWLastEpisode
0.14999999,0.04986858367919922,1.0612043,0.9295074,1.7890302e-13,0.9217774,2104531900000.0,0.97310555,0.9295074,1.0,,0.9217774,0.9295074,0.9295074,0.0006079271,1.7890302e-13,1.7890302e-13,0.035612643,20,0.035612643,,1,0.9217774,1.7890302e-13
0.14999999,1.063445806503296,-1.3167459,0.03610443,1.1426032e-07,0.21521038,316242900.0,0.97310555,0.9295074,-1.0,,0.22863021,0.4828059,0.9295074,0.00015198177,2.2852063e-07,2.2852063e-07,0.4823141,40,0.9646282,,2,0.20179054,
0.14999999,1.762580394744873,0.31685758,0.9331017,0.00061603566,-0.91015005,2933.2185,0.9771784,0.9331017,0.45454547,,-0.17683478,0.6329045,0.9331017,6.754746e-05,0.0009332102,0.0009332102,0.3322155,60,0.9966464,,3,-2.3499408,1.4644082e-29
0.14999999,2.441676616668701,-0.69996417,0.4680027,0.027565338,-1.0976706,327.35135,0.9771784,0.9331017,-0.5555556,,-0.46420583,0.5916791,0.9331017,3.7995444e-05,0.110165924,0.110165924,0.37344092,80,1.4937637,,4,-0.7978017,2.6661587e-07
0.14999999,3.16119384765625,0.2728876,0.943496,1.0271952,-1.2311089,21.423128,0.9870885,0.943496,0.17171717,,-0.66018033,0.66204244,0.943496,2.4317082e-05,4.622793,0.5131826,0.30307758,100,1.515388,,5,-0.8994817,3.0364308e-07
0.14999999,3.876070976257324,0.70273757,0.48935273,0.109501444,-1.1414824,19.947653,0.9870885,0.943496,0.7171717,,-0.74479777,0.6332608,0.943496,1.6886865e-05,0.46978068,3.051375e-07,0.33185923,120,1.9911551,,6,-0.5341424,0.056467734
0.14999999,4.578836441040039,-0.33876118,0.27791008,0.5099299,-1.186352,12.85632,0.9870885,0.943496,-0.33333334,,-0.8989484,0.58249646,0.943496,1.2406674e-05,3.105927,3.105927,0.38262355,140,2.6783652,,7,-0.63697493,2.1961663e-10
0.14999999,5.317913055419922,-0.9363928,0.9425286,1.0954494,-1.1770985,12.909012,0.9870885,0.943496,-0.7777778,,-0.6652678,0.6275004,0.943496,9.498861e-06,8.578378,0.00082195096,0.3376196,160,2.7009568,,8,-0.6089589,0.06748344
0.14999999,6.252514362335205,0.4291434,0.9419793,1.5032194,-1.1559832,6.958065,0.9870885,0.943496,0.3131313,,-0.7829481,0.6624425,0.943496,7.505273e-06,6.755023,0.049136057,0.3026775,180,2.7240973,,9,-0.7964645,5.0411284e-15
0.14999999,6.974420785903931,-1.0495373,0.4254189,1.6646898,-1.0792693,6.7573557,0.9870885,0.943496,-1.0,,-0.8828639,0.6387402,0.943496,6.0792704e-06,9.85573,6.9445025e-07,0.32637984,200,3.2637987,,10,-0.57414955,9.172717e-20
0.14999999,7.688414096832275,0.9238549,0.9401639,0.8219979,-1.0177287,6.4803905,0.9870885,0.943496,0.85858583,,-0.97817403,0.66614234,0.943496,5.0241906e-06,4.495446,1.0587733e-09,0.29897767,220,3.288755,,11,-0.6815771,3.8213077e-35
0.14999999,8.116041660308838,0.18715645,0.104462095,0.5595056,-1.0155696,6.500561,0.9870885,0.943496,0.01010101,,-1.0651854,0.61933565,0.943496,4.221716e-06,4.3538027,4.3538027,0.34578437,240,4.149412,,12,-0.7257761,4.807984e-08
0.14999999,8.586403369903564,-0.16667685,0.516885,0.8808359,-1.0224983,6.2250824,0.9870885,0.943496,-0.25252524,,-0.8356743,0.61145484,0.943496,3.5972016e-06,6.4183445,4.8646684,0.35366517,260,4.597647,,13,-0.6450401,0.069060035
0.14999999,9.450920581817627,0.5919965,0.93228453,0.8275419,-1.0082462,6.146795,0.9870885,0.943496,0.57575756,,-0.59190667,0.6343713,0.943496,3.1016684e-06,4.86956,3.9187045e-05,0.33074874,280,4.6304827,,14,-0.59158725,2.3016037e-05
0.14999999,10.033045768737793,-0.5203841,0.34426773,0.68463874,-1.0032734,6.078878,0.9870885,0.943496,-0.67676765,,-0.6608968,0.615031,0.943496,2.7018984e-06,8.071723,0.010907166,0.350089,300,5.251335,,15,-0.7052468,1.5678408e-15
