TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,DenMISELogLast,LQGmu1_higher,DenMISEMeanLog,ReturnStepMax,Bound,Iteration,IWMin,IWMax,DenMISELogFirst,Regret/t,IWMean,IWFirstEpisode,LQGmu1_actor,ReturnMin,ReturnLastEpisode,Regret,ReturnMax,TimeElapsed,Delta,LQGsigma_higher
20,0.9197922,2.7882963e-11,0.9197922,0.9160106,1.0,0.9160106,0.96165305,2082535200000.0,1,,2.7882963e-11,0.9160106,0.045327842,2.7882963e-11,2.7882963e-11,0.8973539,,0.9197922,0.045327842,0.9197922,0.12258315086364746,0.0006079271,0.14999999
40,0.9197922,4.5668466e-35,0.54427546,0.050895974,-1.0,0.1368797,0.96165305,312937570.0,2,,3.6718044e-09,0.22286342,0.42084455,1.8359022e-09,3.6718044e-09,-1.162922,,0.16875876,0.8416891,0.9197922,1.1711373329162598,0.00015198177,0.14999999
60,0.95089334,3.0504536e-25,0.6798148,-0.71028835,0.45454547,-0.41581973,0.9941332,2989.1528,3,,0.04857881,-0.18260169,0.2853052,0.020158274,0.011896013,0.3355454,,0.95089334,0.85591555,0.95089334,2.073134660720825,6.754746e-05,0.14999999
80,0.95089334,1.1655341e-07,0.63662785,-0.70270586,-0.5555556,-0.6982976,0.9941332,333.57047,4,,0.013563329,-0.46632627,0.32849216,0.0038874308,0.013563329,-0.8143331,,0.507067,1.3139687,0.95089334,2.7076869010925293,3.7995444e-05,0.14999999
100,0.95189726,2.9929663e-09,0.6996817,-1.0013746,0.17171717,-0.9366515,0.9950402,21.791298,5,,3.697265,-0.68608475,0.26543832,1.1039522,1.8224442,0.111582056,,0.95189726,1.3271916,0.95189726,3.1617367267608643,2.4317082e-05,0.14999999
120,0.95189726,0.0007299046,0.68757176,-0.5017832,0.7373737,-0.87204796,0.9950402,20.237383,6,,4.22524,-0.55762637,0.27754825,0.7256706,5.3417184e-06,0.86752975,,0.62702215,1.6652894,0.95189726,3.744541883468628,1.6886865e-05,0.14999999
140,0.95189726,3.7822987e-26,0.6164258,-0.64131874,-0.7777778,-0.8920246,0.9950402,13.247699,7,,9.838794,-0.7117762,0.3486942,1.4722843,3.814772e-05,-0.63187623,,0.18954986,2.4408598,0.95189726,4.2725160121917725,1.2406674e-05,0.14999999
160,0.953255,0.7109051,0.65852946,-0.66122127,-0.33333334,-0.862216,0.99639696,12.860772,8,,1.0029182,-0.8453021,0.30659056,0.22678325,1.0029182,-0.4717934,,0.953255,2.4527245,0.953255,5.065966606140137,9.498861e-06,0.14999999
180,0.953255,0.01974147,0.691209,-0.69902533,0.030303031,-0.9248074,0.99639696,7.081733,9,,5.6380854,-0.8449779,0.273911,1.3261534,5.419467,0.05689504,,0.9526454,2.465199,0.953255,5.635566473007202,7.505273e-06,0.14999999
200,0.953255,0.9795621,0.69371784,-0.46021396,0.3131313,-0.8680707,0.99639696,6.8074813,10,,6.822693,-0.47898382,0.27140218,0.98625576,0.24011286,0.21991569,,0.7162971,2.7140222,0.953255,6.091757297515869,6.0792704e-06,0.14999999
220,0.953255,1.6152237e-07,0.68257624,-0.45474213,-0.65656567,-0.84398454,0.99639696,6.532387,11,,6.418225,-0.5505665,0.28254378,1.212017,0.0011999472,-0.29319522,,0.5711602,3.1079822,0.953255,6.559168577194214,5.0241906e-06,0.14999999
240,0.953255,0.00010156914,0.7050374,-0.9286688,-1.0,-0.84689426,0.99639696,6.4702816,12,,11.180304,-0.63746876,0.2600826,1.1583254,8.679949e-09,-1.0542026,,0.95211047,3.1209908,0.953255,7.1341328620910645,4.221716e-06,0.14999999
260,0.953255,3.263793e-26,0.7239902,-0.8494007,0.5959596,-0.8543612,0.99639696,6.4902196,13,,1.8200489,-0.7175115,0.24112982,0.34692824,0.0005564341,0.76162255,,0.9514241,3.1346874,0.953255,8.028428554534912,3.5972016e-06,0.14999999
280,0.953255,8.520978e-10,0.6918974,-0.99396014,-0.25252524,-0.9096104,0.99639696,6.410807,14,,7.570323,-0.7915766,0.27322263,0.9478408,2.2980313,-0.2669633,,0.27469066,3.825117,0.953255,8.956509351730347,3.1016684e-06,0.14999999
300,0.953255,1.1514712e-12,0.7092603,-0.7039725,0.8787879,-0.9060015,0.99639696,6.421362,15,,9.89959,-0.7085825,0.25585973,1.6694946,2.8770138e-08,1.3151934,,0.9523404,3.8378954,0.953255,9.868165016174316,2.7018984e-06,0.14999999
320,0.953255,7.5903294e-29,0.66904587,-3.873192,-0.45454547,-1.0696307,0.99639696,5.832097,16,,6.358813,-0.77312106,0.29607415,0.9766338,0.14403114,-0.4373807,,0.06582976,4.7371864,0.953255,10.525107145309448,2.3747152e-06,0.14999999
340,0.953255,0.09448655,0.68569994,-0.60504967,-0.85858583,-1.0482646,0.99639696,5.289948,17,,5.887598,-0.824784,0.27942008,0.7757555,2.6782932e-06,-0.83489645,,0.9521657,4.75014,0.953255,11.386507987976074,2.103554e-06,0.14999999
360,0.953255,2.5842319e-08,0.7005112,-0.59758973,0.09090909,-1.0384271,0.99639696,5.297927,18,,6.5888696,-0.8819423,0.2646088,1.3446381,4.207321,-0.1448038,,0.9523023,4.7629585,0.953255,12.172614336013794,1.8763183e-06,0.14999999
380,0.953255,5.76556,0.7135795,-0.789817,-0.17171717,-1.01437,0.99639696,5.296991,19,,5.76556,-0.72595924,0.25154054,1.2120733,3.8926098,-0.31315047,,0.9488076,4.77927,0.953255,12.9086172580719,1.6840087e-06,0.14999999
400,0.953255,1.1356794e-16,0.7254863,-0.62688684,1.0,-0.98864126,0.99639696,5.0432396,20,,17.580809,-0.59087735,0.23963374,1.5639977,1.2582642e-10,0.8129181,,0.9517159,4.792675,0.953255,13.655851125717163,1.5198176e-06,0.14999999
420,0.953255,1.980154e-14,0.7020288,-0.9282575,-0.41414142,-0.97321063,0.99639696,4.9785156,21,,5.5776854,-0.6396675,0.2630912,1.2166367,0.2526364,-0.3722483,,0.23287967,5.5249157,0.953255,14.39313817024231,1.3785193e-06,0.14999999
440,0.953255,0.0007171553,0.7134024,-0.53876245,-1.0,-0.9473393,0.99639696,4.898169,22,,9.550069,-0.674229,0.25171763,1.0890037,9.004965e-09,-0.9901991,,0.9522476,5.5377884,0.953255,15.274975299835205,1.2560477e-06,0.14999999
460,0.953255,6.893501e-17,0.72376966,-0.7359687,0.33333334,-0.9396755,0.99639696,4.806299,23,,7.8500147,-0.7186808,0.24135035,0.71404207,0.21882883,0.18018381,,0.95184994,5.551058,0.953255,16.484766006469727,1.1492007e-06,0.14999999
480,0.953255,0.015191049,0.71792036,-0.7696064,0.6969697,-0.9466916,0.99639696,4.6741953,24,,7.3265305,-0.7517711,0.24719965,0.8450775,2.5588217e-05,0.8437026,,0.5833871,5.9327908,0.953255,17.438026905059814,1.055429e-06,0.14999999
500,0.953255,8.0666455e-23,0.697529,-0.89835536,-0.6969697,-0.95343137,0.99639696,4.6064672,25,,5.7016,-0.792592,0.267591,0.76770765,0.0004934171,-0.58199155,,0.20813589,6.6897755,0.953255,18.44163489341736,9.726833e-07,0.14999999
520,0.953255,0.8305092,0.7073419,-0.6929244,-0.2929293,-0.95357406,0.99639696,4.562966,26,,5.39923,-0.831793,0.2577781,1.2957118,1.5953842,-0.3261981,,0.952665,6.7022305,0.953255,18.975630044937134,8.993004e-07,0.14999999
540,0.953255,0.6596099,0.71635234,-0.5513542,-0.030303031,-0.93050236,0.99639696,4.46292,27,,5.9410625,-0.80998135,0.24876767,1.0393065,5.9410625,-0.2394741,,0.9506219,6.716728,0.953255,19.423906803131104,8.3391916e-07,0.14999999
560,0.953255,1.0932335,0.72467995,-0.56135136,-0.4949495,-0.9176641,0.99639696,4.3888865,28,,5.1007867,-0.6474659,0.24044007,1.1485656,0.058935624,-0.5523687,,0.9495263,6.7323227,0.953255,19.932926654815674,7.754171e-07,0.14999999
580,0.953255,0.055864178,0.7325338,-0.58973795,-1.0,-0.9029149,0.99639696,4.2933054,29,,8.739628,-0.68045455,0.2325862,1.0154543,9.061201e-09,-1.1373149,,0.9524436,6.744999,0.953255,20.384679317474365,7.2286224e-07,0.14999999
600,0.953255,4.6079387e-26,0.7397911,-1.3633947,0.5151515,-0.92055935,0.99639696,4.2363696,30,,3.6298394,-0.7143561,0.22532892,0.33289015,0.004831141,0.10131177,,0.9502507,6.7598667,0.953255,20.82813811302185,6.754746e-07,0.14999999
620,0.953255,5.2303753,0.7368853,-0.85873944,0.1919192,-0.9399043,0.99639696,4.298654,31,,6.691706,-0.7469849,0.22823471,1.1167798,1.5770159,0.0770367,,0.64971095,7.0752754,0.953255,21.63775062561035,6.325984e-07,0.14999999
640,0.953255,0.6591336,0.73560536,-0.7317358,-0.23232323,-0.9319284,0.99639696,4.1766834,32,,5.1093187,-0.7291138,0.22951466,1.253613,2.5727084,-0.15890872,,0.69592845,7.344469,0.953255,22.210364818572998,5.936788e-07,0.14999999
660,0.953255,1.2105554e-09,0.74202865,-0.5916898,0.83838385,-0.9155138,0.99639696,4.1165733,33,,8.423041,-0.68255675,0.22309136,1.2428919,1.42551e-07,0.9737458,,0.947574,7.362015,0.953255,22.654746294021606,5.582434e-07,0.14999999
680,0.953255,2.1090937e-29,0.72335327,-1.1672289,-0.7777778,-0.91910577,0.99639696,4.0537844,34,,5.9759293,-0.71240973,0.24176675,0.75841844,3.817192e-05,-0.72944427,,0.1070641,8.220068,0.953255,23.10460376739502,5.258885e-07,0.14999999
