Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
0.0006079271,,0.8943683,0.88406336,1.0040467,20,1.0,1.04319175e-13,0.88406336,1.04319175e-13,1.04319175e-13,2001640400000.0,,1,1.04319175e-13,0.081056654,0.92896473,0.081056654,0.88406336,0.14999999,0.027095794677734375,0.8943683,0.8943683,0.88406336
0.00015198177,,0.28467047,0.009570503,-1.1184936,40,-1.0,,0.88406336,1.776469e-07,3.552938e-07,300781660.0,,2,3.552938e-07,0.5183031,0.92896473,1.0366062,0.88406336,0.14999999,1.1984577178955078,0.24294579,0.20122112,0.44681692
6.754746e-05,,-0.4324469,0.90811664,0.57613397,60,0.45454547,5.39159e-24,0.90811664,0.0014560726,0.0007110238,2854.6777,,3,0.0036571936,0.36453652,0.9534135,1.0936095,0.90811664,0.14999999,1.8021905422210693,-0.25249514,-0.20424381,0.6005835
3.7995444e-05,,-0.7112809,0.32616517,-0.9616854,80,-0.5555556,2.3631793e-12,0.90811664,0.035631955,0.1377506,318.59262,,4,0.1377506,0.43314105,0.9534135,1.7325642,0.90811664,0.14999999,2.781223773956299,-0.58258927,-0.4916889,0.53197896
2.4317082e-05,,-0.6377788,0.9146891,0.12525015,100,0.17171717,2.0143143e-12,0.9146891,0.12498639,0.44620544,20.347616,,5,0.44620544,0.35659903,0.9596401,1.7829952,0.9146891,0.14999999,3.7607576847076416,-0.7651318,-0.68097454,0.608521
1.6886865e-05,,-0.5010546,0.47594878,0.56911856,120,0.7171717,0.0018238787,0.9146891,1.001074,2.0554553e-07,19.597277,,6,5.041833,0.37869442,0.9596401,2.2721663,0.9146891,0.14999999,4.461294412612915,-0.85295314,-0.77781487,0.5864256
1.2406674e-05,,-0.62591547,0.32997057,-0.32663175,140,-0.33333334,6.865911e-08,0.9146891,0.5072759,3.502006,12.4491825,,7,3.502006,0.4153309,0.9596401,2.9073162,0.9146891,0.14999999,5.226812124252319,-0.8442117,-0.93196553,0.54978913
9.498861e-06,,-0.60993016,0.9129452,-0.79880285,160,-0.7777778,0.053139284,0.9146891,0.58483064,0.0011089774,12.047276,,8,3.7969866,0.36993635,0.9596401,2.9594908,0.9146891,0.14999999,6.049788236618042,-0.8801887,-0.65984076,0.5951837
7.505273e-06,,-0.70406014,0.9200353,-1.066662,180,-1.0,2.187325,0.9200353,1.8088136,9.454409e-07,6.745342,,9,8.14667,0.33384174,0.96476233,3.0045757,0.9200353,0.14999999,6.777222633361816,-0.91047245,-0.7774852,0.6312783
6.0792704e-06,,-0.645619,0.910766,-0.0688934,200,0.030303031,1.2355515e-11,0.9200353,0.9165565,2.8412547,6.49232,,10,5.945392,0.305893,0.96476233,3.05893,0.9200353,0.14999999,7.522088527679443,-0.84187967,-0.88284564,0.659227
5.0241906e-06,,-0.5966713,0.80723614,0.3695858,220,0.33333334,0.13260238,0.9200353,0.58616376,0.02391692,6.3085313,,11,2.26942,0.2924376,0.96476233,3.216814,0.9200353,0.14999999,8.248338222503662,-0.8376947,-0.7280779,0.6726824
4.221716e-06,,-0.63323855,0.41868344,-0.36306345,240,-0.23232323,0.0015970926,0.9200353,1.1911553,5.3621264,6.3098173,,12,5.7779574,0.31360418,0.96476233,3.7632499,0.9200353,0.14999999,8.976332426071167,-0.8556282,-0.81291735,0.65151584
3.5972016e-06,,-0.7220674,0.91647136,0.8454203,260,0.85858583,2.1627817e-14,0.9200353,0.7326222,4.086305e-10,6.343957,,13,6.993899,0.29322302,0.96476233,3.8118992,0.9200353,0.14999999,9.721149444580078,-0.84230304,-0.52357554,0.671897
3.1016684e-06,,-0.82166374,0.14485532,0.43570957,280,0.5959596,1.5173144,0.9200353,1.3251133,1.40750435e-05,6.076136,,14,7.5075054,0.33086884,0.96476233,4.632164,0.9200353,0.14999999,10.46161699295044,-0.8656169,-0.5976835,0.6342512
2.7018984e-06,,-0.7069381,0.39346278,-0.7066576,300,-0.6969697,2.238634e-12,0.9200353,0.55985415,0.008835865,5.7784634,,15,5.7240787,0.34692138,0.96476233,5.20382,0.9200353,0.14999999,11.202195644378662,-0.8461282,-0.6666753,0.61819863
2.3747152e-06,,-0.75011563,0.92119014,0.01797676,320,-0.43434343,1.083729,0.92119014,0.8348036,1.0549088,5.695498,,16,5.813815,0.3279844,0.96585214,5.2477503,0.92119014,0.14999999,11.94796895980835,-0.86958265,-0.730625,0.6371356
2.103554e-06,,-0.8358244,0.5403175,-0.8468515,340,-1.0,6.1195105e-10,0.92119014,1.471314,8.992547e-07,5.3315077,,17,7.976981,0.33367956,0.96585214,5.672552,0.92119014,0.14999999,12.70039701461792,-0.8811807,-0.7274003,0.63144046
1.8763183e-06,,-0.66935635,0.9187879,-0.7607155,360,-0.8181818,5.1001616,0.92119014,1.1441555,0.00040053762,5.0012894,,18,5.353518,0.31771588,0.96585214,5.7188854,0.92119014,0.14999999,13.865219116210938,-0.8542416,-0.78455865,0.64740413
1.6840087e-06,,-0.5353496,0.9212722,-0.25256982,380,-0.07070707,0.0001154437,0.9212722,1.1980101,5.12407,4.9785147,,19,6.531275,0.30330175,0.96594566,5.7627335,0.9212722,0.14999999,14.784780502319336,-0.83448523,-0.8386036,0.66181827
1.5198176e-06,,-0.69720286,0.90709925,1.152637,400,1.0,3.853669e-15,0.9212722,0.7937089,4.8928705e-13,4.9525237,,20,11.039082,0.29103768,0.96594566,5.820754,0.9212722,0.14999999,15.53944730758667,-0.82307756,-0.6511258,0.67408234
1.3785193e-06,,-1.7633085,0.00487205,0.26992032,420,0.23232323,1.03858696e-07,0.9212722,0.83360153,0.17084822,4.810005,,21,5.302438,0.32290483,0.96594566,6.781002,0.9212722,0.14999999,16.004629850387573,-0.88296527,-0.69991595,0.6422152
