DenMISELogFirst,LQGmu1_higher,IWFirstEpisode,ReturnMax,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,Iteration,TimestepsSoFar,IWMean,IWLastEpisode,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,IWMin,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret/t,ReturnMin,ReturnStepMax,Delta,IWMax
0.9761759,1.0,1.3200675e-12,0.86320937,1954424300000.0,0.14999999,0.10191065,0.9761759,1,20,1.3200675e-12,1.3200675e-12,0.9761759,1.0938538,0.86320937,,0.86320937,0.057314157485961914,0.86320937,0.10191065,,0.90732294,0.0006079271,1.3200675e-12
0.28302875,-1.0,4.4541196e-08,0.86320937,293686620.0,0.14999999,1.062996,0.18615885,2,40,2.2270598e-08,,0.08928895,-0.9053986,0.86320937,,0.433622,1.0532236099243164,0.004034651,0.531498,,0.90732294,0.00015198177,4.4541196e-08
-0.12243634,0.45454547,0.002555966,0.9157517,2878.679,0.14999999,1.1123643,-0.2526396,3,60,0.0009901876,5.1818936e-18,-0.31930628,0.40007073,0.9157517,,0.5943319,1.8039047718048096,0.9157517,0.3707881,,0.9607124,6.754746e-05,0.002555966
-0.4092668,-0.5555556,0.04812234,0.9157517,321.32343,0.14999999,1.6708853,-0.5223901,4,80,0.09241733,6.5352825e-09,-0.46958527,-0.54934806,0.9157517,,0.5473987,2.686659097671509,0.40659916,0.41772133,,0.9607124,3.7995444e-05,0.32154697
-0.62045157,0.17171717,0.85319257,0.9206487,20.67206,0.14999999,1.7153566,-0.7005949,5,100,0.5044146,4.697882e-05,-0.6101177,0.041929483,0.9206487,,0.62204874,3.517005443572998,0.9206487,0.34307128,,0.96527374,2.4317082e-05,1.6688335
-0.64522374,0.7171717,1.2873074e-06,0.9206487,19.482332,0.14999999,2.1976295,-0.74708337,6,120,0.13732429,0.00017678009,-0.51348335,0.64028084,0.9206487,,0.5988484,4.464509725570679,0.48284703,0.36627162,,0.96527374,1.6886865e-05,0.5120732
-0.7993742,-0.33333334,1.942921,0.9206487,12.657243,0.14999999,2.8747225,-0.84317046,7,140,0.65787035,3.5388936e-09,-0.6273615,-0.4051051,0.9206487,,0.5544454,5.398681402206421,0.28802714,0.41067463,,0.96527374,1.2406674e-05,2.4298284
-0.6879535,-0.7777778,0.0002591241,0.9206487,12.543262,0.14999999,2.9218974,-0.85971785,8,160,1.0418092,0.2249847,-0.61642766,-0.5742347,0.9206487,,0.59988284,6.223013401031494,0.9179446,0.36523718,,0.96527374,9.498861e-06,6.2857113
-0.8057041,0.030303031,3.8557067,0.9206487,6.6146693,0.14999999,2.9672127,-0.85568035,9,180,1.1884962,0.0015817167,-0.69403964,0.36166337,0.9206487,,0.6354297,6.953551769256592,0.9198054,0.32969034,,0.96527374,7.505273e-06,6.4379315
-0.5545014,0.33333334,0.05930109,0.9206487,6.650854,0.14999999,3.5118523,-0.86755085,10,200,1.4864521,6.867274,-0.96642107,0.16858096,0.9206487,,0.6139348,7.650426864624023,0.4204804,0.3511852,,0.96527374,6.0792704e-06,6.867274
