MountainCar_std0_higher,MountainCar_mu0_higher,ActionIn1,AvgEpLen,TimeElapsed,MountainCar_mu1_higher,NumTrajectories,MountainCar_std1_higher,MinEpLen,Iteration,Regret/t,ReturnMean,ReturnLastEpisode,GridSize,Regret
0.14999999,-1.0,-10.286739,999.0,0.4807109832763672,-10.0,1,1.5,999,1,6.446614006830705,-1.4466140068307056,-1.4466140068307056,400,6.446614006830705
0.14999999,0.47368422,-0.048531175,999.0,0.935457706451416,-1.5789474,2,1.5,999,2,5.939159311768476,-0.9391593117684762,-0.4317046167062469,400,11.878318623536952
0.14999999,-1.0,4.561049,845.3333333333334,1.1966650485992432,6.8421054,3,1.5,538,3,6.141843290837801,-1.1418432908377998,-1.547211248976447,400,18.4255298725134
0.14999999,1.0,-3.9717102,883.75,1.6552441120147705,-5.7894735,4,1.5,538,4,8.146614261257712,-3.1466142612577115,-9.160927172517447,400,32.58645704503085
0.14999999,1.0,4.535533,906.8,2.0721375942230225,2.631579,5,1.5,538,5,8.782380353642676,-3.7823803536426768,-6.325444723182539,400,43.91190176821338
0.14999999,1.0,7.9830832,922.1666666666666,2.49194598197937,10.0,6,1.5,538,6,8.751463633921105,-3.751463633921105,-3.596880035313248,400,52.50878180352663
0.14999999,-1.0,-1.2509869,933.1428571428571,2.9616291522979736,0.5263158,7,1.5,538,7,8.514460763813215,-3.5144607638132155,-2.092443543165876,400,59.60122534669251
0.14999999,-1.0,-3.343382,941.375,3.452836513519287,-3.6842105,8,1.5,538,8,8.31849074935704,-3.3184907493570384,-1.9467006481637983,400,66.54792599485631
0.14999999,1.0,3.0481863,947.7777777777778,3.945929765701294,5.7894735,9,1.5,538,9,8.642488135351273,-3.6424881353512717,-6.23446722330514,400,77.78239321816146
0.14999999,1.0,-9.661465,952.9,4.432646036148071,-8.947369,10,1.5,538,10,8.547429201512568,-3.547429201512567,-2.691898796964225,400,85.47429201512568
0.14999999,-1.0,7.3962398,921.4545454545455,4.7406206130981445,8.947369,11,1.5,538,11,8.380740923944032,-3.3807409239440305,-1.7138581482586668,400,92.18815016338435
0.14999999,-1.0,-10.364165,927.9166666666666,5.290359973907471,-7.894737,12,1.5,538,12,8.249531075477622,-3.2495310754776194,-1.8062227423470991,400,98.99437290573145
0.14999999,-1.0,3.4176164,899.5384615384615,5.582313776016235,3.6842105,13,1.5,538,13,8.06212250831954,-3.062122508319537,-0.813219702422552,400,104.80759260815401
0.14999999,-1.0,0.49796367,906.6428571428571,6.103891849517822,-1.5789474,14,1.5,538,14,8.024950711552966,-3.0249507115529646,-2.541717353587525,400,112.34930996174154
0.14999999,1.0,2.4625669,912.8,6.677501201629639,-0.5263158,15,1.5,538,15,8.098611745930052,-3.0986117459300497,-4.129866227209239,400,121.47917618895077
