IWLastEpisode,ReturnMean,TimeElapsed,Iteration,MinEpLen,ActionIn1,ReturnLastEpisode,Delta,IWMin,MountainCar_std1_higher,ReturnMax,MountainCar_std0_higher,IWMean,TimestepsSoFar,ReturnAbsMax,ReturnStepMax,NumTrajectories,AvgEpLen,MountainCar_mu1_higher,Regret/t,IWMax,Bound,DenMISELogLast,DenMISELogFirst,NumTrainableParams,ReturnMin,IWFirstEpisode,MountainCar_mu0_higher,DenMISEMeanLog,Regret,GridSize
,-0.00015651323,0.4748520851135254,1,999,-11.526329,-0.00015651323,0.0030396353,,0.14999999,,0.14999999,,999,0.00015651323,0.001456627,1,999.0,-10.0,5.0001564,,inf,1.4356552,1.4356552,2,-0.00015651323,,-1.0,1.4356552,5.0001564,400
5.4719194e-25,-1.1597964,2.3299293518066406,2,999,-9.567748,-2.3194363,0.0007599088,,0.14999999,,0.14999999,2.7359597e-25,1998,2.3194363,23.050936,2,999.0,-10.0,6.159796,5.4719194e-25,inf,-2.6427298,0.7425081,,-2.3194363,,0.47368422,-0.9501108,12.319592,400
,-1.0835816,3.9647278785705566,3,999,-8.83037,-0.931152,0.0003377373,,0.14999999,,0.14999999,,2997,2.3194363,23.050936,3,999.0,-7.894737,6.0835814,,inf,0.5442413,0.337043,,-2.3194363,,-1.0,-0.72230357,18.250744,400
4.7566486e-23,-1.3375325,5.6200010776519775,4,999,-7.1880813,-2.0993848,0.0001899772,,0.14999999,,0.14999999,1.18916214e-23,3996,2.3194363,23.050936,4,999.0,-7.894737,6.3375325,4.7566486e-23,inf,0.068196,0.049360912,,-2.3194363,,0.47368422,-0.7404402,25.35013,400
,-1.4124238,7.288566589355469,5,999,-6.7567916,-1.7119894,0.00012158541,,0.14999999,,0.14999999,4.4530664e-38,4995,2.3194363,23.050936,5,999.0,-5.7894735,6.412424,2.2265332e-37,inf,-0.6558075,-0.17378265,,-2.3194363,,-1.0,-0.90202844,32.06212,400
9.971743e-22,-1.5070559,8.941849708557129,6,999,-5.6274476,-1.9802166,8.443432e-05,,0.14999999,,0.14999999,1.6619571e-22,5994,2.3194363,23.050936,6,999.0,-5.7894735,6.5070558,9.971743e-22,inf,0.06207525,-0.3561042,,-2.3194363,,0.47368422,-0.89327925,39.042336,400
,-1.3376086,10.462252616882324,7,999,-4.537047,-0.32092515,6.203337e-05,,0.14999999,,0.14999999,,6993,2.3194363,23.050936,7,999.0,-3.6842105,6.3376083,,inf,-1.0703261,-0.51025486,,-2.3194363,,-1.0,-1.0507008,44.36326,400
9.465416e-18,-1.3663926,11.981753587722778,8,999,-3.2545636,-1.5678797,4.74943e-05,,0.14999999,,0.14999999,1.183177e-18,7992,2.3194363,23.050936,8,999.0,-3.6842105,6.3663926,9.465416e-18,inf,-0.41219768,-0.64378625,,-2.3194363,,0.47368422,-1.0877278,50.93114,400
,-1.2864469,13.671084880828857,9,999,-2.1325712,-0.64688116,3.7526363e-05,,0.14999999,,0.14999999,2.163115e-28,8991,2.3194363,23.050936,9,999.0,-1.5789474,6.286447,1.9468036e-27,inf,-0.26696452,-0.7615693,,-2.3194363,1.9468036e-27,-1.0,-1.1012279,56.578022,400
1.2935885e-14,-1.2844622,15.423103332519531,10,999,-1.0421615,-1.2666013,3.0396353e-05,,0.14999999,,0.14999999,1.293599e-15,9990,2.3194363,23.050936,10,999.0,-1.5789474,6.284462,1.2935885e-14,inf,-2.5643544,-0.8669298,,-2.3194363,1.0529297e-19,0.47368422,-1.342365,62.844624,400
,-1.2778195,16.980016946792603,11,999,0.7464504,-1.2113918,2.5120953e-05,,0.14999999,,0.14999999,,10989,2.3194363,23.050936,11,999.0,1.5789474,6.2778196,,inf,-0.7778217,-0.96224,,-2.3194363,,-1.0,-1.3776885,69.056015,400
5.910257e-19,-1.3142262,18.54874873161316,12,999,2.1392808,-1.7146986,2.110858e-05,,0.14999999,,0.14999999,4.9252143e-20,11988,2.3194363,23.050936,12,999.0,1.5789474,6.314226,5.910257e-19,inf,-0.869595,-1.0492513,,-2.3194363,2.1850486e-32,0.47368422,-1.4151078,75.77071,400
