IWMean,IWFirstEpisode,Regret/t,MountainCar_std1_higher,NumTrajectories,ReturnMax,ReturnMin,Delta,MountainCar_mu0_higher,DenMISELogFirst,TimeElapsed,Bound,Regret,ReturnStepMax,MountainCar_mu1_higher,IWMax,IWMin,DenMISELogLast,GridSize,ReturnLastEpisode,AvgEpLen,Iteration,MinEpLen,IWLastEpisode,TimestepsSoFar,ReturnAbsMax,ActionIn1,NumTrainableParams,DenMISEMeanLog,ReturnMean,MountainCar_std0_higher
2.4162014e-07,2.4162014e-07,5.0003853,1.5,1,,-0.00038532767,0.0030396353,-1.0,-24.882326,0.4284377098083496,inf,5.0003853,0.002481208,-10.0,2.4162014e-07,,-24.882326,400,-0.00038532767,999.0,1,999,2.4162014e-07,999,0.00038532767,-15.123173,2,-24.882326,-0.00038532767,0.14999999
1.4233406e+22,4.832405e-07,6.162526,1.5,2,,-2.324667,0.0007599088,-1.0,-25.575474,1.6616835594177246,inf,12.325052,23.056314,-10.0,2.8466812e+22,,-55.95519,400,-2.324667,999.0,2,999,2.8466812e+22,1998,2.324667,-11.960412,,-40.76533,-1.1625261,0.14999999
1.4233392e+22,7.248601e-07,6.3382154,1.5,3,,-2.324667,0.0003377373,-1.0,-25.980938,2.8166894912719727,inf,19.014647,23.056314,-10.0,4.2700177e+22,,-21.700294,400,-1.6895938,999.0,3,999,1373411500.0,2997,2.324667,-9.734519,,-34.68063,-1.3382154,0.14999999
1.4233443e+22,9.664815e-07,6.526771,1.5,4,,-2.324667,0.0001899772,-1.0,-26.268621,3.9064393043518066,inf,26.107084,23.056314,-10.0,5.693376e+22,,-38.01694,400,-2.0924382,999.0,4,999,1.3874737e+16,3996,2.324667,-10.572122,,-35.629105,-1.5267711,0.14999999
1.4233401e+22,1.2081008e-06,6.4692125,1.5,5,,-2.324667,0.00012158541,-1.0,-26.491764,5.097127437591553,inf,32.34606,23.056314,-10.0,7.1166994e+22,,-0.30130523,400,-1.2389789,999.0,5,999,0.3507612,4995,2.324667,-10.413768,,-28.626984,-1.4692127,0.14999999
1.4233427e+22,1.4497209e-06,6.5530076,1.5,6,,-2.324667,8.443432e-05,-1.0,-26.674086,6.287167072296143,inf,39.318047,23.056314,-10.0,8.540055e+22,,-6.6509533,400,-1.9719828,999.0,6,999,493.8359,5994,2.324667,-12.767188,,-25.004675,-1.5530077,0.14999999
1.1124859e+23,1.69134e-06,6.665187,1.5,7,,-2.3382614,6.203337e-05,-1.0,-26.828236,7.454501628875732,inf,46.656307,23.767483,-10.0,6.791064e+23,,-56.302067,400,-2.3382614,999.0,7,999,6.791064e+23,6993,2.3382614,-10.487859,,-29.503675,-1.6651868,0.14999999
1.0248511e+23,1.9329602e-06,6.651952,1.5,8,,-2.3382614,4.74943e-05,-1.0,-26.961767,8.605472803115845,inf,53.215614,23.767483,-10.0,7.060135e+23,,-2.084305,400,-1.5593054,999.0,8,999,4.2586994,7992,2.3382614,-11.151091,,-26.104187,-1.6519516,0.14999999
9.517352e+22,2.1745793e-06,6.6871247,1.5,9,,-2.3382614,3.7526363e-05,-1.0,-27.07955,9.811320304870605,inf,60.184124,23.767483,-10.0,7.284609e+23,,1.5012071,400,-1.9685112,999.0,9,999,0.15358022,8991,2.3382614,-8.457192,,-23.057823,-1.6871248,0.14999999
1.6594974e+23,2.4162027e-06,6.64345,1.5,10,,-2.3382614,3.0396353e-05,-1.0,-27.184912,11.005546808242798,inf,66.434494,23.767483,-10.0,7.696899e+23,,-57.56463,400,-1.2503749,999.0,10,999,7.696899e+23,9990,2.3382614,-11.382499,,-26.524698,-1.6434498,0.14999999
