LQGsigma_higher,IWMin,ReturnStepMax,ReturnLastEpisode,Regret,ReturnMax,LQGmu1_actor,IWMax,DenMISELogFirst,ReturnMin,IWMean,Regret/t,DenMISELogLast,ReturnMean,LQGmu1_higher,Iteration,DenMISEMeanLog,IWLastEpisode,TimestepsSoFar,TimeElapsed,ReturnAbsMax,Delta,Bound,IWFirstEpisode
0.14999999,,0.6213389,0.5981593,0.3669607,0.5981593,1.1489068,3.7140502e-10,0.72917217,,3.7140502e-10,0.3669607,0.72917217,0.5981593,1.0,1,0.72917217,3.7140502e-10,20,0.06703662872314453,0.5981593,0.0006079271,1354314400000.0,3.7140502e-10
0.14999999,,0.6213389,0.0149191925,1.3171616,0.5981593,-0.81920063,4.4139437e-10,0.036025006,,2.2069718e-10,0.6585808,-0.20770451,0.30653927,-1.0,2,-0.085839756,,40,0.998579740524292,0.5981593,0.00015198177,203509580.0,4.4139437e-10
0.14999999,,0.9730491,0.92874783,1.3535336,0.92874783,0.44210437,0.043883625,-0.3694401,,0.014664258,0.4511779,-0.846819,0.5139421,0.45454547,3,-0.6098096,1.3631462e-15,60,1.834399700164795,0.92874783,6.754746e-05,2919.5408,0.043883625
0.14999999,,0.9730491,0.39700025,1.9216534,0.92874783,-0.20881829,1.7648122,-0.64260024,,0.44235125,0.48041335,-0.4090978,0.48470667,-0.5555556,4,-0.7717536,9.922342e-10,80,2.7701520919799805,0.92874783,3.7995444e-05,326.20886,0.0045927516
0.14999999,,0.9730491,0.9123084,1.9744651,0.92874783,0.2273643,3.42617,-0.86459625,,0.93019617,0.394893,-0.8082037,0.570227,0.17171717,5,-0.8842333,0.23893748,100,3.5685532093048096,0.92874783,2.4317082e-05,21.100168,3.42617
0.14999999,,0.9730491,0.46604002,2.4735448,0.92874783,0.92197585,0.9337008,-0.5250134,,0.18523355,0.4122575,-0.5182774,0.5528625,0.7171717,6,-0.85041696,0.021603404,120,4.470574855804443,0.92874783,1.6886865e-05,19.68234,5.8845297e-05
0.14999999,,0.9730491,0.090359606,3.3483055,0.92874783,-0.4170132,5.649931,-0.6791542,,0.87350005,0.47832933,-0.72479635,0.4867907,-0.33333334,7,-0.9397558,3.4005787e-15,140,5.3431477546691895,0.92874783,1.2406674e-05,12.966456,0.40684938
0.14999999,,0.974322,0.9301799,3.3832455,0.9301799,-0.79007477,10.964809,-0.7561906,,1.4053724,0.42290568,-0.62080073,0.54221433,-0.7777778,8,-0.9346697,0.2743736,160,5.884098052978516,0.9301799,9.498861e-06,13.013291,6.7102023e-06
0.14999999,,0.974322,0.9295146,3.418851,0.9301799,0.16954073,5.6642714,-0.87397283,,1.217876,0.37987232,-0.70232207,0.5852477,0.3131313,9,-0.9138448,9.637547e-12,180,6.533262252807617,0.9301799,7.505273e-06,6.698308,0.7818977
0.14999999,,0.974322,0.4780627,3.9059086,0.9301799,0.15466763,6.4296765,-0.8960244,,1.3544608,0.39059085,-0.6309103,0.5745292,0.030303031,10,-0.8825143,3.2487373,200,7.384597539901733,0.9301799,6.0792704e-06,6.696994,6.4296765
0.14999999,,0.974322,0.48077786,4.390251,0.9301799,0.7834656,7.8889256,-0.49483046,,0.9724724,0.3991137,-0.44396067,0.5660063,0.85858583,11,-0.8261972,6.847847e-05,220,8.109012842178345,0.9301799,5.0241906e-06,6.331377,4.188089e-07
0.14999999,,0.974322,0.20101778,5.1543527,0.9301799,-0.7244122,7.1489444,-0.58184177,,1.1736369,0.42952943,-0.700346,0.5355906,-0.83838385,12,-0.8313001,2.203177e-25,240,8.949089050292969,0.9301799,4.221716e-06,6.3299003,6.293041e-07
0.14999999,,0.974322,0.9300109,5.189462,0.9301799,-0.2550284,6.6618204,-0.6618844,,0.94698864,0.3991894,-0.6959415,0.5659306,-0.25252524,13,-0.8234217,0.037844773,260,9.752217769622803,0.9301799,3.5972016e-06,6.201229,1.1694052
0.14999999,,0.974322,0.91990995,5.2346725,0.9301799,0.61671215,4.445603,-0.6498567,,0.5641561,0.37390518,-0.63916624,0.59121484,0.57575756,14,-0.82182014,1.0996127e-06,280,10.51859450340271,0.9301799,3.1016684e-06,5.950022,0.0037369744
0.14999999,,0.974322,0.31039402,5.8893976,0.9301799,-0.5474017,4.253102,-0.7185827,,0.8305741,0.39262652,-0.710145,0.5724935,-0.5959596,15,-0.8448803,3.4733436e-14,300,11.247332334518433,0.9301799,2.7018984e-06,5.904099,0.0017437523
0.14999999,,0.974322,0.9289769,5.925541,0.9301799,-0.47466457,5.7956657,-0.78300494,,0.9892765,0.3703463,-0.71730524,0.5947737,-0.43434343,16,-0.85015935,4.1018505,320,11.972259283065796,0.9301799,2.3747152e-06,5.3848524,0.07847857
0.14999999,,0.974322,0.92734766,5.963312,0.9301799,-0.9717655,2.7178645,-0.83873665,,0.33999437,0.3507831,-0.5310242,0.6143369,-1.0,17,-0.8362424,0.009817155,340,12.700671911239624,0.9301799,2.103554e-06,5.238461,1.0585977e-09
0.14999999,,0.974322,0.9248018,6.0036316,0.9301799,0.9563142,14.077288,-0.89589506,,1.3172667,0.33353513,-0.7685865,0.6315849,1.0,18,-0.86867803,1.7255138e-37,360,13.496151685714722,0.9301799,1.8763183e-06,4.995048,1.8862762e-09
0.14999999,,0.974322,0.06014569,6.9086056,0.9301799,0.08628599,7.040223,-0.9499623,,1.3745505,0.3636108,-0.8510655,0.6015092,0.15151516,19,-0.86398137,3.4951922e-06,380,14.271920204162598,0.9301799,1.6840087e-06,4.994341,4.291608
0.14999999,,0.974322,0.49726978,7.3764563,0.9301799,-0.9103405,5.746427,-0.79760146,,1.0972421,0.3688228,-0.72869587,0.5962972,-0.7171717,20,-0.846114,3.244483e-06,400,14.99881625175476,0.9301799,1.5198176e-06,4.9502892,5.320825e-05
0.14999999,,0.974322,0.92649883,7.415077,0.9301799,-0.19794065,5.6601515,-0.84638894,,0.9326541,0.35309887,-0.716552,0.61202115,-0.13131313,21,-0.83891517,7.568091e-06,420,15.889527320861816,0.9301799,1.3785193e-06,4.915187,4.081454
0.14999999,,0.974322,0.90998024,7.4702177,0.9301799,-0.57654023,5.3881364,-0.7153027,,1.0119132,0.33955532,-0.69532776,0.6255647,-0.3939394,22,-0.837775,2.270116,440,16.774035453796387,0.9301799,1.2560477e-06,4.547062,0.15591744
0.14999999,,0.974322,0.9296222,7.5057144,0.9301799,0.106028795,7.4186006,-0.75269234,,0.7988605,0.32633543,-0.5913514,0.6387846,0.3939394,23,-0.82892996,3.9087795e-09,460,17.51071333885193,0.9301799,1.1492007e-06,4.5571394,0.1986931
0.14999999,,0.974322,0.49275956,7.978075,0.9301799,-1.2629979,6.9852324,-0.7866502,,0.7519118,0.3324198,-0.78526014,0.6327002,-1.0,24,-0.83736134,9.115913e-12,480,18.250840663909912,0.9301799,1.055429e-06,4.546191,1.0048691e-09
