DenMISELogLast,ReturnAbsMax,ReturnMean,TimestepsSoFar,Delta,IWMax,LQGmu1_higher,Regret,ReturnMin,LQGmu1_actor,ReturnMax,IWMean,Bound,DenMISELogFirst,ReturnLastEpisode,LQGsigma_higher,IWMin,DenMISEMeanLog,IWLastEpisode,ReturnStepMax,IWFirstEpisode,Regret/t,Iteration,TimeElapsed
0.9158905,0.88687366,0.88687366,20,0.0006079271,1.5782747e-13,1.0,0.078246355,,0.68057257,0.88687366,1.5782747e-13,2008003200000.0,0.9158905,0.88687366,0.14999999,,0.9158905,1.5782747e-13,0.9314172,1.5782747e-13,0.078246355,1,0.09220767021179199
-1.9823729,0.88687366,0.5772934,40,0.00015198177,2.5320006e-07,-1.0,0.77565324,,-1.1386242,0.88687366,1.2660003e-07,301737820.0,0.2227433,0.2677131,0.14999999,,-0.8798148,1.0671679e-26,0.9314172,2.5320006e-07,0.38782662,2,0.9921107292175293
-0.54746795,0.91226304,0.6889499,60,6.754746e-05,9.306609,0.45454547,0.8285103,,0.4491519,0.91226304,3.1024952,2868.5422,-0.18272167,0.91226304,0.14999999,,-1.0393425,1.46737e-24,0.9573599,0.0008760656,0.27617013,3,1.7914752960205078
-0.4063525,0.91226304,0.61443186,80,3.7995444e-05,0.11603793,-0.5555556,1.4027526,,-0.58013195,0.91226304,0.029811941,320.04208,-0.47011176,0.39087772,0.14999999,,-0.74390256,7.231522e-10,0.9573599,0.11603793,0.35068816,4,2.2404797077178955
-0.6188174,0.92670065,0.6768856,100,2.4317082e-05,0.9023363,0.17171717,1.4411721,,0.5432503,0.92670065,0.28729805,20.68374,-0.66465867,0.92670065,0.14999999,,-0.8915206,1.7301541e-05,0.9710588,0.49683675,0.2882344,5,2.7058303356170654
-0.9234898,0.92670065,0.6218855,120,1.6886865e-05,13.605084,0.7171717,2.059407,,0.6895616,0.92670065,3.0087807,20.446959,-0.7522453,0.34688494,0.14999999,,-1.0041032,3.419447,0.9710588,2.7844067e-07,0.34323454,6,3.203908920288086
-0.63389695,0.92670065,0.5704606,140,1.2406674e-05,3.1945975,-0.33333334,2.7626162,,-0.5022524,0.92670065,0.7115012,12.802302,-0.906396,0.26191097,0.14999999,,-0.8271728,4.000838e-10,0.9710588,3.1945975,0.3946594,7,3.977240562438965
-0.6952734,0.92670065,0.6147573,160,9.498861e-06,2.6423664,-0.7777778,2.8029017,,-0.71257627,0.92670065,0.5385378,12.161825,-0.66397953,0.92483413,0.14999999,,-0.85212696,0.9865625,0.9710588,0.00088159926,0.35036272,8,4.477774381637573
-0.6951097,0.92670065,0.6493554,180,7.505273e-06,4.9623337,-0.6363636,2.8418813,,-0.50628805,0.92670065,1.4783627,6.4921846,-0.7816524,0.9261405,0.14999999,,-0.885687,4.6842995,0.9710588,0.032277852,0.3157646,9,5.314640045166016
-0.4602965,0.92670065,0.67701995,200,6.0792704e-06,6.944829,0.57575756,2.881001,,0.5752368,0.92670065,2.2971947,6.540595,-0.88343287,0.92600036,0.14999999,,-0.8177949,2.1141072e-11,0.9710588,4.8278223e-05,0.28810006,10,5.962692022323608
