ReturnStepMax,StdIW,InitialBound,Iteration,LQGsigma,EpRewMean,MeanIWNorm,ReturnMeanIW,EpThisIter,MaxIW,MeanIW,MinIW,MeanEntropy,MaxIWNorm,ESSClassic,MinIWNorm,ESSRenyi,EpLenMean,EpisodesSoFar,TimestepsSoFar,InitialReturnMin,InitialReturnStd,Bound,LQGmu,InitialReturnMean,InitialReturnMax,StdIWNorm,J_sample_variance,EmpiricalD2,ReturnStepMaxmin,TimeElapsed
0.99999994,16.518343,450.69458,1,[[1.]],455.3443863162642,0.027812844,1262.1777,100,149.90533,2.781284,0.00026224784,1.4619071,1.4990534,2.7568727,2.6224784e-06,0.083390765,500.0,100,50000,445.08325,3.4705913,1101.1592,[[-0.466]],455.34436,462.64993,0.16518342,56986252.0,1199.1736,0.99999994,9.74583101272583
0.9999971,14.358079,449.09616,2,[[1.044]],453.71696996031807,0.029229276,1327.0244,100,104.01366,2.9229271,0.00019222395,1.4686414,1.0401366,3.9793136,1.9222393e-06,0.11999078,500.0,200,100000,445.4202,2.9331899,1193.6284,[[-0.547]],453.71695,459.76346,0.14358078,42888924.0,833.39734,0.9999971,30.302411794662476
0.9999995,12.307973,449.3777,3,[[1.051]],454.0065315279203,0.025133383,1148.8694,100,89.46619,2.5133386,0.00024887326,1.4223025,0.89466184,4.0030084,2.4887324e-06,0.3329549,500.0,300,150000,446.28708,2.6130006,1068.6497,[[-0.661]],454.00653,460.56583,0.123079725,31989538.0,300.34097,0.9999995,48.05806493759155
0.99999285,1.5783701,452.81204,4,[[1.003]],457.45060944300246,0.010926031,501.43106,100,11.88851,1.0926031,0.0037121547,1.4066126,0.11888509,32.3954,3.7121546e-05,23.849648,500.0,400,200000,450.06152,2.3295364,491.93283,[[-0.572]],457.45065,461.53204,0.015783701,534577.3,4.192934,0.99999285,66.59790110588074
0.99999887,157.81517,454.65222,5,[[0.988]],459.35585152458947,0.17887291,8366.5,100,1584.7231,17.887293,2.2144068e-08,1.2933624,15.847231,1.2683762,2.2144067e-10,0.002598038,500.0,500,250000,452.2248,3.20178,7443.698,[[-0.619]],459.35587,468.00327,1.5781516,5509982700.0,38490.586,0.99999887,83.16722893714905
0.9999978,4.489635,462.28635,6,[[0.882]],467.03746375564305,0.012934584,600.65137,100,43.029076,1.2934585,0.007758318,1.3321439,0.43029076,7.6639733,7.758318e-05,4.7485037,500.0,600,300000,462.297,1.9717746,578.84827,[[-0.632]],467.03748,472.7316,0.044896353,4369657.5,21.059265,0.9999978,105.33419275283813
0.9999986,4.249416,459.31308,7,[[0.917]],464.03190082329047,0.014844751,686.6484,100,37.589706,1.4844749,0.009850843,1.3443398,0.37589705,10.876283,9.8508426e-05,4.026874,500.0,700,350000,457.6072,2.2067642,663.1332,[[-0.578]],464.03192,469.51617,0.04249416,3900841.0,24.833158,0.9999986,124.42234539985657
0.99999857,216.77222,457.88586,8,[[0.928]],462.6188651817935,0.21837682,10283.699,100,2178.693,21.837683,1.3012905e-07,1.2295963,21.78693,1.0046635,1.3012905e-09,0.0011643873,500.0,800,400000,458.11438,2.4585373,8896.672,[[-0.503]],462.61887,470.92474,2.167722,10526287000.0,85882.08,0.99999857,142.81903958320618
0.9999998,20.948698,464.94662,9,[[0.828]],469.71447147555523,0.0270411,1277.652,100,209.7775,2.70411,4.1681466e-05,1.1563543,2.097775,1.6389201,4.1681466e-07,0.09399616,500.0,900,450000,465.43787,1.9222997,1122.1383,[[-0.461]],469.71445,474.39633,0.20948699,99067780.0,1063.8733,0.9999998,163.76554584503174
0.9999974,4.4082294,467.93115,10,[[0.769]],472.7346815350965,0.013443325,640.35645,100,36.739178,1.3443322,0.00019521677,1.0957328,0.36739177,8.508725,1.9521676e-06,2.6955578,500.0,1000,500000,467.64285,1.9037814,611.09894,[[-0.399]],472.73468,477.9463,0.044082303,4475876.0,37.098072,0.9999974,185.90811610221863
0.9999983,3.771965,471.40567,11,[[0.724]],476.22589445516167,0.013407466,641.7409,100,31.688433,1.3407466,0.00059606356,1.0469131,0.3168843,11.217256,5.9606355e-06,4.9841485,500.0,1100,550000,470.9667,1.6983507,620.14996,[[-0.419]],476.2259,479.60657,0.037719652,3304500.8,20.063608,0.9999983,204.46068286895752
0.9999992,45.782177,473.63895,12,[[0.689]],478.482578033452,0.050672974,2400.8562,100,460.3632,5.067298,0.00010615999,1.1165829,4.603632,1.210241,1.0615998e-06,0.03576735,500.0,1200,600000,473.5697,1.4042159,2144.7456,[[-0.457]],478.48257,481.93484,0.4578218,474814430.0,2795.846,0.9999992,224.02391600608826
0.9999997,4.7863593,469.9767,13,[[0.739]],474.7839613445106,0.013016519,621.1354,100,45.208775,1.3016521,0.00053554017,1.0605841,0.45208773,6.886403,5.3554018e-06,5.3564563,500.0,1300,650000,467.95093,1.9639596,600.3646,[[-0.405]],474.78394,478.30927,0.04786359,5286932.0,18.66906,0.9999997,243.83559274673462
1.0,12.200806,471.94684,14,[[0.699]],476.77623372262155,0.01860518,882.58887,100,122.42504,1.8605179,0.0004376712,1.0704339,1.2242504,2.2725186,4.376712e-06,0.6962135,500.0,1400,700000,473.548,1.3505231,824.71,[[-0.392]],476.77625,480.5171,0.12200806,33746460.0,143.63411,1.0,263.1552703380585
