MaxIWNorm,StdIW,TimeElapsed,MeanIW,LQGsigma,EpRewMean,InitialBound,StdIWNorm,EmpiricalD2,ReturnStepMaxmin,J_sample_variance,Bound,MinIWNorm,InitialReturnMax,ESSClassic,ESSRenyi,ReturnStepMax,EpLenMean,MeanIWNorm,EpisodesSoFar,InitialReturnMean,EpThisIter,Iteration,ReturnMeanIW,TimestepsSoFar,MinIW,MeanEntropy,InitialReturnStd,LQGmu,InitialReturnMin,MaxIW
0.04413331,0.6914341,0.863140344619751,0.17160341,[[1.]],-59.99863544903767,-60.87005,0.0046095606,68.41151,20.990046,377.16397,-12.783762,2.367715e-11,-23.783024,8.703268,2.1926136,20.990046,20.0,0.0011440228,150,-59.998634,150,1,-5.5762205,3000,3.5515724e-09,0.97683465,17.261135,[[-0.466]],-106.19053,6.619996
0.092616506,1.5249249,2.2605478763580322,0.39062166,[[0.643]],-26.891106363694256,-27.41098,0.010166165,77.14165,19.071436,395.3805,-10.398336,5.991536e-12,-10.277428,9.236467,1.9444749,19.071436,20.0,0.0026041446,300,-26.891106,150,2,-5.8322845,6000,8.9873037e-10,0.557435,11.076448,[[-0.459]],-63.351902,13.892476
0.06355158,1.0460579,3.6508076190948486,0.5340412,[[0.423]],-16.515158139275044,-16.808508,0.00697372,89.71266,17.55314,723.70386,-11.971493,6.2281004e-05,-3.830105,31.01265,1.6720048,17.55314,20.0,0.0035602753,450,-16.51516,150,3,-9.192993,9000,0.009342151,0.6063832,8.213805,[[-0.602]],-35.747585,9.532737
0.038236372,1.0578893,4.97385835647583,0.81918967,[[0.444]],-18.88476348763353,-19.32192,0.007052596,21.408997,17.115011,371.26746,-15.204661,7.572304e-07,-4.579457,56.228725,7.0064,17.115011,20.0,0.0054612644,600,-18.884764,150,4,-13.181944,12000,0.00011358456,0.5956115,9.760139,[[-0.329]],-53.272152,5.7354555
0.019374095,0.337625,6.124118804931641,0.9823889,[[0.439]],-15.692809261782674,-15.980377,0.0022508334,1.0817661,17.588501,108.055405,-15.76397,0.0029698107,-4.7208023,134.15448,138.66214,17.588501,20.0,0.0065492596,750,-15.692807,150,5,-15.464877,15000,0.44547158,0.5957639,6.6249886,[[-0.522]],-35.04312,2.906114
0.12864617,2.0981653,6.994351148605347,0.47248322,[[0.439]],-18.562139238311445,-18.888504,0.0139877675,77.426254,18.549618,209.74136,-7.2529974,8.936822e-11,-4.1512113,7.2393866,1.9373274,18.549618,20.0,0.003149888,900,-18.56214,150,6,-4.3812437,18000,1.34052325e-08,0.23203813,8.525503,[[-0.48]],-39.770985,19.296925
0.064998046,1.5284543,8.251661539077759,0.55948895,[[0.305]],-12.711467298148369,-12.968581,0.010189696,61.290646,17.919556,198.39471,-6.716159,2.1016078e-11,-2.0968053,17.723907,2.4473555,17.919556,20.0,0.0037299264,1050,-12.711467,150,7,-4.703259,21000,3.1524117e-09,-0.007055521,7.1620574,[[-0.673]],-31.332012,9.749706
0.041872043,1.0621228,9.436078786849976,0.61067295,[[0.24]],-10.421298713862498,-10.637715,0.007080819,81.55182,20.367067,75.17073,-6.361827,2.105431e-06,-1.3672727,37.26665,1.8393214,20.367067,20.0,0.0040711532,1200,-10.421299,150,8,-4.4074464,24000,0.00031581463,-0.06416766,7.1699452,[[-0.864]],-26.372755,6.2808065
0.14694142,2.4292257,10.58558988571167,0.8785674,[[0.227]],-10.767011122647382,-10.99765,0.016194837,24.153591,18.290693,1201.678,-9.704175,6.2527065e-06,-1.2538786,17.350786,6.2102566,18.290693,20.0,0.005857116,1350,-10.767012,150,9,-8.570675,27000,0.0009379059,-0.14776528,7.2640543,[[-0.626]],-28.105677,22.041214
0.021815114,0.4853397,11.954806327819824,0.9703361,[[0.209]],-10.498220085104245,-10.733147,0.003235598,1.2229106,16.81183,112.49885,-10.08345,0.0011211256,-0.84456736,119.983025,122.65819,16.81183,20.0,0.0064689075,1500,-10.4982195,150,10,-9.823656,30000,0.16816884,-0.15674894,7.737579,[[-0.47]],-28.628334,3.2722669
0.010172973,0.20014685,13.085952281951904,0.9886365,[[0.207]],-10.248088072986095,-10.471859,0.0013343126,1.0397216,17.42695,55.236683,-10.147824,0.0031504454,-0.9451442,144.09431,144.2694,17.42695,20.0,0.00659091,1650,-10.248089,150,11,-9.919653,33000,0.4725668,-0.18659975,7.3721323,[[-0.505]],-27.26874,1.5259459
0.07108748,1.3927802,14.393840312957764,0.71300733,[[0.201]],-10.463860456710481,-10.688327,0.0092852,35.86174,17.737461,122.217415,-6.1739807,2.4983767e-06,-1.4154016,31.14796,4.1827307,17.737461,20.0,0.0047533824,1800,-10.46386,150,12,-4.82978,36000,0.0003747565,-0.2642293,7.6892195,[[-0.508]],-27.353424,10.663122
0.006666667,,15.608226537704468,1.0,[[0.186]],-10.470132067867416,-10.703504,4.656613e-10,1.0,16.216566,65.88717,-10.703504,0.006666667,-1.0248635,150.0,150.0,16.216566,20.0,0.0066666673,1950,-10.470133,150,13,-10.470133,39000,1.0,-0.2642293,8.089989,[[-0.373]],-28.438713,1.0
0.062304765,1.0980227,16.381174325942993,0.68081117,[[0.186]],-10.963398042635523,-11.197271,0.007320151,68.59453,17.016459,167.07585,-7.1304812,3.1404727e-07,-0.7932007,41.65309,2.1867633,17.016459,20.0,0.004538741,2100,-10.963398,150,14,-5.1934958,42000,4.710709e-05,-0.3723127,8.199776,[[-0.373]],-28.500002,9.345715
0.039012693,0.94669837,17.57105803489685,0.6857806,[[0.167]],-9.645255105267866,-9.859205,0.0063113226,37.093014,16.768898,53.4085,-5.519665,1.2245889e-06,-1.1723508,51.622803,4.043888,16.768898,20.0,0.0045718714,2250,-9.645255,150,15,-4.2166204,45000,0.00018368833,-0.38408065,7.671264,[[-0.495]],-26.072126,5.851904
