DenMISEMeanLog,TimeElapsed,IWMean,Bound,IWFirstEpisode,LQGsigma,LQGmu01,MISE,SqrtESSClassic,ReturnMin,ReturnMean,DenMISELogLast,ExplorationBonus,ReturnLastEpisode,IWLastEpisode,DenMISELogFirst,ReturnMax,Iteration,ReturnAbsMax,ReturnStepMax,LQGmu1,IWNorm1,target_sum_log_mean,IWMin,URet,IWNorm2,TimestepsSoFar,IWMax
12.845262,0.03905129432678223,1.0,nan,1.0,0.11,0.001,9.380901,1.0,,9.380901,12.845262,nan,9.380901,1.0,12.845262,9.380901,1,9.380901,0.55877954,0.01,1.0,12.845262,,10.303278693899255,1.0,20,1.0
13.81204,1.6242053508758545,1.0,nan,1.0,0.11,0.001,9.316086,1.4142135,,9.316086,14.778818,nan,9.251271,1.0,12.845262,9.380901,2,9.380901,0.55877954,0.01,2.0,13.81204,,10.168199786321296,1.4142135,40,1.0
16.054754,2.288698673248291,1.0,nan,1.0,0.11,0.001,9.467578,1.7320509,,9.467578,20.54018,nan,9.77056,1.0,12.845262,9.77056,3,9.77056,0.59473556,0.01,3.0,16.054754,,10.750405632878323,1.7320508,60,1.0
16.468372,3.0876548290252686,1.0,nan,1.0,0.11,0.001,9.6415,2.0,,9.6415,17.709234,nan,10.163266,1.0,12.845262,10.163266,4,10.163266,0.6405643,0.01,4.0,16.468372,,11.153673445104644,2.0,80,1.0
16.687258,3.881343126296997,1.0,nan,1.0,0.11,0.001,9.569409,2.236068,,9.569409,17.562794,nan,9.281046,1.0,12.845262,10.163266,5,10.163266,0.6405643,0.01,5.0,16.687258,,10.19156028798008,2.236068,100,1.0
15.419601,4.719320058822632,1.0,nan,1.0,0.11,0.001,9.509255,2.4494896,,9.509255,9.081323,nan,9.208488,1.0,12.845262,10.163266,6,10.163266,0.6405643,0.01,6.0,15.419601,,10.113262546672127,2.4494898,120,1.0
15.36955,5.577408075332642,1.0,nan,1.0,0.11,0.001,9.477623,2.6457515,,9.477623,15.069232,nan,9.28783,1.0,12.845262,10.163266,7,10.163266,0.6405643,0.01,7.0,15.36955,,10.219067935437923,2.6457512,140,1.0
15.579897,6.427611351013184,1.0,nan,1.0,0.11,0.001,9.581802,2.828427,,9.581802,17.052326,nan,10.31106,1.0,12.845262,10.31106,8,10.31106,0.7239796,0.01,8.0,15.579897,,11.40568155979132,2.828427,160,1.0
15.962701,7.286347150802612,1.0,nan,1.0,0.11,0.001,9.580414,3.0,,9.580414,19.025131,nan,9.569298,1.0,12.845262,10.31106,9,10.31106,0.7239796,0.01,9.0,15.962701,,10.536833238652395,3.0,180,1.0
15.938196,8.16189956665039,1.0,nan,1.0,0.11,0.001,9.7684965,3.1622777,,9.7684965,15.717651,nan,11.461241,1.0,12.845262,11.461241,10,11.461241,0.7239796,0.01,10.0,15.938196,,12.616612475609388,3.1622777,200,1.0
