ReturnMean,IWMin,IWNorm1,ReturnStepMax,ReturnMax,LQGsigma,IWMean,LQGmu1,URet,Iteration,DenMISELogFirst,Bound,ExplorationBonus,ReturnLastEpisode,target_sum_log_mean,SqrtESSClassic,ReturnMin,TimeElapsed,DenMISEMeanLog,IWNorm2,IWMax,ReturnAbsMax,MISE,TimestepsSoFar,IWFirstEpisode,LQGmu01,DenMISELogLast,IWLastEpisode
9.380901,,1.0,0.55877954,9.380901,0.11,1.0,0.01,10.303278693899255,1,12.845262,nan,nan,9.380901,12.845262,1.0,,0.039542198181152344,12.845262,1.0,1.0,9.380901,9.380901,20,1.0,0.001,12.845262,1.0
9.316086,,2.0,0.55877954,9.380901,0.11,1.0,0.01,10.168199786321296,2,12.845262,nan,nan,9.251271,13.81204,1.4142135,,1.5744750499725342,13.81204,1.4142135,1.0,9.380901,9.316086,40,1.0,0.001,14.778818,1.0
9.467578,,3.0,0.59473556,9.77056,0.11,1.0,0.01,10.750405632878323,3,12.845262,nan,nan,9.77056,16.054754,1.7320509,,2.249336004257202,16.054754,1.7320508,1.0,9.77056,9.467578,60,1.0,0.001,20.54018,1.0
9.6415,,4.0,0.6405643,10.163266,0.11,1.0,0.01,11.153673445104644,4,12.845262,nan,nan,10.163266,16.468372,2.0,,3.0971181392669678,16.468372,2.0,1.0,10.163266,9.6415,80,1.0,0.001,17.709234,1.0
9.569409,,5.0,0.6405643,10.163266,0.11,1.0,0.01,10.19156028798008,5,12.845262,nan,nan,9.281046,16.687258,2.236068,,3.951056480407715,16.687258,2.236068,1.0,10.163266,9.569409,100,1.0,0.001,17.562794,1.0
9.509255,,6.0,0.6405643,10.163266,0.11,1.0,0.01,10.113262546672127,6,12.845262,nan,nan,9.208488,15.419601,2.4494896,,4.80309271812439,15.419601,2.4494898,1.0,10.163266,9.509255,120,1.0,0.001,9.081323,1.0
9.477623,,7.0,0.6405643,10.163266,0.11,1.0,0.01,10.219067935437923,7,12.845262,nan,nan,9.28783,15.36955,2.6457515,,5.599998950958252,15.36955,2.6457512,1.0,10.163266,9.477623,140,1.0,0.001,15.069232,1.0
9.581802,,8.0,0.7239796,10.31106,0.11,1.0,0.01,11.40568155979132,8,12.845262,nan,nan,10.31106,15.579897,2.828427,,6.421564102172852,15.579897,2.828427,1.0,10.31106,9.581802,160,1.0,0.001,17.052326,1.0
9.580414,,9.0,0.7239796,10.31106,0.11,1.0,0.01,10.536833238652395,9,12.845262,nan,nan,9.569298,15.962701,3.0,,7.238987922668457,15.962701,3.0,1.0,10.31106,9.580414,180,1.0,0.001,19.025131,1.0
9.7684965,,10.0,0.7239796,11.461241,0.11,1.0,0.01,12.616612475609388,10,12.845262,nan,nan,11.461241,15.938196,3.1622777,,8.072478532791138,15.938196,3.1622777,1.0,11.461241,9.7684965,200,1.0,0.001,15.717651,1.0
