IWMin,Bound,URet,LQGsigma,ReturnMax,DenMISELogFirst,ReturnStepMax,Iteration,LQGmu1,IWLastEpisode,MISE,TimeElapsed,IWFirstEpisode,IWMean,ReturnAbsMax,LQGmu01,IWMax,ReturnMin,DenMISELogLast,DenMISEMeanLog,target_sum_log_mean,ReturnMean,ReturnLastEpisode,TimestepsSoFar
,3.6236807e-09,15.593418754668832,1.0,14.212496,-9.2103405,0.99494565,1,0.01,2.549644e-10,3.6236807e-09,0.05709409713745117,2.549644e-10,2.549644e-10,14.212496,0.001,2.549644e-10,,-9.2103405,-9.2103405,-31.300238,14.212496,14.212496,20
,1.9681563e-08,10.0238642864365,1.0,14.212496,-9.903487,0.99494565,2,0.01,3.525682e-09,1.9681563e-08,1.129504680633545,5.099281e-10,2.017805e-09,14.212496,0.001,3.525682e-09,,-9.903487,-9.903487,-30.333458,11.660795,9.109096,40
,7.582102e-06,15.015132329977508,1.0,14.212496,-10.308952,0.99494565,3,0.01,1.6805882e-06,7.582102e-06,1.1627423763275146,7.6489287e-10,5.6221387e-07,14.212496,0.001,1.6805882e-06,,-10.308951,-10.308952,-28.090744,12.27373,13.499597,60
,8.057282e-06,15.84123010160815,1.0,14.387457,-10.596635,0.99494565,4,0.01,1.3211023e-07,8.057282e-06,1.1987380981445312,1.0198586e-09,5.9524115e-07,14.387457,0.001,2.2407833e-06,,-10.596635,-10.596634,-27.677124,12.802161,14.387457,80
,8.40686e-06,13.545473914711895,1.0,14.387457,-10.819778,0.99494565,5,0.01,1.4264225e-07,8.40686e-06,1.2400214672088623,1.274822e-09,6.237691e-07,14.387457,0.001,2.8009763e-06,,-10.819778,-10.8197775,-27.45824,12.6925125,12.253919,100
,8.40691e-06,10.635293469573131,1.0,14.387457,-11.0021,0.99494565,6,0.01,3.5479196e-11,8.40691e-06,1.2778420448303223,1.5297865e-09,6.237745e-07,14.387457,0.001,3.3611684e-06,,-11.0021,-11.002099,-28.725897,12.188895,9.670804,120
,8.434678e-06,13.030717354830307,1.0,14.387457,-11.156251,0.99494565,7,0.01,1.6498156e-08,8.434678e-06,1.3173491954803467,1.7847531e-09,6.261309e-07,14.387457,0.001,3.9213605e-06,,-11.156251,-11.15625,-28.77595,12.131154,11.784708,140
,8.652444e-06,13.921750443504749,1.0,14.387457,-11.289782,0.99494565,8,0.01,1.3698553e-07,8.652444e-06,1.3625082969665527,2.0397144e-09,6.432542e-07,14.387457,0.001,4.4815556e-06,,-11.289782,-11.289782,-28.565601,12.204442,12.717458,160
,,12.735457078712699,0.45590597,14.387457,-11.407565,0.99494565,9,0.564714,,,1.4032926559448242,,,14.387457,0.056471404,,,-11.407564,-11.407564,-178.25143,12.119441,11.439434,180
,3.191366e-11,7.669537523164999,0.45590597,14.387457,-11.512925,0.99494565,10,0.564714,4.552709e-11,3.191366e-11,1.449486494064331,,4.552709e-12,14.387457,0.056471404,4.552709e-11,,-11.512925,-11.512924,-163.95886,11.608479,7.009817,200
,1.8101478,6.992148135812293,0.45590487,14.387457,-11.608235,0.99494565,11,0.5646997,3.1357608,1.8101478,1.4903709888458252,,0.28506917,14.387457,0.056469973,3.1357608,,-10.764667,-11.531547,-149.92299,11.130422,6.3498545,220
,2.3383853,7.0985507417764175,0.45590433,14.387457,-11.695247,0.99494565,12,0.5646902,1.7220759,2.3383853,1.5974931716918945,,0.36541787,14.387457,0.05646902,2.6629386,,-11.132993,-11.557193,-138.30852,10.742513,6.475527,240
,2.0881155,6.529695953516567,0.4559038,14.387457,-11.77529,0.99494565,13,0.56467825,0.26581162,2.0881155,1.7058229446411133,,0.32771546,14.387457,0.056467827,2.3619883,,-11.689916,-11.615556,-128.6666,10.372218,5.9286804,260
,1.8294629,6.277929295497186,0.455903,14.387457,-11.849398,0.99494565,14,0.56466454,0.02657476,1.8294629,1.8122248649597168,,0.28741392,14.387457,0.056466457,2.1536894,,-11.839845,-11.678572,-120.57682,10.040953,5.734497,280
,2.202799,6.474158782002052,0.45590082,14.387457,-11.91839,0.99494565,15,0.5646431,1.4677812,2.202799,1.9204127788543701,,0.35336095,14.387457,0.05646431,2.0015178,,-11.031574,-11.6817875,-113.24266,9.764769,5.8981915,300
,2.3235736,6.630570267942879,0.4558978,14.387457,-11.982929,0.99494565,16,0.56461746,0.8827764,2.3235736,2.0321309566497803,,0.37469548,14.387457,0.056461748,1.8854702,,-11.494453,-11.709599,-106.8852,9.53129,6.0291233,320
,2.7602243,6.847458076443169,0.4558951,14.387457,-12.043553,0.99494565,17,0.564596,1.713276,2.7602243,2.1500132083892822,,0.44496065,14.387457,0.056459602,1.793605,,-10.408764,-11.669026,-101.173805,9.336575,6.221123,340
,2.5523677,6.735599542497833,0.45589212,14.387457,-12.100712,0.99494565,18,0.56457275,0.025686152,2.5523677,2.2663652896881104,,0.41161883,14.387457,0.056457277,1.7194076,,-12.0878,-11.722552,-96.423256,9.158073,6.123543,360
,2.5076554,7.355866950468632,0.4558902,14.387457,-12.154779,0.99494565,19,0.5645531,0.39341438,2.5076554,2.3872103691101074,,0.40285394,14.387457,0.05645531,1.6579199,,-11.925301,-11.763579,-92.02106,9.028908,6.703924,380
,2.4260812,6.7885283949811335,0.4558883,14.387457,-12.206073,0.99494565,20,0.5645322,0.2535239,2.4260812,2.50785231590271,,0.38985017,14.387457,0.056453224,1.606387,,-12.056196,-11.807458,-88.087234,8.88695,6.18975,400
,2.5834374,6.8711028332060415,0.45588666,14.387457,-12.254863,0.99494565,21,0.56451315,0.99893343,2.5834374,2.630922794342041,,0.4149072,14.387457,0.056451317,1.562433,,-11.413015,-11.817128,-84.432434,8.761693,6.2565694,420
,2.44718,6.173562210737545,0.45588505,14.387457,-12.301383,0.99494565,22,0.5644929,0.0015567743,2.44718,2.754593849182129,,0.39304942,14.387457,0.05644929,1.5246507,,-12.300455,-11.865155,-81.44375,8.619004,5.622528,440
,2.6177459,6.415660477979129,0.4558815,14.387457,-12.345835,0.99494565,23,0.56446546,1.1506374,2.6177459,2.8829739093780518,,0.42362162,14.387457,0.05644655,1.4922183,,-11.12644,-11.858903,-78.3759,8.497841,5.832244,460
,2.585613,6.205762601032786,0.45587635,14.387457,-12.388394,0.99494565,24,0.5644315,0.38332802,2.585613,3.010221242904663,,0.41975746,14.387457,0.05644315,1.4641504,,-12.110849,-11.892961,-75.64977,8.379708,5.662652,480
,2.7299447,6.324634172002144,0.4558576,14.387457,-12.429216,0.99494565,25,0.56437844,1.1113076,2.7299447,3.1463050842285156,,0.44611976,14.387457,0.056437846,1.4406126,,-11.1590605,-11.886375,-73.061325,8.274771,5.7562613,500
,2.9395418,7.07736900489344,0.45585218,14.387457,-12.468437,0.99494565,26,0.56434625,1.3014925,2.9395418,3.2787160873413086,,0.47766495,14.387457,0.056434628,1.4183741,,-10.632172,-11.859054,-70.64595,8.204691,6.452704,520
,3.1146147,6.91984065579026,0.45584837,14.387457,-12.506177,0.99494565,27,0.56431943,1.2592298,3.1146147,3.416511058807373,,0.5050589,14.387457,0.056431945,1.3981671,,-10.715466,-11.835713,-68.41422,8.134073,6.2980323,540
,3.196901,6.7433227708237755,0.45584428,14.387457,-12.542545,0.99494565,28,0.5642926,0.9242281,3.196901,3.5556092262268066,,0.5183849,14.387457,0.056429263,1.3799855,,-11.559088,-11.843223,-66.383125,8.0641775,6.1769843,560
,3.3058937,6.772484537199043,0.4558405,14.387457,-12.577637,0.99494565,29,0.5642664,1.0745319,3.3058937,3.7058796882629395,,0.5362815,14.387457,0.05642664,1.3635076,,-11.234803,-11.838587,-64.475746,7.997664,6.1352744,580
,3.3360956,6.556072441601646,0.45583558,14.387457,-12.611538,0.99494565,30,0.5642366,0.7390631,3.3360956,3.851933240890503,,0.5419216,14.387457,0.05642366,1.3487293,,-11.877333,-11.855097,-62.72911,7.9305906,5.985468,600
,3.2241628,6.872761601088099,0.45583043,14.387457,-12.644327,0.99494565,31,0.5642056,0.0018286343,3.2241628,3.995525598526001,,0.5237656,14.387457,0.05642056,1.335319,,-12.643042,-11.895064,-61.313366,7.8768735,6.265358,620
,3.380687,6.768984122291149,0.45582473,14.387457,-12.676076,0.99494565,32,0.5641758,1.3600076,3.380687,4.142465114593506,,0.5493069,14.387457,0.05641758,1.3600076,,-8.98115,-11.818664,-59.665314,7.8226852,6.1428614,640
,3.485517,6.527673469848532,0.45581576,14.387457,-12.706848,0.99494565,33,0.5641412,1.1806344,3.485517,4.288333415985107,,0.56756127,14.387457,0.056414124,1.3457317,,-10.698517,-11.798184,-58.17345,7.76586,5.9474344,660
,3.4574642,6.887394139587956,0.4558079,14.387457,-12.736701,0.99494565,34,0.56410724,0.4351188,3.4574642,4.436974048614502,,0.5627148,14.387457,0.056410726,1.3325496,,-12.355976,-11.827137,-56.847355,7.722159,6.2800264,680
,3.4112873,6.942049848380651,0.45580083,14.387457,-12.765689,0.99494565,35,0.56407386,0.31094107,3.4112873,4.59717321395874,,0.55492127,14.387457,0.05640739,1.3203462,,-12.507208,-11.8588915,-55.61085,7.682655,6.3395143,700
,3.420773,6.5587522887607985,0.4557924,14.387457,-12.7938595,0.99494565,36,0.5640375,0.64119184,3.420773,4.781702756881714,,0.55702037,14.387457,0.056403752,1.3090783,,-12.131515,-11.87866,-54.412342,7.6346273,5.9536805,720
,3.33316,6.962546556948881,0.45578396,14.387457,-12.821259,0.99494565,37,0.56399995,0.030002017,3.33316,4.949403524398804,,0.5427253,14.387457,0.056399997,1.2986124,,-12.798702,-11.915339,-53.379284,7.599796,6.345884,740
,3.2505734,6.039653372741313,0.45577502,14.387457,-12.847926,0.99494565,38,0.5639606,0.033730146,3.2505734,5.125003814697266,,0.52936983,14.387457,0.056396063,1.2888825,,-12.820792,-11.951042,-52.39792,7.5438986,5.475698,760
,3.3587654,6.418619048786276,0.45575383,14.387457,-12.873902,0.99494565,39,0.5639201,1.2701951,3.3587654,5.310440540313721,,0.5485192,14.387457,0.05639201,1.2800738,,-7.126389,-11.839244,-51.229866,7.500498,5.8512444,780
,3.4628978,6.649885900956306,0.45572883,14.387457,-12.8992195,0.99494565,40,0.5638861,1.2453072,3.4628978,5.486158847808838,,0.56588346,14.387457,0.056388613,1.2718879,,-9.436389,-11.790319,-50.179863,7.4642477,6.0505133,800
,3.3787715,7.0909927185756585,0.4557031,14.387457,-12.923912,0.99494565,41,0.56385094,0.008574368,3.3787715,5.6558897495269775,,0.5521088,14.387457,0.056385096,1.2642403,,-12.917397,-11.828272,-49.387394,7.4404764,6.4896245,820
,3.4786494,6.681214304037205,0.45567566,14.387457,-12.94801,0.99494565,42,0.5638241,1.2497342,3.4786494,5.8227527141571045,,0.5686032,14.387457,0.056382414,1.257058,,-8.867327,-11.768312,-48.418755,7.408138,6.0822525,840
,3.5654752,6.504508977286475,0.455645,14.387457,-12.97154,0.99494565,43,0.5638223,1.2320473,3.5654752,5.9935219287872314,,0.58381426,14.387457,0.056382235,1.2502694,,-8.620009,-11.705015,-47.49286,7.3731165,5.9022055,860
,3.644384,7.138001692186865,0.4556238,14.387457,-12.99453,0.99494565,44,0.56379193,1.0993173,3.644384,6.1638593673706055,,0.5951647,14.387457,0.056379195,1.2437916,,-11.121626,-11.701114,-46.66415,7.352972,6.486733,880
,3.5757165,6.322448940108352,0.45560098,14.387457,-13.017003,0.99494565,45,0.56376094,0.10931611,3.5757165,6.335824012756348,,0.5840651,14.387457,0.056376096,1.2377167,,-12.922794,-11.737161,-45.963737,7.318247,5.7903423,900
,3.6214008,6.834549535474425,0.4555809,14.387457,-13.038981,0.99494565,46,0.56372756,0.91938514,3.6214008,6.524362802505493,,0.5911371,14.387457,0.056372758,1.2319287,,-11.725521,-11.745855,-45.220863,7.2947307,6.2365246,920
,3.7011542,6.746397541575633,0.45556107,14.387457,-13.060488,0.99494565,47,0.56369597,1.2053379,3.7011542,6.756323575973511,,0.60407835,14.387457,0.0563696,1.2264345,,-9.563442,-11.70803,-44.457954,7.2701807,6.1408625,940
,3.7776546,6.7849465882731685,0.45554233,14.387457,-13.081541,0.99494565,48,0.563665,1.2014486,3.7776546,6.956135988235474,,0.61632967,14.387457,0.0563665,1.2212021,,-9.635956,-11.673027,-43.72832,7.2474847,6.1807942,960
,3.857918,6.935549822174213,0.45552766,14.387457,-13.10216,0.99494565,49,0.5636346,1.235165,3.857918,7.179240942001343,,0.62869483,14.387457,0.05636346,1.235165,,-8.75274,-11.621183,-43.00938,7.2282224,6.303611,980
,3.7843342,6.471093403875727,0.45551246,14.387457,-13.122363,0.99494565,50,0.5636036,0.045835346,3.7843342,7.396717309951782,,0.6167313,14.387457,0.05636036,1.230704,,-13.083289,-11.657781,-42.47168,7.2011986,5.8770523,1000
,3.7127674,5.925750239859353,0.45549646,14.387457,-13.142166,0.99494565,51,0.563572,0.038224034,3.7127674,7.605700969696045,,0.6051486,14.387457,0.0563572,1.226515,,-13.107858,-11.693659,-41.95918,7.165724,5.391963,1020
,3.6602278,6.629695160299978,0.4554799,14.387457,-13.161584,0.99494565,52,0.5635392,0.17192543,3.6602278,7.825794696807861,,0.5966321,14.387457,0.056353923,1.2225901,,-13.007272,-11.726442,-41.43558,7.143887,6.03024,1040
,3.651394,6.341280716115289,0.45545954,14.387457,-13.180633,0.99494565,53,0.5635076,0.55473334,3.651394,8.066790103912354,,0.59576035,14.387457,0.056350764,1.2189124,,-12.534581,-11.749233,-40.901295,7.1184783,5.797228,1060
,3.633234,6.389119285430292,0.45543563,14.387457,-13.199325,0.99494565,54,0.5634778,0.4562381,3.633234,8.292728424072266,,0.5932092,14.387457,0.056347784,1.2154416,,-12.702734,-11.774308,-40.394135,7.0945888,5.828405,1080
