LQGsigma,IWFirstEpisode,URet,DenMISELogLast,DenMISELogFirst,ReturnMean,TimestepsSoFar,ReturnMin,ReturnAbsMax,TimeElapsed,IWMean,ReturnStepMax,LQGmu1,MISE,IWMax,DenMISEMeanLog,LQGmu01,ReturnLastEpisode,IWMin,Bound,target_sum_log_mean,IWLastEpisode,Iteration,ReturnMax
0.11,1.0,16.687925283112612,18.60218,18.60218,15.058442,20,,15.058442,0.05027341842651367,1.0,0.9625284,-0.099999994,15.058442,1.0,18.60218,-0.010033198,15.058442,,15.058442,18.60218,1.0,1,15.058442
0.11,6.1774154e-30,17.494942704504936,21.312778,18.60218,15.429264,40,,15.800085,1.0516772270202637,1.3610034e-23,0.99534386,-0.26602244,2.150397e-22,2.7220062e-23,19.95748,-0.027251093,15.800085,,2.150397e-22,-39.649887,2.7220062e-23,2,15.800085
0.11,6.149723e-06,18.42202881938791,14.065252,18.196716,15.838679,60,,16.65751,1.0892055034637451,14.039464,0.9999696,-0.16981627,233.86249,42.1183,17.723095,-0.017146066,16.65751,,233.86249,11.835734,42.1183,3,16.65751
0.11,8.199627e-06,18.509517312687677,15.561701,17.909035,16.065899,80,,16.747553,1.373424768447876,1.8897774,0.9999696,-0.16981627,31.565063,3.8249562,17.644659,-0.017146066,16.747553,,31.565063,13.102612,3.8249562,4,16.747553
0.11,,18.026389487152528,12.882753,17.685894,16.110943,100,,16.747553,1.4200847148895264,8.260301e-09,0.9999696,-0.3828845,1.3759794e-07,4.1196074e-08,16.779842,-0.040321656,16.291126,,1.3759794e-07,-55.59485,3.720405e-20,5,16.747553
0.11,,18.50881028783648,12.943558,17.503572,16.215755,120,,16.747553,1.4699013233184814,0.9964482,0.9999696,-0.3828845,16.680359,5.978689,15.988526,-0.040321656,16.739815,,16.680359,-43.87375,5.978689,6,16.747553
0.11,,18.829712020562127,17.84657,17.349422,16.335247,140,,17.052198,1.5226035118103027,0.07157183,0.99998075,-0.5552559,1.2199028,0.48858407,16.2206,-0.06251317,17.052198,,1.2199028,-89.60392,0.48858407,7,17.052198
0.11,,18.821209879952836,11.914426,17.21589,16.423988,160,,17.052198,1.7047054767608643,1.0488322,0.99998075,-0.5552559,17.877445,7.854538,15.574142,-0.06251317,17.045176,,17.877445,-76.656494,7.854538,8,17.052198
0.11,2.41063e-12,18.906039826439265,18.556757,17.098106,16.501926,180,,17.125433,1.7673313617706299,5.2743904e-10,0.99998075,-0.023882894,8.333384e-09,4.7445408e-09,15.8840685,-0.0023887393,17.125433,,8.333384e-09,-50.901184,,9,17.125433
0.11,,15.609442961950945,-33.993725,16.992746,16.265888,200,,17.125433,2.0136711597442627,0.04507749,0.99998075,-0.7482638,0.76847285,0.4359304,10.801466,-0.09659768,14.1415415,,0.76847285,-168.86661,,10,17.125433
0.11,,18.46597635862991,-30.74934,16.897436,16.304865,220,,17.125433,2.211106777191162,0.97144294,0.99998075,-0.67409784,16.323336,7.485873,6.9414873,-0.08163949,16.694641,,16.323336,-137.27441,7.485873,11,17.125433
0.11,,18.93120401592704,17.428747,16.810425,16.375406,240,,17.151367,2.5255556106567383,0.8351957,0.99998075,-0.67409784,14.117639,4.8594117,7.800895,-0.08163949,17.151367,,14.117639,-124.3137,2.2827532,12,17.151367
0.11,6.4607296e-14,19.00902070863885,10.021509,16.730383,16.440859,260,,17.226295,2.6073663234710693,2.3544042,0.99998075,-0.21136133,39.317986,16.81606,7.954435,-0.0214563,17.226295,,39.317986,-15.325036,2.7207613e-15,13,17.226295
0.11,6.9577096e-14,18.60586488718913,15.008235,16.656275,16.46952,280,,17.226295,2.815979242324829,1.414344,0.99998075,-0.21136133,23.649815,7.895905,8.502021,-0.0214563,16.84211,,23.649815,-13.055293,4.2338686,14,17.226295
0.11,,18.61369781155419,17.27134,16.587282,16.494503,300,,17.226295,2.912050485610962,1.0840884,0.99998075,-0.45726106,18.449965,8.859023,9.099762,-0.049344175,16.84425,,18.449965,-56.087425,2.2984229e-07,15,17.226295
0.11,8.111046e-31,18.771091159165508,8.47189,16.522743,16.525776,320,,17.226295,3.2443041801452637,0.9915654,0.99998075,-0.2718012,16.700008,8.756764,9.057758,-0.027873546,16.994873,,16.700008,-15.829777,0.045350276,16,17.226295
0.11,8.617974e-31,18.834649090828524,14.958126,16.462118,16.55724,340,,17.226295,3.4834768772125244,1.1717341,0.99998075,-0.2718012,19.843822,8.540107,9.39536,-0.027873546,17.060673,,19.843822,-13.89256,8.540107,17,17.226295
0.11,2.7339917e-25,18.69280823327586,16.485497,16.40496,16.57737,360,,17.226295,3.585080862045288,2.255892e-10,0.99998075,0.011732227,3.190179e-09,4.0606056e-09,9.790157,0.0011732761,16.919573,,3.190179e-09,-87.42228,,18,17.226295
0.11,,13.824803415620657,-19.080624,16.350893,16.36783,380,,17.226295,3.8170554637908936,0.43411502,0.99998075,-0.7344783,7.3077393,5.736116,8.2194195,-0.09356379,12.5961075,,7.3077393,-138.41077,,19,17.226295
0.11,,18.42832572578242,-33.571644,16.299599,16.382395,400,,17.226295,4.053506374359131,2.0358168e-10,0.99998075,0.039883576,2.5643367e-09,4.0716337e-09,6.100797,0.003990453,16.659134,,2.5643367e-09,-111.68386,,20,17.226295
