Iteration,DenMISEMeanLog,LQGmu1,IWFirstEpisode,IWLastEpisode,Bound,IWMean,ReturnMin,DenMISELogFirst,ReturnMean,DenMISELogLast,target_sum_log_mean,URet,SqrtESSClassic,TimeElapsed,ReturnMax,IWNorm2,IWMax,ReturnLastEpisode,ReturnAbsMax,ExplorationBonus,LQGmu01,MISE,TimestepsSoFar,LQGsigma,IWMin,IWNorm1,ReturnStepMax
1,18.60218,-0.10011358,1.0066385,1.0066385,45.27529,1.0066385,,18.60218,15.058442,18.60218,18.608797,16.687925283112612,1.0,0.06685066223144531,15.058442,1.0066385,1.0066385,15.058442,15.058442,30.116884,-0.01004467,15.158408,20,0.11,,1.0066385,0.9625284
2,19.957775,-0.10025144,1.0112648,1.0071782,37.918716,1.0092216,,18.605494,15.430096,21.310059,19.966953,17.496762158994496,1.4142108,1.316781997680664,15.801748,1.4272577,1.0112648,15.801748,15.801748,22.34709,-0.010058594,15.571625,40,0.11,,2.018443,0.9953758
3,20.366884,-0.10107756,1.0531347,0.93355435,33.960846,1.006641,,18.609241,15.564015,21.178965,20.372122,17.53371324089023,1.7297167,1.4280364513397217,15.831858,1.7459064,1.0531347,15.831858,15.831858,18.305723,-0.010142043,15.655124,60,0.11,,3.0199232,0.99644613
4,19.956226,-0.101454645,1.058752,1.0531789,32.15185,1.0177811,,18.622438,15.709172,18.71953,19.9723,17.871077430961083,1.9970304,1.5539774894714355,16.14464,2.0385892,1.058752,16.14464,16.14464,16.168648,-0.010180138,15.983203,80,0.11,,4.0711246,0.99962693
5,18.726294,-0.102091156,1.0770608,0.9889163,30.353813,1.0151628,,18.634119,15.646846,13.792611,18.738913,17.05083731738298,2.2308917,1.6774265766143799,16.14464,2.2752402,1.0770608,15.397541,16.14464,14.47371,-0.01024445,15.880102,100,0.11,,5.0758142,0.99962693
6,18.394041,-0.102268934,1.071416,1.2112793,29.624899,1.0460161,,18.646881,15.667111,16.720486,18.43488,17.464114239169195,2.4393892,1.8211581707000732,16.14464,2.5728147,1.2112793,15.768443,16.14464,13.236626,-0.010262412,16.388273,120,0.11,,6.2760963,0.99962693
7,18.495481,-0.10247043,1.06935,1.0307599,28.568605,1.0422199,,18.657032,15.659929,19.065361,18.533312,17.30180896210057,2.6364577,1.9475536346435547,16.14464,2.7671747,1.2073673,15.616839,16.14464,12.247221,-0.0102827735,16.321384,140,0.11,,7.295539,0.99962693
8,17.942993,-0.1027142,1.0703212,1.0030909,27.676281,1.0375321,,18.665663,15.632721,14.039142,17.976402,17.11810059392288,2.8186557,2.08017897605896,16.14464,2.9447572,1.2148262,15.44226,16.14464,11.45556,-0.010307406,16.220722,160,0.11,,8.300257,0.99962693
9,18.182182,-0.103042625,1.0750023,0.963931,26.905495,1.0311847,,18.673447,15.608309,20.062784,18.208866,17.081308467830244,2.987697,2.210679531097412,16.14464,3.1062932,1.2376955,15.413008,16.14464,10.807415,-0.0103405975,16.09808,180,0.11,,9.280663,0.99962693
10,17.744743,-0.10327395,1.0756464,1.1682535,26.830856,1.0443822,,18.68092,15.689302,13.780155,17.783535,18.16113894475205,3.1475785,2.345698595046997,16.418245,3.3180497,1.245002,16.418245,16.418245,10.432302,-0.010363977,16.398554,200,0.11,,10.443822,0.99962693
11,17.70174,-0.10359577,1.0796442,0.9060771,26.164722,1.0337632,,18.687773,15.659091,17.231869,17.729052,17.02210361052222,3.2968447,2.4747812747955322,16.418245,3.4491751,1.268045,15.356983,16.418245,9.959975,-0.010396502,16.204748,220,0.11,,11.371395,0.99962693
12,17.748198,-0.10396652,1.0846184,1.0133772,25.76726,1.0332732,,18.694387,15.683869,18.228794,17.77419,17.67415756877221,3.4403758,2.629317045211792,16.418245,3.6040478,1.2984328,15.956434,16.418245,9.544449,-0.010433977,16.22281,240,0.11,,12.399279,0.99962693
13,17.23868,-0.104250245,1.086138,1.2006891,25.63577,1.0457586,,18.700876,15.715939,11.094298,17.275616,17.82660253735169,3.5773907,2.774038314819336,16.418245,3.8002174,1.3138485,16.100767,16.418245,9.178894,-0.010462658,16.456877,260,0.11,,13.594862,0.9997065
14,17.24806,-0.10453748,1.0874895,1.0895948,25.384563,1.049074,,18.707008,15.741603,17.328152,17.287794,17.797139213328737,3.7112389,2.92185640335083,16.418245,3.9574485,1.3300941,16.075233,16.418245,8.847852,-0.010491695,16.53671,280,0.11,,14.6870365,0.99971664
15,17.31302,-0.10480401,1.0880061,1.1648159,25.2008,1.0566405,,18.712826,15.736306,18.177322,17.359404,17.334713484816078,3.839831,3.095752000808716,16.418245,4.1276836,1.3431803,15.662142,16.418245,8.551546,-0.010518639,16.649254,300,0.11,,15.849608,0.99971664
16,17.273485,-0.10512805,1.0895948,0.9432661,24.841255,1.0505471,,18.71831,15.734835,16.627995,17.313072,17.411934512944548,3.961442,3.247873067855835,16.418245,4.2430897,1.3656653,15.712765,16.418245,8.289024,-0.010551401,16.55223,320,0.11,,16.808754,0.99971664
