ReturnStepMax,DenMISELogLast,IWMean,ReturnMax,TimeElapsed,Bound,IWNorm2,LQGsigma,LQGmu1,target_sum_log_mean,ReturnLastEpisode,IWMin,IWNorm1,LQGmu01,ReturnAbsMax,ReturnMean,IWLastEpisode,TimestepsSoFar,ExplorationBonus,Iteration,SqrtESSClassic,IWMax,MISE,IWFirstEpisode,DenMISEMeanLog,URet,DenMISELogFirst,ReturnMin
0.9625284,18.60218,,15.058442,0.05012249946594238,30.116884,1e-10,0.11,-0.726665,-384.166,15.058442,,1e-10,-0.091902375,15.058442,15.058442,,20,30.116884,1,1.0,,,,18.60218,16.687925283112612,18.60218,
0.99998933,3.9100537,,16.915434,2.087794780731201,23.922035,1.4142136e-10,0.11,0.38658363,-560.4741,16.915434,,2e-10,0.040755127,16.915434,15.986938,,40,23.922035,2,1.4142135,,,,10.909543,18.69162787865,17.909033,
0.99998933,-56.360653,0.65964293,16.915434,3.7923943996429443,44.989014,1.9789288,0.11,-0.8893471,-1126.4689,8.839949,,1.9789288,-0.14093499,16.915434,13.6046095,,60,33.830868,3,1.0,1.9789288,11.158146,,-11.784165,9.690549829850458,17.503569,
0.99998933,-56.64834,0.8679614,16.915434,6.178348541259766,48.51281,3.4718456,0.11,-0.7518426,-861.0977,16.640339,,3.4718456,-0.09740815,16.915434,14.363541,6.6794604e-36,80,33.830868,4,1.0,3.4718456,14.681944,,-23.08932,18.408843731458393,17.215887,
0.99998933,12.946802,,17.186388,8.528021097183228,15.371975,2.2360681e-10,0.11,0.1799861,-280.85376,17.186388,,5e-10,0.018194824,17.186388,14.92811,,100,15.371975,5,2.2360678,,,,-15.93564,18.96790789856842,16.992743,
0.99998933,-57.053802,0.74463683,17.186388,11.55627703666687,42.784832,3.9205282,0.11,-0.83043295,-895.28827,9.231995,,4.467821,-0.118395075,17.186388,13.978757,,120,30.162228,6,1.1395967,3.87553,12.622603,,-22.940603,10.11322740334581,16.810421,
0.99998933,-57.20795,6.7159344e-06,17.186388,15.041057586669922,30.906384,4.2271036e-05,0.11,-0.40365893,-697.4776,16.661041,,4.7012236e-05,-0.04277512,17.186388,14.36194,1.044485e-26,140,30.90627,7,1.1121619,4.1969095e-05,0.00011522747,,-27.883432,18.432414725840736,16.656271,
0.99998933,11.701529,0.39388788,17.186388,18.68900418281555,37.034267,2.783056,0.11,-0.845557,-691.28326,17.076447,,3.151103,-0.12340333,17.186388,14.701254,4.9488257e-25,160,30.358055,8,1.1322457,2.7546775,6.676211,,-23.05215,18.85073506058465,16.52274,
0.99998933,18.690983,2.1164322e-38,17.186388,22.214128971099854,11.457592,3e-10,0.11,0.4418349,-455.90662,17.179514,,8.9999996e-10,0.047415264,17.186388,14.976617,,180,11.457592,9,3.0,1.904789e-37,1.8709153e-37,,-18.480469,18.95864674326967,16.404957,
0.99998933,-57.56463,0.8947984,17.186388,26.102405071258545,49.652752,8.947984,0.11,-0.34721598,-723.6309,8.91469,,8.947984,-0.036211617,17.186388,14.370424,,200,34.372776,10,1.0,8.947984,15.279976,,-22.48371,9.762726549971704,16.299595,
