ReturnMin,SqrtESSClassic,target_sum_log_mean,ReturnMax,IWFirstEpisode,IWNorm1,ExplorationBonus,DenMISELogLast,ReturnStepMax,IWMax,ReturnLastEpisode,Iteration,LQGmu01,TimestepsSoFar,ReturnAbsMax,LQGsigma,IWMin,IWNorm2,DenMISELogFirst,IWLastEpisode,LQGmu1,Bound,DenMISEMeanLog,URet,MISE,IWMean,TimeElapsed,ReturnMean
,1.0,12.849516,9.380901,1.0042634,1.0042634,18.761803,12.845262,0.55877954,1.0042634,9.380901,1,0.001010101,20,9.380901,0.11,,1.0042634,12.845262,1.0042634,0.01010101,28.182697,12.845262,10.303278693899255,9.420896,1.0042634,0.045685529708862305,9.380901
,1.0004599,13.243401,9.380901,0.012274523,26.692335,18.753178,14.755722,0.55877954,26.680061,9.249708,2,0.0030303032,40,9.380901,0.11,,26.680063,12.847391,26.680061,0.030303031,142.20213,13.801557,10.166394052361602,123.44896,13.346168,1.8885269165039062,9.315305
,1.4177965,15.828861,9.380901,0.018299472,5.803327,13.233071,19.903095,0.55877954,2.9942307,9.184156,3,0.0030303032,60,9.380901,0.11,,4.0932016,12.448045,2.9942307,0.030303031,31.061474,16.454817,10.085677680633932,17.828402,1.9344424,2.9693522453308105,9.271588
,1.7389592,16.298954,9.380901,0.024251372,5.9056783,10.789099,17.038534,0.55877954,1.9980755,9.2500305,4,0.0030303032,80,9.380901,0.11,,3.3960993,12.166444,1.9556059,0.030303031,24.413757,16.723965,10.15268805296383,13.624658,1.4764196,3.8037562370300293,9.266199
,1.0942847,14.152601,9.380901,2.4600244,2.6972106,17.145267,17.106453,0.55877954,2.4600244,9.175225,5,0.001010101,100,9.380901,0.11,,2.4648163,11.949345,0.13515884,0.01010101,22.197464,16.862463,10.07552934482122,5.0521975,0.5394421,4.604503870010376,9.248004
,2.240782,15.588589,9.380901,0.024234401,9.629556,8.372882,10.141308,0.55877954,1.9980564,9.206833,6,0.0030303032,120,9.380901,0.11,,4.2974086,12.167144,1.8806412,0.030303031,23.160454,15.664851,10.111530156621239,14.787572,1.604926,5.288885116577148,9.241142
,2.4556937,15.473485,9.380901,0.02815973,10.235928,7.6401234,14.240186,0.55979556,1.7487226,9.178826,7,0.0030303032,140,9.380901,0.11,,4.168243,12.017024,1.7206001,0.030303031,21.104809,15.528163,10.090698711314747,13.464686,1.4622754,6.155428647994995,9.23224
,1.0002636,-41.90102,9.553689,3.383761e-35,2.3443488e-19,19.102343,18.9792,0.57715887,2.343721e-19,9.553689,8,0.00909091,160,9.553689,0.11,,2.343731e-19,11.887507,7.180039e-32,0.09090909,19.102343,16.00637,10.522380419794905,2.6912688e-19,2.9303355e-20,7.18146014213562,9.272421
,1.0,-34.950203,9.553689,3.8067294e-35,8.999991,19.107378,18.459099,0.57715887,8.999991,9.027768,9,0.00909091,180,9.553689,0.11,,8.999991,11.769725,8.999991,0.09090909,28.135138,16.1742,9.916071030933145,9.02776,0.99999905,8.082241296768188,9.245237
,1.0013427,-6.336602,9.553689,1.4407553e-19,36.046272,19.081758,14.108212,0.57715887,35.997906,9.052531,10,0.0070707067,200,9.553689,0.11,,35.99794,11.664364,35.997906,0.07070707,51.71264,15.94209,9.942488386284762,32.630882,3.6046271,9.120475053787231,9.225966
,1.4076525,-4.1243196,9.553689,1.5848248e-19,19.653824,13.573931,15.601313,0.57715887,10.992288,9.059275,11,0.0070707067,220,9.553689,0.11,,13.962128,11.569054,10.992288,0.07070707,29.754808,15.963632,9.950903706066939,16.180878,1.7867112,10.109755039215088,9.210813
,1.7346861,-2.2934577,9.553689,1.728903e-19,17.323267,11.014891,16.054327,0.57715887,5.999634,9.064808,12,0.0070707067,240,9.553689,0.11,,9.986399,11.482042,5.999634,0.07070707,24.092566,15.997737,9.955806686793586,13.077675,1.4436055,11.018688440322876,9.198646
,1.0982351,-20.699413,9.553689,5.498591e-35,7.063312,17.398258,13.971222,0.57715887,6.4070377,9.047476,13,0.00909091,260,9.553689,0.11,,6.431512,11.401999,0.10365014,0.09090909,22.304543,15.858697,9.937735677900877,4.9062834,0.5433317,11.958117246627808,9.187017
,2.0022864,-0.5852125,9.553689,2.017056e-19,18.030148,9.54278,11.415019,0.57715887,4.666401,9.0102215,14,0.0070707067,280,9.553689,0.11,,9.00478,11.327891,0.00054868474,0.07070707,21.205856,15.504639,9.8952397040062,11.663076,1.2878677,12.824251413345337,9.174388
,2.2400846,0.6767777,9.553689,2.161131e-19,18.0856,8.5297575,17.103563,0.57715887,3.7498374,9.04628,15,0.0070707067,300,9.553689,0.11,,8.073624,11.258899,3.4593387,0.07070707,19.446445,15.621304,9.935901863629896,10.916688,1.2057067,13.843903064727783,9.165849
,1.0118955,-40.84713,9.553689,,0.9424126,18.882757,15.659279,0.57715887,0.93126726,9.050968,16,0.011111111,320,9.553689,0.11,,0.9313339,11.194361,5.9103216e-09,0.11111111,19.413479,15.630711,9.941274582137519,0.53072137,0.05890079,14.832735061645508,9.1586685
,1.0631946,-37.39204,9.553689,,15.422825,17.971664,15.216897,0.57715887,14.475944,8.996196,17,0.011111111,340,9.553689,0.11,,14.506116,11.133736,14.475944,0.11111111,26.134031,15.552681,9.88119824567813,8.162367,0.907225,15.723572492599487,9.149111
,1.4876074,-34.609936,9.553689,,18.055351,12.844369,10.50813,0.57715887,8.826101,8.986876,18,0.011111111,360,9.553689,0.11,,12.137176,11.076577,8.826101,0.11111111,21.864412,15.25568,9.871077238190848,9.020043,1.0030751,16.65113592147827,9.140098
,1.8679271,-9.817347,9.553689,8.036374e-35,18.818731,10.229188,16.141314,0.57715887,6.2198477,9.0147505,19,0.00909091,380,9.553689,0.11,,10.07466,11.022511,5.763489,0.09090909,19.16231,15.294696,9.900921849635916,8.933122,0.99045956,17.769957780838013,9.133501
,1.5132313,-30.209082,9.553689,6.542365,13.536186,12.626872,13.742959,0.57715887,6.542365,9.024832,20,0.001010101,400,9.553689,0.11,,8.94522,10.971217,3.5215473e-36,0.01010101,19.020458,15.212039,9.912120638838479,6.393585,0.6768093,18.802072763442993,9.128068
,1.544841,-33.89277,9.688149,,14.689984,12.542584,9.139693,0.61800236,6.879513,9.688149,21,0.011111111,420,9.688149,0.11,,9.509059,11.205437,,0.11111111,18.833576,14.904692,10.647141173893225,6.290992,0.6995231,19.72609567642212,9.154738
,1.0000548,-159.585,9.688149,,3.6930827e-18,19.375237,2.4340093,0.61800236,3.692879e-18,9.002522,22,0.017171716,440,9.688149,0.11,,3.69288e-18,11.158916,3.692879e-18,0.17171717,19.375237,14.321369,9.884116043360915,1.5112209e-18,1.6786639e-19,20.660632848739624,9.147819
,1.0,-151.88818,9.688149,,23.0,19.376299,14.306591,0.61800236,23.0,8.820846,23,0.017171716,460,9.688149,0.11,,23.0,11.114465,23.0,0.17171717,28.197144,14.278206,9.687974211086196,8.820846,1.0,21.63434338569641,9.133603
,1.0241556,-203.58752,9.688149,,12.340489,18.919292,12.882797,0.61800236,12.045824,8.7983,24,0.019191919,480,9.688149,0.11,,12.049428,11.071905,12.045824,0.1919192,23.44354,14.208159,9.662553043072368,4.5242486,0.51418704,22.674458503723145,9.119632
,1.2768521,-194.763,9.688149,,33.65271,15.175053,13.806415,0.61800236,24.994972,8.738514,25,0.019191919,500,9.688149,0.11,,26.355997,11.031083,24.994972,0.1919192,26.959019,14.169659,9.59770736788452,11.783965,1.3461084,23.564027547836304,9.104387
