TimestepsSoFar,ReturnMin,SqrtESSClassic,MISE,IWFirstEpisode,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,IWLastEpisode,ExplorationBonus,DenMISELogFirst,Iteration,IWMin,ReturnMax,ReturnMean,ReturnLastEpisode,LQGmu01,TimeElapsed,LQGmu1,URet,DenMISELogLast,Bound,IWMax,LQGsigma,target_sum_log_mean,IWMean,IWNorm1,IWNorm2
20,,1.0,18.416975,1.2230332,18.60218,0.9625284,15.058442,1.2230332,30.116884,18.60218,1,,15.058442,15.058442,15.058442,-0.011110653,0.051842451095581055,-0.110656105,16.687925283112612,18.60218,48.53386,1.2230332,0.11,18.803514,1.2230332,1.2230332,1.2230332
40,,1.4104612,18.437489,1.1003274,19.834576,0.99769473,15.943526,1.2736055,22.607536,18.707907,2,,15.943526,15.500984,15.943526,-0.011110653,0.7271182537078857,-0.110656105,17.65144763451032,20.961245,41.045025,1.2736055,0.11,20.003305,1.1869664,2.3739328,1.6830899
60,,1.7172914,16.050625,1.0647218,20.375748,0.9980863,16.002333,0.84426516,18.636711,18.7408,3,,16.002333,15.668101,16.002333,-0.011110653,0.7779009342193604,-0.110656105,17.717651583033557,21.337915,34.687336,1.1671578,0.11,20.391747,1.0253816,3.0761447,1.791277
80,,1.9901079,16.590366,1.0477672,19.93983,0.9999598,16.268705,1.1472341,16.349571,18.756853,4,,16.268705,15.818252,16.268705,-0.011110653,0.8309931755065918,-0.110656105,18.004091041313032,18.614805,32.939938,1.1472341,0.11,19.98185,1.0484524,4.1938095,2.1073277
100,,2.2302818,16.397564,1.037852,18.709415,0.9999598,16.268705,1.050134,14.588923,18.766361,5,,16.268705,15.774042,15.597202,-0.011110653,0.8833110332489014,-0.110656105,17.269297167530585,13.750049,30.986488,1.1144173,0.11,18.745274,1.0393531,5.1967654,2.3300936
120,,2.443592,16.628416,1.031346,18.384785,0.9999598,16.268705,1.1549469,13.315402,18.77265,6,,16.268705,15.797595,15.915366,-0.011110653,0.9376592636108398,-0.110656105,17.62325855504833,16.72932,29.943817,1.1549469,0.11,18.43329,1.0523297,6.313978,2.583892
140,,2.6417215,16.52276,1.0267493,18.484999,0.9999598,16.268705,1.0584692,12.316746,18.777117,7,,16.268705,15.794,15.772427,-0.011110653,0.9951279163360596,-0.110656105,17.470772883525974,19.04193,28.839506,1.1299348,0.11,18.528355,1.0459609,7.3217263,2.771574
160,,2.8255107,16.375748,1.0233258,17.931099,0.9999598,16.268705,1.02863,11.515586,18.780457,8,,16.268705,15.770201,15.603606,-0.011110653,1.052236795425415,-0.110656105,17.292063163332728,14.013875,27.891335,1.1118759,0.11,17.967573,1.0382502,8.306002,2.939646
180,,2.997721,16.235712,1.0206807,18.168,0.9999598,16.268705,1.0077873,10.854049,18.783045,9,,16.268705,15.748901,15.578516,-0.011110653,1.1124300956726074,-0.110656105,17.261178992044204,20.029396,27.08976,1.0982244,0.11,18.197527,1.0307661,9.2768955,3.0946496
200,,3.160262,16.335562,1.0185744,17.736757,0.9999598,16.495577,1.0733325,10.439372,18.78511,10,,16.495577,15.823568,16.495577,-0.011110653,1.1749176979064941,-0.110656105,18.243813935855524,13.827992,26.774933,1.0875413,0.11,17.76765,1.0320474,10.320474,3.2657018
220,,3.3146052,16.176966,1.0168585,17.689753,0.9999598,16.495577,0.9725072,9.953268,18.786797,11,,16.495577,15.795471,15.514492,-0.011110653,1.2410376071929932,-0.110656105,17.19336837287424,17.190683,26.130234,1.0789546,0.11,17.712664,1.0238076,11.261885,3.397655
240,,3.4624777,16.163742,1.015432,17.736237,0.9999598,16.495577,1.0208149,9.5281925,18.7882,12,,16.495577,15.817397,16.058563,-0.011110653,1.3059282302856445,-0.110656105,17.783649123691163,18.225794,25.691935,1.0719025,0.11,17.757141,1.0216106,12.259328,3.540623
260,,3.6040938,16.205482,1.014228,17.234625,0.9999598,16.495577,1.0531136,9.1538,18.789387,13,,16.495577,15.845755,16.186039,-0.011110653,1.3760135173797607,-0.110656105,17.917478312722572,11.195397,25.359283,1.0660062,0.11,17.256374,1.0224051,13.291267,3.687825
280,,3.7404335,16.21413,1.0131974,17.246695,0.9999598,16.495577,1.0319756,8.820143,18.790403,14,,16.495577,15.868373,16.162424,-0.011110653,1.4464943408966064,-0.110656105,17.890670297854133,17.382828,25.034273,1.0610039,0.11,17.267654,1.0215199,14.301278,3.823428
300,,3.8719,16.206804,1.0123069,17.316477,0.9999598,16.495577,1.0420711,8.520662,18.791283,15,,16.495577,15.862417,15.779037,-0.011110653,1.5192832946777344,-0.110656105,17.462657122044853,18.27338,24.727467,1.0567062,0.11,17.337452,1.0214847,15.322271,3.9573002
320,,3.9990292,16.160711,1.0115291,17.272482,0.9999598,16.495577,0.9995881,8.24979,18.792051,16,,16.495577,15.859356,15.8134365,-0.011110653,1.6022882461547852,-0.110656105,17.52051930318876,16.592442,24.410501,1.052974,0.11,17.290861,1.0188,16.3008,4.0761895
340,,4.122233,16.178823,1.0108426,17.31516,0.9999598,16.495577,1.0368252,8.003224,18.79273,17,,16.495577,15.877569,16.168982,-0.011110653,1.6793906688690186,-0.110656105,17.898243809492364,17.980347,24.182049,1.0497035,0.11,17.333546,1.0187749,17.319172,4.2014055
360,,4.241879,16.175585,1.0102353,17.36683,0.9999598,16.495577,1.0248181,7.777486,18.793331,18,,16.495577,15.885417,16.018848,-0.011110653,1.7594444751739502,-0.110656105,17.743261813571724,18.22752,23.953072,1.0468123,0.11,17.384575,1.0180862,18.325552,4.3201494
380,,4.358181,16.185328,1.0096902,17.39696,0.9999598,16.495577,1.0399108,7.5699368,18.79387,19,,16.495577,15.89181,16.006855,-0.011110653,1.8414225578308105,-0.110656105,17.723901465200754,17.92217,23.755264,1.0442399,0.11,17.414928,1.0182999,19.347698,4.439398
400,,4.4715023,16.19973,1.0092012,17.375025,0.9999598,16.495577,1.0224732,7.378092,18.794355,20,,16.495577,15.91689,16.393406,-0.011110653,1.9304900169372559,-0.110656105,18.138985093845534,16.940872,23.577822,1.0419359,0.11,17.392338,1.0176094,20.352188,4.5515327
420,,4.5820017,16.204264,1.0087605,17.354954,0.9999598,16.495577,1.0283092,7.200162,18.794792,21,,16.495577,15.926416,16.116947,-0.011110653,2.0159549713134766,-0.110656105,17.84011978125214,16.936804,23.404427,1.0398593,0.11,17.371975,1.017294,21.363174,4.6624107
440,,4.6894383,16.129333,1.0083584,17.182453,0.9999598,16.495577,0.94810194,7.0352035,18.79519,22,,16.495577,15.913436,15.640842,-0.011110653,2.106501579284668,-0.110656105,17.315061004792557,13.543473,23.164537,1.0379788,0.11,17.195528,1.0133755,22.294262,4.754143
460,,4.794927,16.103151,1.0079911,16.785528,0.9999598,16.495577,0.9959399,6.880429,18.795555,23,,16.495577,15.908795,15.806713,-0.011110653,2.197404623031616,-0.110656105,17.503141992557165,8.040356,22.98358,1.0362676,0.11,16.7973,1.0120372,23.276855,4.8544755
480,,4.8981447,16.117376,1.0076567,16.824522,0.9999598,16.495577,1.0264477,6.735439,18.795887,24,,16.495577,15.921342,16.209929,-0.011110653,2.2873027324676514,-0.110656105,17.94269313944992,17.709879,22.852816,1.0347034,0.11,16.836412,1.0121365,24.291275,4.959281
500,,4.999241,16.106195,1.0073472,16.899256,0.9999598,16.495577,1.0185744,6.5992327,18.796194,25,,16.495577,15.914127,15.740951,-0.011110653,2.3812224864959717,-0.110656105,17.429385248029394,18.681238,22.70543,1.0332696,0.11,16.910942,1.0119096,25.29774,5.0603166
520,,5.0983267,16.104744,1.0070629,16.899866,0.9999598,16.495577,1.0184364,6.470977,18.796476,26,,16.495577,15.916101,15.965464,-0.011110653,2.4794349670410156,-0.110656105,17.68707353812423,16.903656,22.575722,1.0319481,0.11,16.911366,1.0117042,26.304308,5.1594005
540,,5.1955104,16.096483,1.0067998,17.032808,0.9999598,16.495577,1.0007403,6.349935,18.796738,27,,16.495577,15.921345,16.057682,-0.011110653,2.5774729251861572,-0.110656105,17.77850632445603,20.478046,22.446419,1.0307285,0.11,17.043491,1.0108664,27.293392,5.253265
560,,5.290905,16.101841,1.0065559,17.002325,0.9999598,16.495577,1.0216447,6.2354465,18.79698,28,,16.495577,15.926764,16.073051,-0.011110653,2.677189826965332,-0.110656105,17.789941481506588,16.168825,22.337288,1.0295987,0.11,17.013018,1.0108646,28.30421,5.3495975
580,,5.38461,16.09936,1.0063275,17.073036,0.9999598,16.495577,1.0193479,6.1269345,18.797207,29,,16.495577,15.925717,15.896431,-0.011110653,2.7785942554473877,-0.110656105,17.609965451041916,19.042406,22.226294,1.0285505,0.11,17.083658,1.0107844,29.312748,5.4438014
600,,5.47671,16.0957,1.0061164,16.86965,0.9999598,16.495577,1.0027447,6.0239,18.797417,30,,16.495577,15.932127,16.118015,-0.011110653,2.882697343826294,-0.110656105,17.844989100893365,10.961077,22.119598,1.027572,0.11,16.879663,1.0101588,30.304764,5.5333886
620,,5.567284,16.090216,1.0059168,16.667387,0.9999598,16.495577,1.002171,5.9258976,18.797615,31,,16.495577,15.936045,16.053558,-0.011110653,2.9889285564422607,-0.110656105,17.780869838838626,10.589672,22.016113,1.0266591,0.11,16.676828,1.0095751,31.29683,5.6215615
640,,5.656409,16.08643,1.0057307,16.617636,0.9999598,16.495577,1.0133917,5.832526,18.7978,32,,16.495577,15.935213,15.909446,-0.011110653,3.1029672622680664,-0.110656105,17.613324026328364,15.066058,21.918957,1.0258038,0.11,16.626907,1.0093966,32.30069,5.7104588
660,,5.7441406,16.066734,1.0055562,16.642916,0.9999598,16.495577,0.9989572,5.7434444,18.797974,33,,16.495577,15.925149,15.603112,-0.011110653,3.212881088256836,-0.110656105,17.29075891782382,17.442802,21.810179,1.0250019,0.11,16.6516,1.0087969,33.2903,5.7955227
680,,5.8304906,16.04777,1.0053933,16.701485,0.9999598,16.495577,0.9794208,5.658384,18.798136,34,,16.495577,15.9241085,15.889757,-0.011110653,3.326184034347534,-0.110656105,17.597418866147258,18.6257,21.706154,1.0242494,0.11,16.709051,1.0076756,34.26097,5.876173
700,,5.9156504,16.042133,1.0052379,16.761223,0.9999598,16.495577,1.00842,5.5769277,18.79829,35,,16.495577,15.921718,15.8405,-0.011110653,3.440514087677002,-0.110656105,17.538539765292892,18.78487,21.61906,1.0235405,0.11,16.7686,1.007478,35.26173,5.960753
720,,5.999586,16.049078,1.0050902,16.697655,0.9999598,16.495577,1.0204626,5.4989047,18.798437,36,,16.495577,15.926205,16.083193,-0.011110653,3.557237386703491,-0.110656105,17.79543396749721,14.465435,21.547983,1.0228711,0.11,16.705187,1.0076314,36.27473,6.0462055
740,,6.0823536,16.068756,1.0049523,16.610302,0.9999598,16.503777,1.0240004,5.426773,18.798574,37,,16.503777,15.941815,16.503777,-0.011110653,3.6774449348449707,-0.110656105,18.25675051864927,13.458236,21.49553,1.0240004,0.11,16.618073,1.0078678,37.291107,6.1310325
760,,6.1640296,16.070826,1.0048219,16.612415,0.9999598,16.503777,1.0134351,5.354866,18.798704,38,,16.503777,15.944879,16.058216,-0.011110653,3.799865484237671,-0.110656105,17.766009740085796,16.682964,21.425692,1.0233542,0.11,16.62013,1.007808,38.296703,6.212933
780,,6.2446375,16.06306,1.0046973,16.638428,0.9999598,16.503777,1.0087259,5.2857437,18.798828,39,,16.503777,15.940035,15.756048,-0.011110653,3.92160964012146,-0.110656105,17.45541826217862,17.619284,21.348804,1.0227414,0.11,16.645973,1.0076318,39.297638,6.2930217
800,,6.3242145,16.048971,1.0045805,16.728216,0.9999598,16.503777,1.0023373,5.2192335,18.798944,40,,16.503777,15.931178,15.585731,-0.011110653,4.046757459640503,-0.110656105,17.279251813259442,20.222525,21.268204,1.0221603,0.11,16.735445,1.0073092,40.292366,6.3711257
820,,6.4021997,15.987528,1.0044674,16.53589,0.9999598,16.503777,0.9176787,5.1556582,18.799057,41,,16.503777,15.905329,14.871342,-0.011110653,4.1880457401275635,-0.110656105,16.513257719388033,8.835743,21.143187,1.0216087,0.11,16.540672,1.0049455,41.202766,6.4357204
