DenMISEMeanLog,ReturnStepMax,URet,SqrtESSClassic,Bound,DenMISELogLast,ReturnAbsMax,TimeElapsed,TimestepsSoFar,LQGsigma,IWLastEpisode,ReturnLastEpisode,IWNorm2,IWMean,ReturnMin,ReturnMean,LQGmu1,IWMax,IWMin,MISE,IWNorm1,LQGmu01,ExplorationBonus,Iteration,ReturnMax,target_sum_log_mean,IWFirstEpisode,DenMISELogFirst
18.60218,0.9625284,16.687925283112612,1.0,49.01712,18.60218,15.058442,0.052651166915893555,20,0.11,1.2551258,15.058442,1.2551258,1.2551258,,15.058442,-0.108678184,1.2551258,,18.900238,1.2551258,-0.0109104775,30.116884,1,15.058442,18.829416,1.2551258,18.60218
19.879822,0.99734735,17.62443757124685,1.4099373,40.840332,21.037403,15.918728,6.3369410037994385,40,0.11,1.2680475,15.918728,1.6686683,1.1763588,,15.4885845,-0.110656105,1.2680475,,18.259571,2.3527176,-0.011110653,22.580761,2,15.918728,20.039198,1.0846702,18.722239
20.424597,0.9980736,17.710786971628483,1.7316064,34.889572,21.400732,15.995777,11.89748239517212,60,0.11,1.0218279,15.995777,1.8172928,1.0489453,,15.657649,-0.10669941,1.0797039,,16.4145,3.1468358,-0.010710301,18.475073,3,15.995777,20.472124,1.0797039,18.75007
20.005573,0.9998867,17.96570509517042,1.9789149,32.94477,18.712069,16.233181,17.779574155807495,80,0.11,1.1972337,16.233181,2.1143563,1.0460328,,15.801532,-0.110656105,1.1972337,,16.538626,4.184131,-0.011110653,16.406145,4,16.233181,20.038877,1.0342891,18.7698
18.739891,0.9998867,17.253714102609212,1.0027522,32.37726,13.642377,16.233181,23.3058979511261,100,0.11,2.3250755e-10,15.582396,1.5411981e-06,3.0898795e-07,,15.757706,-0.027020447,1.5410947e-06,,4.942618e-06,1.5454398e-06,-0.0027026958,32.377254,5,16.233181,-1.8071182,3.8757964e-12,18.776636
16.954336,0.9998867,14.910814749429354,1.0000191,1044.6427,8.938163,16.233181,28.94373345375061,120,0.11,450.42447,13.48267,450.42447,75.07218,,15.378532,-0.05300333,450.42447,,1012.17694,450.43307,-0.0053052553,32.465744,6,16.233181,10.367629,9.162921e-06,18.594315
17.263065,0.9998867,15.453369894476285,1.415207,49.830917,15.707257,16.233181,34.49552655220032,140,0.11,6.811527,13.936853,9.701401,1.9613558,,15.172579,-0.05300333,6.90798,,26.889849,13.72949,-0.0053052553,22.941069,7,16.233181,11.404521,1.0690066e-05,18.440165
16.741596,0.9998867,15.289884901754132,1.7336878,39.18728,12.658461,16.233181,40.488858222961426,160,0.11,3.9894054,13.771812,6.875374,1.4899689,,14.997482,-0.05300333,3.9894054,,20.460516,11.919751,-0.0053052553,18.726763,8,16.233181,11.734219,1.2217198e-05,18.306635
17.017021,0.9998867,15.107825817626336,2.002123,34.37653,18.952536,16.233181,46.07681345939636,180,0.11,2.9583082,13.622731,5.9562416,1.3250144,,14.844731,-0.05300333,2.9946961,,18.160563,11.925129,-0.0053052553,16.215967,9,16.233181,12.656767,1.3744315e-05,18.188854
16.63617,0.9998867,17.197095289032653,1.386773,34.78333,13.011894,16.233181,51.589709758758545,200,0.11,5.296052,15.53216,5.4107237,0.7503445,,14.913475,-0.07095164,5.296052,,11.371884,7.503445,-0.0071069873,23.411446,10,16.233181,14.644339,0.011070943,18.083494
