LQGsigma,URet,TimestepsSoFar,SqrtESSClassic,MISE,LQGmu01,IWLastEpisode,IWMax,LQGmu1,Bound,target_sum_log_mean,IWNorm2,ReturnMax,ExplorationBonus,DenMISELogLast,IWNorm1,DenMISELogFirst,ReturnMin,Iteration,IWFirstEpisode,TimeElapsed,DenMISEMeanLog,IWMean,ReturnLastEpisode,ReturnStepMax,ReturnMean,IWMin,ReturnAbsMax
0.11,16.687925283112612,20,1.0,18.416975,-0.011110653,1.2230332,1.2230332,-0.110656105,48.53386,18.803514,1.2230332,15.058442,30.116884,18.60218,1.2230332,18.60218,,1,1.2230332,0.04750180244445801,18.60218,1.2230332,15.058442,0.9625284,15.058442,,15.058442
0.11,17.65144763451032,40,1.4104612,18.437489,-0.011110653,1.2736055,1.2736055,-0.110656105,41.045025,20.003305,1.6830899,15.943526,22.607536,20.961245,2.3739328,18.707907,,2,1.1003274,0.7178103923797607,19.834576,1.1869664,15.943526,0.99769473,15.500984,,15.943526
0.11,17.717651583033557,60,1.7172914,16.050625,-0.011110653,0.84426516,1.1671578,-0.110656105,34.687336,20.391747,1.791277,16.002333,18.636711,21.337915,3.0761447,18.7408,,3,1.0647218,0.76656174659729,20.375748,1.0253816,16.002333,0.9980863,15.668101,,16.002333
0.11,18.004091041313032,80,1.9901079,16.590366,-0.011110653,1.1472341,1.1472341,-0.110656105,32.939938,19.98185,2.1073277,16.268705,16.349571,18.614805,4.1938095,18.756853,,4,1.0477672,0.8151557445526123,19.93983,1.0484524,16.268705,0.9999598,15.818252,,16.268705
0.11,17.269297167530585,100,2.2302818,16.397564,-0.011110653,1.050134,1.1144173,-0.110656105,30.986488,18.745274,2.3300936,16.268705,14.588923,13.750049,5.1967654,18.766361,,5,1.037852,0.865854024887085,18.709415,1.0393531,15.597202,0.9999598,15.774042,,16.268705
0.11,17.62325855504833,120,2.443592,16.628416,-0.011110653,1.1549469,1.1549469,-0.110656105,29.943817,18.43329,2.583892,16.268705,13.315402,16.72932,6.313978,18.77265,,6,1.031346,0.9197118282318115,18.384785,1.0523297,15.915366,0.9999598,15.797595,,16.268705
0.11,17.470772883525974,140,2.6417215,16.52276,-0.011110653,1.0584692,1.1299348,-0.110656105,28.839506,18.528355,2.771574,16.268705,12.316746,19.04193,7.3217263,18.777117,,7,1.0267493,0.9742896556854248,18.484999,1.0459609,15.772427,0.9999598,15.794,,16.268705
0.11,17.292063163332728,160,2.8255107,16.375748,-0.011110653,1.02863,1.1118759,-0.110656105,27.891335,17.967573,2.939646,16.268705,11.515586,14.013875,8.306002,18.780457,,8,1.0233258,1.032477855682373,17.931099,1.0382502,15.603606,0.9999598,15.770201,,16.268705
0.11,17.261178992044204,180,2.997721,16.235712,-0.011110653,1.0077873,1.0982244,-0.110656105,27.08976,18.197527,3.0946496,16.268705,10.854049,20.029396,9.2768955,18.783045,,9,1.0206807,1.0920207500457764,18.168,1.0307661,15.578516,0.9999598,15.748901,,16.268705
0.11,18.243813935855524,200,3.160262,16.335562,-0.011110653,1.0733325,1.0875413,-0.110656105,26.774933,17.76765,3.2657018,16.495577,10.439372,13.827992,10.320474,18.78511,,10,1.0185744,1.1567363739013672,17.736757,1.0320474,16.495577,0.9999598,15.823568,,16.495577
0.11,17.19336837287424,220,3.3146052,16.176966,-0.011110653,0.9725072,1.0789546,-0.110656105,26.130234,17.712664,3.397655,16.495577,9.953268,17.190683,11.261885,18.786797,,11,1.0168585,1.219177007675171,17.689753,1.0238076,15.514492,0.9999598,15.795471,,16.495577
0.11,17.783649123691163,240,3.4624777,16.163742,-0.011110653,1.0208149,1.0719025,-0.110656105,25.691935,17.757141,3.540623,16.495577,9.5281925,18.225794,12.259328,18.7882,,12,1.015432,1.284414529800415,17.736237,1.0216106,16.058563,0.9999598,15.817397,,16.495577
0.11,17.917478312722572,260,3.6040938,16.205482,-0.011110653,1.0531136,1.0660062,-0.110656105,25.359283,17.256374,3.687825,16.495577,9.1538,11.195397,13.291267,18.789387,,13,1.014228,1.3524062633514404,17.234625,1.0224051,16.186039,0.9999598,15.845755,,16.495577
0.11,17.890670297854133,280,3.7404335,16.21413,-0.011110653,1.0319756,1.0610039,-0.110656105,25.034273,17.267654,3.823428,16.495577,8.820143,17.382828,14.301278,18.790403,,14,1.0131974,1.4216387271881104,17.246695,1.0215199,16.162424,0.9999598,15.868373,,16.495577
0.11,17.462657122044853,300,3.8719,16.206804,-0.011110653,1.0420711,1.0567062,-0.110656105,24.727467,17.337452,3.9573002,16.495577,8.520662,18.27338,15.322271,18.791283,,15,1.0123069,1.4930624961853027,17.316477,1.0214847,15.779037,0.9999598,15.862417,,16.495577
0.11,17.52051930318876,320,3.9990292,16.160711,-0.011110653,0.9995881,1.052974,-0.110656105,24.410501,17.290861,4.0761895,16.495577,8.24979,16.592442,16.3008,18.792051,,16,1.0115291,1.5682861804962158,17.272482,1.0188,15.8134365,0.9999598,15.859356,,16.495577
0.11,17.898243809492364,340,4.122233,16.178823,-0.011110653,1.0368252,1.0497035,-0.110656105,24.182049,17.333546,4.2014055,16.495577,8.003224,17.980347,17.319172,18.79273,,17,1.0108426,1.6466517448425293,17.31516,1.0187749,16.168982,0.9999598,15.877569,,16.495577
0.11,17.743261813571724,360,4.241879,16.175585,-0.011110653,1.0248181,1.0468123,-0.110656105,23.953072,17.384575,4.3201494,16.495577,7.777486,18.22752,18.325552,18.793331,,18,1.0102353,1.7244195938110352,17.36683,1.0180862,16.018848,0.9999598,15.885417,,16.495577
0.11,17.723901465200754,380,4.358181,16.185328,-0.011110653,1.0399108,1.0442399,-0.110656105,23.755264,17.414928,4.439398,16.495577,7.5699368,17.92217,19.347698,18.79387,,19,1.0096902,1.8063280582427979,17.39696,1.0182999,16.006855,0.9999598,15.89181,,16.495577
0.11,18.138985093845534,400,4.4715023,16.19973,-0.011110653,1.0224732,1.0419359,-0.110656105,23.577822,17.392338,4.5515327,16.495577,7.378092,16.940872,20.352188,18.794355,,20,1.0092012,1.8921172618865967,17.375025,1.0176094,16.393406,0.9999598,15.91689,,16.495577
0.11,17.84011978125214,420,4.5820017,16.204264,-0.011110653,1.0283092,1.0398593,-0.110656105,23.404427,17.371975,4.6624107,16.495577,7.200162,16.936804,21.363174,18.794792,,21,1.0087605,1.9767444133758545,17.354954,1.017294,16.116947,0.9999598,15.926416,,16.495577
0.11,17.315061004792557,440,4.6894383,16.129333,-0.011110653,0.94810194,1.0379788,-0.110656105,23.164537,17.195528,4.754143,16.495577,7.0352035,13.543473,22.294262,18.79519,,22,1.0083584,2.063528537750244,17.182453,1.0133755,15.640842,0.9999598,15.913436,,16.495577
0.11,17.503141992557165,460,4.794927,16.103151,-0.011110653,0.9959399,1.0362676,-0.110656105,22.98358,16.7973,4.8544755,16.495577,6.880429,8.040356,23.276855,18.795555,,23,1.0079911,2.152092933654785,16.785528,1.0120372,15.806713,0.9999598,15.908795,,16.495577
0.11,17.94269313944992,480,4.8981447,16.117376,-0.011110653,1.0264477,1.0347034,-0.110656105,22.852816,16.836412,4.959281,16.495577,6.735439,17.709879,24.291275,18.795887,,24,1.0076567,2.241863965988159,16.824522,1.0121365,16.209929,0.9999598,15.921342,,16.495577
0.11,17.429385248029394,500,4.999241,16.106195,-0.011110653,1.0185744,1.0332696,-0.110656105,22.70543,16.910942,5.0603166,16.495577,6.5992327,18.681238,25.29774,18.796194,,25,1.0073472,2.335845708847046,16.899256,1.0119096,15.740951,0.9999598,15.914127,,16.495577
0.11,17.68707353812423,520,5.0983267,16.104744,-0.011110653,1.0184364,1.0319481,-0.110656105,22.575722,16.911366,5.1594005,16.495577,6.470977,16.903656,26.304308,18.796476,,26,1.0070629,2.4314124584198,16.899866,1.0117042,15.965464,0.9999598,15.916101,,16.495577
0.11,17.77850632445603,540,5.1955104,16.096483,-0.011110653,1.0007403,1.0307285,-0.110656105,22.446419,17.043491,5.253265,16.495577,6.349935,20.478046,27.293392,18.796738,,27,1.0067998,2.52639102935791,17.032808,1.0108664,16.057682,0.9999598,15.921345,,16.495577
0.11,17.789941481506588,560,5.290905,16.101841,-0.011110653,1.0216447,1.0295987,-0.110656105,22.337288,17.013018,5.3495975,16.495577,6.2354465,16.168825,28.30421,18.79698,,28,1.0065559,2.624765157699585,17.002325,1.0108646,16.073051,0.9999598,15.926764,,16.495577
