ReturnMean,MISE,IWMean,DenMISEMeanLog,IWMin,ReturnStepMax,ReturnAbsMax,LQGmu1,IWNorm1,DenMISELogFirst,TimestepsSoFar,ReturnMin,ReturnMax,URet,ExplorationBonus,Bound,TimeElapsed,LQGsigma,ReturnLastEpisode,IWMax,LQGmu01,IWLastEpisode,IWFirstEpisode,DenMISELogLast,IWNorm2,Iteration,SqrtESSClassic,target_sum_log_mean
9.380901,9.420896,1.0042634,12.845262,,0.55877954,9.380901,0.01010101,1.0042634,12.845262,20,,9.380901,10.303278693899255,18.761803,28.182697,0.049837589263916016,0.11,9.380901,1.0042634,0.001010101,1.0042634,1.0042634,12.845262,1.0042634,1,1.0,12.849516
9.315305,123.44896,13.346168,13.801557,,0.55877954,9.380901,0.030303031,26.692335,12.847391,40,,9.380901,10.166394052361602,18.753178,142.20213,1.641223669052124,0.11,9.249708,26.680061,0.0030303032,26.680061,0.012274523,14.755722,26.680063,2,1.0004599,13.243401
9.271588,17.828402,1.9344424,16.454817,,0.55877954,9.380901,0.030303031,5.803327,12.448045,60,,9.380901,10.085677680633932,13.233071,31.061474,2.402989387512207,0.11,9.184156,2.9942307,0.0030303032,2.9942307,0.018299472,19.903095,4.0932016,3,1.4177965,15.828861
9.266199,13.624658,1.4764196,16.723965,,0.55877954,9.380901,0.030303031,5.9056783,12.166444,80,,9.380901,10.15268805296383,10.789099,24.413757,3.1941473484039307,0.11,9.2500305,1.9980755,0.0030303032,1.9556059,0.024251372,17.038534,3.3960993,4,1.7389592,16.298954
9.248004,5.0521975,0.5394421,16.862463,,0.55877954,9.380901,0.01010101,2.6972106,11.949345,100,,9.380901,10.07552934482122,17.145267,22.197464,3.9957473278045654,0.11,9.175225,2.4600244,0.001010101,0.13515884,2.4600244,17.106453,2.4648163,5,1.0942847,14.152601
9.241142,14.787572,1.604926,15.664851,,0.55877954,9.380901,0.030303031,9.629556,12.167144,120,,9.380901,10.111530156621239,8.372882,23.160454,4.826859474182129,0.11,9.206833,1.9980564,0.0030303032,1.8806412,0.024234401,10.141308,4.2974086,6,2.240782,15.588589
9.23224,13.464686,1.4622754,15.528163,,0.55979556,9.380901,0.030303031,10.235928,12.017024,140,,9.380901,10.090698711314747,7.6401234,21.104809,5.749028205871582,0.11,9.178826,1.7487226,0.0030303032,1.7206001,0.02815973,14.240186,4.168243,7,2.4556937,15.473485
9.272421,2.6912688e-19,2.9303355e-20,16.00637,,0.57715887,9.553689,0.09090909,2.3443488e-19,11.887507,160,,9.553689,10.522380419794905,19.102343,19.102343,6.582130193710327,0.11,9.553689,2.343721e-19,0.00909091,7.180039e-32,3.383761e-35,18.9792,2.343731e-19,8,1.0002636,-41.90102
9.245237,9.02776,0.99999905,16.1742,,0.57715887,9.553689,0.09090909,8.999991,11.769725,180,,9.553689,9.916071030933145,19.107378,28.135138,7.50788688659668,0.11,9.027768,8.999991,0.00909091,8.999991,3.8067294e-35,18.459099,8.999991,9,1.0,-34.950203
9.225966,32.630882,3.6046271,15.94209,,0.57715887,9.553689,0.07070707,36.046272,11.664364,200,,9.553689,9.942488386284762,19.081758,51.71264,8.390526533126831,0.11,9.052531,35.997906,0.0070707067,35.997906,1.4407553e-19,14.108212,35.99794,10,1.0013427,-6.336602
9.210813,16.180878,1.7867112,15.963632,,0.57715887,9.553689,0.07070707,19.653824,11.569054,220,,9.553689,9.950903706066939,13.573931,29.754808,9.342118740081787,0.11,9.059275,10.992288,0.0070707067,10.992288,1.5848248e-19,15.601313,13.962128,11,1.4076525,-4.1243196
9.198646,13.077675,1.4436055,15.997737,,0.57715887,9.553689,0.07070707,17.323267,11.482042,240,,9.553689,9.955806686793586,11.014891,24.092566,10.170082807540894,0.11,9.064808,5.999634,0.0070707067,5.999634,1.728903e-19,16.054327,9.986399,12,1.7346861,-2.2934577
