LQGsigma,ReturnLastEpisode,IWLastEpisode,DenMISELogLast,SqrtESSClassic,ExplorationBonus,IWNorm1,IWMean,ReturnMax,DenMISELogFirst,ReturnStepMax,Bound,IWMin,DenMISEMeanLog,TimeElapsed,IWNorm2,TimestepsSoFar,LQGmu1,IWMax,ReturnMin,ReturnMean,target_sum_log_mean,ReturnAbsMax,URet,IWFirstEpisode,LQGmu01,Iteration,MISE
0.11,15.058442,1.2551258,18.60218,1.0,30.116884,1.2551258,1.2551258,15.058442,18.60218,0.9625284,49.01712,,18.60218,0.04973292350769043,1.2551258,20,-0.108678184,1.2551258,,15.058442,18.829416,15.058442,16.687925283112612,1.2551258,-0.0109104775,1,18.900238
0.11,15.918728,1.2680475,21.037403,1.4099373,22.580761,2.3527176,1.1763588,15.918728,18.722239,0.99734735,40.840332,,19.879822,3.2141315937042236,1.6686683,40,-0.110656105,1.2680475,,15.4885845,20.039198,15.918728,17.62443757124685,1.0846702,-0.011110653,2,18.259571
0.11,15.995777,1.0218279,21.400732,1.7316064,18.475073,3.1468358,1.0489453,15.995777,18.75007,0.9980736,34.889572,,20.424597,5.935563802719116,1.8172928,60,-0.10669941,1.0797039,,15.657649,20.472124,15.995777,17.710786971628483,1.0797039,-0.010710301,3,16.4145
0.11,16.233181,1.1972337,18.712069,1.9789149,16.406145,4.184131,1.0460328,16.233181,18.7698,0.9998867,32.94477,,20.005573,8.684287786483765,2.1143563,80,-0.110656105,1.1972337,,15.801532,20.038877,16.233181,17.96570509517042,1.0342891,-0.011110653,4,16.538626
0.11,15.582396,2.3250755e-10,13.642377,1.0027522,32.377254,1.5454398e-06,3.0898795e-07,16.233181,18.776636,0.9998867,32.37726,,18.739891,11.552316188812256,1.5411981e-06,100,-0.027020447,1.5410947e-06,,15.757706,-1.8071182,16.233181,17.253714102609212,3.8757964e-12,-0.0027026958,5,4.942618e-06
0.11,13.48267,450.42447,8.938163,1.0000191,32.465744,450.43307,75.07218,16.233181,18.594315,0.9998867,1044.6427,,16.954336,14.30383038520813,450.42447,120,-0.05300333,450.42447,,15.378532,10.367629,16.233181,14.910814749429354,9.162921e-06,-0.0053052553,6,1012.17694
0.11,13.936853,6.811527,15.707257,1.415207,22.941069,13.72949,1.9613558,16.233181,18.440165,0.9998867,49.830917,,17.263065,17.087809801101685,9.701401,140,-0.05300333,6.90798,,15.172579,11.404521,16.233181,15.453369894476285,1.0690066e-05,-0.0053052553,7,26.889849
0.11,13.771812,3.9894054,12.658461,1.7336878,18.726763,11.919751,1.4899689,16.233181,18.306635,0.9998867,39.18728,,16.741596,19.83479928970337,6.875374,160,-0.05300333,3.9894054,,14.997482,11.734219,16.233181,15.289884901754132,1.2217198e-05,-0.0053052553,8,20.460516
0.11,13.622731,2.9583082,18.952536,2.002123,16.215967,11.925129,1.3250144,16.233181,18.188854,0.9998867,34.37653,,17.017021,22.61368489265442,5.9562416,180,-0.05300333,2.9946961,,14.844731,12.656767,16.233181,15.107825817626336,1.3744315e-05,-0.0053052553,9,18.160563
0.11,15.53216,5.296052,13.011894,1.386773,23.411446,7.503445,0.7503445,16.233181,18.083494,0.9998867,34.78333,,16.63617,25.49218440055847,5.4107237,200,-0.07095164,5.296052,,14.913475,14.644339,16.233181,17.197095289032653,0.011070943,-0.0071069873,10,11.371884
0.11,14.261415,2.9232185,15.037876,2.4395382,13.308404,14.976266,1.3614787,16.233181,17.98929,0.9998867,32.545116,,16.462395,28.234630584716797,6.1389756,220,-0.056995213,2.9232185,,14.854197,13.680761,16.233181,15.823590076653652,9.215444e-05,-0.0057056434,11,19.236713
0.11,14.931787,4.0191607e-34,17.46794,1.010089,32.14208,4.972438e-07,4.1336985e-08,16.233181,17.902288,0.9998867,32.14208,,16.56862,30.98457407951355,4.922772e-07,240,-0.2119529,4.9216106e-07,,14.8606615,-50.374653,16.233181,16.556736795139578,1.4356895e-14,-0.021518199,12,6.7092884e-07
0.11,16.56103,24.01416,2.3813128,1.0000198,33.121403,24.014635,1.8472797,16.56103,17.822245,0.9998867,63.71424,,15.403403,33.73044490814209,24.01416,260,-0.18696384,24.01416,,14.99146,-28.648884,16.56103,18.31916789432415,6.1002154e-09,-0.01891666,13,30.592838
0.11,16.78216,7.773364,15.881657,1.4114388,23.780216,16.589504,1.1849645,16.78216,17.748137,0.9998867,43.52723,,15.443492,36.61525368690491,11.753612,280,-0.19275333,8.816019,,15.119368,-28.917406,16.78216,18.54681753127475,4.1521434e-10,-0.01951704,14,19.747011
