SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,ReturnStepMax,LQGmu1,IWFirstEpisode,TimeElapsed,MISE,ExplorationBonus,IWLastEpisode,IWNorm1,Iteration,IWMin,DenMISELogFirst,ReturnMean,LQGmu01,DenMISELogLast,TimestepsSoFar,IWMean,ReturnMin,Bound,IWNorm2,DenMISEMeanLog,ReturnMax,ReturnAbsMax,URet,IWMax,LQGsigma
1.0,12.849516,9.380901,0.55877954,0.01010101,1.0042634,0.0679323673248291,9.420896,18.761803,1.0042634,1.0,1,,12.845262,9.380901,0.001010101,12.845262,20,1.0042634,,28.182697,1.0,12.845262,9.380901,9.380901,10.303278693899255,1.0042634,0.11
1.4142135,13.243401,9.249708,0.55877954,0.030303031,0.012274523,2.2525429725646973,123.44896,13.266598,26.680061,2.0,2,,12.847391,9.315305,0.0030303032,14.755722,40,13.346168,,136.71556,1.4142135,13.801557,9.380901,9.380901,10.166394052361602,26.680061,0.11
1.7320509,15.828861,9.184156,0.55877954,0.030303031,0.018299472,2.935871124267578,17.828402,10.832131,2.9942307,3.0,3,,12.448045,9.271588,0.0030303032,19.903095,60,1.9344424,,28.660534,1.7320508,16.454817,9.380901,9.380901,10.085677680633932,2.9942307,0.11
2.0,16.298954,9.2500305,0.55877954,0.030303031,0.024251372,3.7682178020477295,13.624658,9.380901,1.9556059,4.0,4,,12.166444,9.266199,0.0030303032,17.038534,80,1.4764196,,23.005558,2.0,16.723965,9.380901,9.380901,10.15268805296383,1.9980755,0.11
2.236068,16.551722,9.175225,0.55877954,0.030303031,0.030131536,4.612525224685669,12.057631,8.390533,1.5782912,5.0,5,,11.949345,9.248004,0.0030303032,17.106453,100,1.3083745,,20.448164,2.236068,16.862463,9.380901,9.380901,10.07552934482122,1.6655965,0.11
2.4494896,8.821383,9.1092005,0.55877954,0.05050505,1.2692739e-08,5.470823764801025,19.509918,7.6594744,12.812909,6.0,6,,11.773031,9.22487,0.005050505,8.675859,120,2.1417274,,27.169392,2.4494898,15.534992,9.380901,9.380901,10.004649478962499,12.812909,0.11
2.6457515,9.673024,9.116734,0.55877954,0.05050505,1.4808186e-08,6.311237335205078,14.632601,7.0912943,6.427828,7.0,7,,11.61888,9.209422,0.005050505,12.922222,140,1.6055405,,21.723896,2.6457512,15.193755,9.380901,9.380901,10.017345586290983,6.427828,0.11
2.828427,15.325153,9.139617,0.55877954,0.030303031,0.047921646,7.1542253494262695,11.822259,6.633299,1.9366196,8.0,8,,11.48535,9.200697,0.0030303032,19.12273,160,1.2854661,,18.455559,2.828427,15.715168,9.380901,9.380901,10.039694295695988,1.9765192,0.11
3.0,15.555922,9.196207,0.55877954,0.030303031,0.05359083,8.248410940170288,11.419278,6.2539344,1.785323,9.0,9,,11.373539,9.200198,0.0030303032,16.82247,180,1.2417326,,17.673212,3.0,15.861912,9.380901,9.380901,10.105563883957709,1.785323,0.11
3.1622777,15.572095,9.508127,0.599013,0.030303031,0.059192944,9.100686311721802,10.036737,6.013468,0.44245255,10.0,10,,11.274115,9.23099,0.0030303032,16.533073,200,1.0899451,,16.050205,3.1622777,15.947995,9.508127,9.508127,10.428445145795427,1.6553257,0.11
3.3166246,15.866794,9.264402,0.599013,0.030303031,0.064729065,9.964463472366333,10.005215,5.733617,1.5249721,11.0,11,,11.184707,9.234028,0.0030303032,18.39181,220,1.0855851,,15.7388315,3.3166249,16.17578,9.508127,9.508127,10.183736690499424,1.5622528,0.11
3.4641018,16.03173,9.223966,0.599013,0.030303031,0.07020044,10.835806608200073,9.899333,5.4895196,1.3618987,12.0,12,,11.103562,9.23319,0.0030303032,17.537146,240,1.0739334,,15.388853,3.4641016,16.294493,9.508127,9.508127,10.134081234544105,1.4923307,0.11
3.6055512,15.984788,9.14593,0.599013,0.030303031,0.0756082,11.706703186035156,9.8987255,5.27416,1.4359846,13.0,13,,11.029352,9.226477,0.0030303032,15.059633,260,1.0746716,,15.172886,3.6055512,16.203848,9.508127,9.508127,10.047848193964988,1.4378757,0.11
