TimestepsSoFar,ReturnMean,target_sum_log_mean,IWLastEpisode,IWMin,DenMISELogLast,LQGsigma,TimeElapsed,ExplorationBonus,IWNorm2,IWMean,ReturnMin,MISE,IWFirstEpisode,DenMISELogFirst,IWMax,DenMISEMeanLog,Iteration,LQGmu01,ReturnAbsMax,ReturnLastEpisode,ReturnMax,LQGmu1,SqrtESSClassic,Bound,IWNorm1,URet,ReturnStepMax
20,9.380901,12.849516,1.0042634,,12.845262,0.11,0.04411673545837402,93.33878,1.0042634,1.0042634,,9.420896,1.0042634,12.845262,1.0042634,12.845262,1,0.001010101,9.380901,9.380901,9.380901,0.01010101,1.0,102.75968,1.0042634,10.303278693899255,0.55877954
40,9.315305,13.243401,26.680061,,14.755722,0.11,1.592993974685669,65.970146,26.680063,13.346168,,123.44896,0.012274523,12.847391,26.680061,13.801557,2,0.0030303032,9.380901,9.249708,9.380901,0.030303031,1.0004599,189.4191,26.692335,10.166394052361602,0.55877954
60,9.271588,15.828861,2.9942307,,19.903095,0.11,2.2638816833496094,38.0091,4.0932016,1.9344424,,17.828402,0.018299472,12.448045,2.9942307,16.454817,3,0.0030303032,9.380901,9.184156,9.380901,0.030303031,1.4177965,55.8375,5.803327,10.085677680633932,0.55877954
80,9.266199,13.914465,0.045404717,,17.038534,0.11,3.052548408508301,44.019615,1.9818473,0.5252863,,4.9236555,1.979951,12.166444,1.979951,16.723965,4,0.001010101,9.380901,9.2500305,9.380901,0.01010101,1.0601953,48.94327,2.1011453,10.15268805296383,0.55877954
100,9.268961,-50.00769,4.8005923e-18,,16.915962,0.11,3.8339924812316895,41.73784,4.800593e-18,9.60222e-19,,8.910878e-18,5.175542e-22,12.345418,4.8005923e-18,16.670286,5,-0.005050505,9.380901,9.280007,9.380901,-0.05050505,1.0001086,41.73784,4.8011147e-18,10.190458349516712,0.55877954
120,9.656688,-13.55941,251.60051,,2.513623,0.11,4.51945161819458,47.10041,251.60051,41.93342,,486.23145,3.1738095e-10,12.163096,251.60051,14.158908,6,-0.0030303032,11.595321,11.595321,11.595321,-0.030303031,1.0,533.33185,251.60051,12.825624628504624,0.7610775
140,10.032811,-9.510515,6.3243127,,12.9384575,0.11,5.422253370285034,32.705334,9.313479,1.8801814,,22.428522,3.7027825e-10,12.008946,6.836957,14.389522,7,-0.0030303032,12.289547,12.289547,12.289547,-0.030303031,1.4131421,55.133858,13.16127,13.616915055817019,0.8731355
160,10.437006,-26.689966,6.9784126,,17.724117,0.11,6.290771245956421,43.62618,6.9908304,0.9347951,,12.332117,8.280847e-22,11.875415,6.9784126,14.855145,8,-0.005050505,13.266375,13.266375,13.266375,-0.05050505,1.0697385,55.958298,7.4783607,14.745792028216988,0.962684
180,10.7837515,-77.8076,,,16.366964,0.11,7.1153295040130615,44.958866,6.5859877e-19,7.3188036e-20,,6.721711e-19,3.853042e-35,11.757631,6.585978e-19,14.994914,9,0.00909091,13.557719,13.557719,13.557719,0.09090909,1.0001557,44.958866,6.5870134e-19,15.054967763225703,0.962684
200,10.626264,-38.891167,3367.0647,,-4.2930164,0.11,8.032999992370605,42.658367,3367.0647,336.70648,,3100.687,1.4582835e-19,11.652271,3367.0647,12.971295,10,0.0070707067,13.557719,9.208873,13.557719,0.07070707,1.0,3143.3455,3367.0647,10.101134751920172,0.962684
220,10.48381,-33.719376,10.996146,,15.600962,0.11,8.863544702529907,28.760288,15.530606,1.9966887,,18.237707,1.6041059e-19,11.556961,10.996146,13.652999,11,0.0070707067,13.557719,9.059275,13.557719,0.07070707,1.4142123,46.997993,21.963575,9.950903706066939,0.962684
240,10.36556,-196.19409,,,16.054295,0.11,9.734111547470093,38.597958,2.6673382e-11,2.2425705e-12,,2.975657e-11,,11.46995,2.6672315e-11,13.888733,12,-0.011111111,13.557719,9.064808,13.557719,-0.11111111,1.0089027,38.597958,2.6910845e-11,9.955806686793586,0.962684
260,10.751149,-87.6973,21.236801,,-8.44001,0.11,10.593969106674194,41.804424,21.238813,1.6585033,,25.45296,7.5921196e-38,11.389907,21.236801,12.097251,13,-0.0070707067,15.378209,15.378209,15.378209,-0.07070707,1.0151482,67.257385,21.560543,17.06314107075285,0.99960953
280,11.072967,-80.54736,9.298389,,10.172066,0.11,11.513583660125732,28.402035,12.726675,1.3088709,,19.996508,8.176161e-38,11.315799,9.298389,11.961853,14,-0.0070707067,15.378209,15.256594,15.378209,-0.07070707,1.4398255,48.398544,18.324192,16.888718050918442,0.99960953
