Bound,LQGmu1,URet,LQGsigma,IWNorm1,ReturnMin,IWLastEpisode,DenMISEMeanLog,SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,IWFirstEpisode,ReturnMax,ReturnStepMax,ReturnAbsMax,DenMISELogLast,TimeElapsed,TimestepsSoFar,ExplorationBonus,MISE,IWNorm2,IWMax,LQGmu01,IWMean,IWMin,Iteration,ReturnMean,DenMISELogFirst
28.182697,0.01010101,10.303278693899255,0.11,1.0042634,,1.0042634,12.845262,1.0,12.849516,9.380901,1.0042634,9.380901,0.55877954,9.380901,12.845262,0.04529929161071777,20,18.761803,9.420896,1.0042634,1.0042634,0.001010101,1.0042634,,1,9.380901,12.845262
136.70946,0.030303031,10.166394052361602,0.11,26.692335,,26.680061,13.801557,1.0004599,13.243401,9.249708,0.012274523,9.380901,0.55877954,9.380901,14.755722,1.5852265357971191,40,13.2605,123.44896,26.680063,26.680061,0.0030303032,13.346168,,2,9.315305,12.847391
25.46852,0.030303031,10.085677680633932,0.11,5.803327,,2.9942307,16.454817,1.4177965,15.828861,9.184156,0.018299472,9.380901,0.55877954,9.380901,19.903095,2.238797426223755,60,7.640117,17.828402,4.0932016,2.9942307,0.0030303032,1.9344424,,3,9.271588,12.448045
19.019207,0.030303031,10.15268805296383,0.11,5.9056783,,1.9556059,16.723965,1.7389592,16.298954,9.2500305,0.024251372,9.380901,0.55877954,9.380901,17.038534,3.0147275924682617,80,5.3945494,13.624658,3.3960993,1.9980755,0.0030303032,1.4764196,,4,9.266199,12.166444
16.234556,0.030303031,10.07552934482122,0.11,6.5418725,,1.5782912,16.862463,2.0087821,16.551722,9.175225,0.030131536,9.380901,0.55877954,9.380901,17.106453,3.8326785564422607,100,4.176925,12.057631,3.2566361,1.6655965,0.0030303032,1.3083745,,5,9.248004,11.949345
27.147095,0.05050505,10.004649478962499,0.11,12.850365,,12.812909,15.534992,1.0029196,8.821383,9.1092005,1.2692739e-08,9.380901,0.55877954,9.380901,8.675859,4.65424656867981,120,7.6371765,19.509918,12.812956,12.812909,0.005050505,2.1417274,,6,9.22487,11.773031
19.682205,0.05050505,10.017345586290983,0.11,11.238784,,6.427828,15.193755,1.4043266,9.673024,9.116734,1.4808186e-08,9.380901,0.55877954,9.380901,12.922222,5.456371068954468,140,5.0496054,14.632601,8.002971,6.427828,0.005050505,1.6055405,,7,9.209422,11.61888
14.652398,0.030303031,10.039694295695988,0.11,10.283729,,1.9366196,15.715168,2.3438067,15.325153,9.139617,0.047921646,9.380901,0.55877954,9.380901,19.12273,6.289842367172241,160,2.8301392,11.822259,4.387618,1.9765192,0.0030303032,1.2854661,,8,9.200697,11.48535
13.856979,0.030303031,10.105563883957709,0.11,11.175593,,1.785323,15.861912,2.5655048,15.555922,9.196207,0.05359083,9.380901,0.55877954,9.380901,16.82247,7.11699914932251,180,2.4377012,11.419278,4.356099,1.785323,0.0030303032,1.2417326,,9,9.200198,11.373539
12.448603,0.01010101,10.428445145795427,0.11,8.777863,,3.7007608,15.947995,1.4416083,10.368346,9.508127,4.8326807,9.508127,0.599013,9.508127,16.533073,7.944705247879028,200,4.17136,8.277243,6.0889373,4.8326807,0.001010101,0.8777863,,10,9.23099,11.274115
12.309692,0.01010101,10.585869964378775,0.11,10.469202,,3.6478362,15.996786,1.769394,11.061997,9.610273,3.5839427,9.610273,0.6116247,9.610273,16.70437,8.806077718734741,220,3.2752528,9.03444,5.916829,3.6478362,0.001010101,0.9517456,,11,9.265471,11.573052
12.5483055,0.01010101,11.629500075201117,0.11,11.760262,,2.983348,16.049343,2.0449028,11.627332,10.560387,2.9489481,10.560387,0.6360203,10.560387,16.75298,9.710394382476807,240,2.9815803,9.566726,5.751013,2.988428,0.001010101,0.9800218,,12,9.373381,11.768067
12.17749,0.01010101,10.620244803038887,0.11,12.842783,,2.5095992,15.924135,2.2871761,11.91919,9.640455,2.5644836,10.560387,0.6360203,10.560387,14.501362,10.494589567184448,260,2.5611708,9.61632,5.615126,2.5919728,0.001010101,0.9879064,,13,9.393925,11.907759
12.106918,0.030303031,10.308658655386537,0.11,15.242801,,0.5501865,15.667349,2.7133758,14.213333,9.385193,0.028253691,10.560387,0.6360203,10.560387,12.38738,11.34123945236206,280,2.0803473,10.026571,5.617652,2.315603,0.0030303032,1.0887715,,14,9.393302,12.013693
11.912697,0.030303031,10.071568156905027,0.11,16.365154,,2.1180542,15.689031,2.9167042,14.378651,9.171233,0.030210836,10.560387,0.6360203,10.560387,15.942602,12.242758750915527,300,1.8696995,10.042997,5.610838,2.1288843,0.0030303032,1.0910103,,15,9.378497,11.946716
11.75753,0.030303031,10.111401599428493,0.11,17.47829,,1.9915389,15.720129,3.10465,14.531032,9.205563,0.032160126,10.560387,0.6360203,10.560387,16.127832,13.073562145233154,320,1.700737,10.056793,5.6297135,1.9915389,0.0030303032,1.0923932,,16,9.367688,11.88419
