ReturnLastEpisode,IWNorm2,DenMISEMeanLog,Iteration,IWNorm1,LQGsigma,TimestepsSoFar,ReturnMax,IWFirstEpisode,URet,DenMISELogFirst,ReturnStepMax,IWMax,IWMean,ExplorationBonus,LQGmu01,TimeElapsed,ReturnMean,ReturnMin,IWLastEpisode,DenMISELogLast,SqrtESSClassic,Bound,target_sum_log_mean,ReturnAbsMax,IWMin,LQGmu1,MISE
15.058442,1e-10,18.60218,1,1e-10,0.11,20,15.058442,,16.687925283112612,18.60218,0.9625284,,,1.5134304,0.088700056,0.20118951797485352,15.058442,,,18.60218,1.0,1.5134304,-1039.3711,15.058442,,0.71106654,
8.714923,1.4142136e-10,-18.996723,2,2e-10,0.11,40,15.058442,1.23549075e-29,9.555728766475532,17.909033,0.9625284,1.23549075e-29,6.1774538e-30,1.0701569,-0.027251093,4.254915714263916,11.8866825,,,-55.90248,1.4142135,1.0701569,-1262.7654,15.058442,,-0.26602244,9.302283e-29
16.215435,7.773729e-07,-37.573635,3,7.778276e-07,0.11,60,16.215435,2.5478114e-10,17.968788134309438,17.503569,0.9999683,7.772729e-07,2.591759e-07,1.6287597,-0.019671652,4.418968677520752,13.3296,,7.772729e-07,-73.91652,1.000585,1.6287639,-729.2141,16.215435,,-0.19424213,4.2025513e-06
16.823868,2e-10,-24.202368,4,4e-10,0.11,80,16.823868,,18.59033410908808,17.215887,0.9999683,,,0.84543115,0.014449375,5.24254035949707,14.203167,,,16.774471,2.0,0.84543115,-198.86476,16.823868,,0.14350632,
9.04811,4.9029506e-07,-26.677088,5,4.906951e-07,0.11,100,16.823868,,9.927361400929396,16.992743,0.9999683,4.901951e-07,9.803902e-08,1.6894839,-0.040321656,5.424585580825806,13.172155,,,-35.683388,1.0008159,1.6894855,-951.81506,16.823868,,-0.3828845,1.6493954e-06
16.424656,477.04468,-31.510653,6,477.04468,0.11,120,16.823868,,18.185889726666485,16.810421,0.9999683,477.04468,79.50745,1.6908623,0.040694486,5.924161672592163,13.714238,,,-54.766888,1.0,694.59216,-370.70627,16.823868,,0.3860669,692.9013
8.8264675,inf,-inf,7,inf,0.11,140,16.823868,,9.675168432953788,16.656271,0.9999683,inf,inf,nan,0.040694486,8.350848913192749,13.0159855,,inf,-inf,nan,nan,-332.48325,16.823868,,0.3860669,inf
8.631594,inf,-inf,8,inf,0.11,160,16.823868,,9.48319574855374,16.52274,0.9999683,inf,inf,nan,0.040694486,8.668843030929565,12.4679365,,3.9985468,12.656171,nan,nan,-289.16757,16.823868,,0.3860669,inf
8.602507,inf,-inf,9,inf,0.11,180,16.823868,,9.448607148943482,16.404957,0.9999683,inf,inf,nan,0.040694486,9.04920506477356,12.0384445,,2.9588106,18.952364,nan,nan,-254.8115,16.823868,,0.3860669,inf
8.63099,inf,-inf,10,inf,0.11,200,16.823868,,9.477842391993498,16.299595,0.9999683,inf,inf,nan,0.040694486,9.302047729492188,11.697699,,2.499217,12.982786,nan,nan,-227.94048,16.823868,,0.3860669,inf
