ReturnMin,SqrtESSClassic,ReturnLastEpisode,ReturnMax,LQGmu,URet,IWMin,IWFirstEpisode,LQGsigma,ReturnMean,DenMISELogFirst,Iteration,target_sum_log_mean,Bound,ReturnStepMax,IWMax,ReturnAbsMax,TimestepsSoFar,IWLastEpisode,TimeElapsed,DenMISEMeanLog,IWMean,IWNorm2,MISE,IWNorm1,DenMISELogLast
,1.0,15.058442,15.058442,[[-0.1]],16.687925283112612,,1.0634128,[[0.11]],15.058442,18.60218,1,18.663664,46.130226,0.9625284,1.0634128,15.058442,20,1.0634128,0.08152151107788086,18.60218,1.0634128,1.0634128,16.01334,1.0634128,18.60218
,1.4140788,15.816505,15.816505,[[-0.101]],17.512890872467693,,1.1005981,[[0.11]],15.437473,18.633394,2,20.040966,39.123554,0.9956544,1.1005981,15.816505,40,1.0706357,1.168799638748169,19.958914,1.0856168,1.5354403,16.753506,2.1712337,21.284433
,1.5617988,15.868034,15.868034,[[-0.103]],17.572966536400166,,0.93358463,[[0.11]],15.580994,18.666378,3,19.868586,31.082983,0.99688625,0.93358463,15.868034,60,0.22378567,1.25594162940979,20.415396,0.69514984,1.3352869,10.762779,2.0854495,21.272102
,1.2521803,16.288889,16.288889,[[-0.116]],18.026730400672147,,0.19814101,[[0.11]],15.757967,18.649633,4,18.25866,35.509575,0.99997854,1.8479353,16.288889,80,1.8479353,1.3439640998840332,19.777145,0.5887373,1.8806789,9.492733,2.3549492,18.113018
,1.7471453,15.890175,16.288889,[[-0.13]],17.59018289390898,,0.48818722,[[0.11]],15.784409,18.474838,5,17.755419,34.882713,0.99997854,2.2210505,16.288889,100,2.2210505,1.4331719875335693,18.253763,1.0187876,2.9155777,16.236422,5.093938,12.549916
,1.9748715,16.134077,16.288889,[[-0.125]],17.858706806755517,,0.4387984,[[0.11]],15.842687,18.385677,6,17.50948,34.535477,0.99997854,2.337413,16.288889,120,2.337413,1.528454303741455,17.885052,1.1271837,3.4245782,18.039328,6.763102,16.070585
,2.168614,16.011955,16.288889,[[-0.127]],17.729875016864835,,0.36310562,[[0.11]],15.866868,18.302109,7,17.632433,33.473263,0.99997854,2.4117348,16.288889,140,1.749253,1.6224260330200195,17.983759,1.1520816,3.718768,18.450867,8.064571,18.508286
,2.2697299,15.887423,16.288889,[[-0.129]],17.59681702319493,,0.24533553,[[0.11]],15.869437,18.219149,8,17.011051,32.257576,0.99997854,2.7311964,16.288889,160,1.3241999,1.7179269790649414,17.45958,1.118056,3.9407547,17.904427,8.944448,13.692778
,2.1781886,15.917592,16.288889,[[-0.132]],17.62812486401518,,0.099631935,[[0.11]],15.874788,18.131573,9,16.953373,31.51176,0.99997854,3.4481006,16.288889,180,1.1216036,1.815915822982788,17.716618,1.0327078,4.2670183,16.555397,9.294371,19.70136
,2.306983,16.688652,16.688652,[[-0.137]],18.44913737580596,,0.074990414,[[0.11]],15.956175,18.03722,10,16.536505,33.17173,0.99997854,3.2110786,16.688652,200,3.2110786,1.917651653289795,17.253296,1.1534204,4.999692,18.703787,11.5342045,13.093723
