DenMISEMeanLog,IWNorm1,ReturnMean,IWMax,ReturnAbsMax,target_sum_log_mean,DenMISELogFirst,MISE,LQGmu,ReturnMax,ReturnMin,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,IWMean,IWFirstEpisode,IWMin,DenMISELogLast,Bound,URet,TimestepsSoFar,TimeElapsed,LQGsigma,Iteration,SqrtESSClassic,IWNorm2
18.60218,1.0,9.914582,1.0,9.914582,18.60218,18.60218,9.914582,[[-0.8]],9.914582,,9.914582,1.0,0.60951036,1.0,1.0,,18.60218,29.743748,10.919721563862451,20,0.22301936149597168,[[0.11]],1,1.0,1.0
19.95748,2.0,11.435879,1.0,12.957175,19.95748,18.60218,11.435879,[[-0.8]],12.957175,,12.957175,1.0,0.96167606,1.0,1.0,,21.312778,29.760092,14.3838819655497,40,0.8217036724090576,[[0.11]],2,1.4142135,1.4142135
20.361195,3.0,11.902827,1.0,12.957175,20.361195,18.60218,11.902827,[[-0.8]],12.957175,,12.836721,1.0,0.96167606,1.0,1.0,,21.168627,26.864483,14.240784570868462,60,0.8680319786071777,[[0.11]],3,1.7320509,1.7320508
19.958935,4.0,11.826945,1.0,12.957175,19.958935,18.60218,11.826945,[[-0.8]],12.957175,,11.5993,1.0,0.96167606,1.0,1.0,,18.75216,24.78412,12.659803409806152,80,0.934851884841919,[[0.11]],4,2.0,2.0
18.72694,5.0,11.564785,1.0,12.957175,18.72694,18.60218,11.564785,[[-0.8]],12.957175,,10.516143,1.0,0.96167606,1.0,1.0,,13.798967,23.154034,11.59373411966426,100,1.033097505569458,[[0.11]],5,2.236068,2.236068
18.418013,6.0,11.80795,1.0,13.023781,18.418013,18.60218,11.80795,[[-0.8]],13.023781,,13.023781,1.0,0.96167606,1.0,1.0,,16.873373,22.441822,14.457829891090496,120,1.087686538696289,[[0.11]],6,2.4494896,2.4494898
18.515263,7.0,11.922128,1.0,13.023781,18.515263,18.60218,11.922128,[[-0.8]],13.023781,,12.607188,1.0,0.96167606,1.0,1.0,,19.098753,21.76718,13.997757758525557,140,1.145320177078247,[[0.11]],7,2.6457515,2.6457512
17.956116,8.0,11.846388,1.0,13.023781,17.956116,18.60218,11.846388,[[-0.8]],13.023781,,11.3162155,1.0,0.96167606,1.0,1.0,,14.042103,21.055592,12.56874154007862,160,1.1957495212554932,[[0.11]],8,2.828427,2.828427
18.187344,9.0,11.705532,1.0,13.023781,18.187344,18.60218,11.705532,[[-0.8]],13.023781,,10.578684,1.0,0.96167606,1.0,1.0,,20.037151,20.388054,11.700002584459963,180,1.2451491355895996,[[0.11]],9,3.0,3.0
17.758488,10.0,11.584473,1.0,13.023781,17.758488,18.60218,11.584473,[[-0.8]],13.023781,,10.494939,1.0,0.96167606,1.0,1.0,,13.898762,19.821434,11.347871306738382,200,1.3111166954040527,[[0.11]],10,3.1622777,3.1622777
17.704332,11.0,11.537757,1.0,13.023781,17.704332,18.60218,11.537757,[[-0.8]],13.023781,,11.070585,1.0,0.96167606,1.0,1.0,,17.162806,19.391392,12.255840071845382,220,1.381495714187622,[[0.11]],11,3.3166246,3.3166249
17.749504,12.0,11.583031,1.0,13.023781,17.749504,18.60218,11.583031,[[-0.8]],13.023781,,12.081051,1.0,0.96167606,1.0,1.0,,18.246395,19.102314,13.312619356943374,240,1.4544525146484375,[[0.11]],12,3.4641018,3.4641016
