Bound,IWFirstEpisode,ReturnMax,SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,ReturnMin,IWLastEpisode,IWMin,ReturnMean,IWNorm2,MISE,IWMean,ReturnStepMax,ReturnAbsMax,TimeElapsed,DenMISELogFirst,URet,TimestepsSoFar,DenMISEMeanLog,IWMax,Iteration,DenMISELogLast,LQGsigma,IWNorm1,LQGmu
27.015873,1.0,9.005291,1.0,18.602184,9.005291,,1.0,,9.005291,1.0,9.005291,1.0,0.9362401,9.005291,0.21254277229309082,18.602184,9.697182194955307,20,18.602184,1.0,1,18.602184,[[0.11]],1.0,[[-1.2]]
21.597797,1.0,9.005291,1.4142135,19.957483,8.719493,,1.0,,8.862392,1.4142135,8.862392,1.0,0.9362401,9.005291,0.7752032279968262,18.602184,9.380510626288146,40,19.957483,1.0,2,21.312782,[[0.11]],2.0,[[-1.2]]
19.238232,1.0,9.005291,1.7320509,20.361197,8.794666,,1.0,,8.839817,1.7320508,8.839817,1.0,0.9362401,9.005291,0.8472933769226074,18.602184,9.456845624307958,60,20.361197,1.0,3,21.168625,[[0.11]],3.0,[[-1.2]]
17.763208,1.0,9.005291,2.0,19.958939,8.512221,,1.0,,8.757917,2.0,8.757917,1.0,0.93726605,9.005291,0.9198408126831055,18.602184,9.155567865999803,80,19.958939,1.0,4,18.752161,[[0.11]],4.0,[[-1.2]]
16.844997,1.0,9.005291,2.236068,18.726942,8.920432,,1.0,,8.790421,2.236068,8.790421,1.0,0.93726605,9.005291,0.9962418079376221,18.602184,9.60325384829531,100,18.726942,1.0,5,13.798963,[[0.11]],5.0,[[-1.2]]
16.106483,1.0,9.005291,2.4494896,18.418015,8.570064,,1.0,,8.753695,2.4494898,8.753695,1.0,0.93726605,9.005291,1.0624773502349854,18.602184,9.21937772535811,120,18.418015,1.0,6,16.873371,[[0.11]],6.0,[[-1.2]]
15.565925,1.0,9.005291,2.6457515,18.515263,8.787786,,1.0,,8.758565,2.6457512,8.758565,1.0,0.93790996,9.005291,1.1202223300933838,18.602184,9.4619394348531,140,18.515263,1.0,7,19.098755,[[0.11]],7.0,[[-1.2]]
15.15173,1.0,9.005291,2.828427,17.956118,8.962266,,1.0,,8.784027,2.828427,8.784027,1.0,0.94337827,9.005291,1.1706781387329102,18.602184,9.63344690815435,160,17.956118,1.0,8,14.042101,[[0.11]],8.0,[[-1.2]]
14.806355,1.0,9.005291,3.0,18.187344,8.953224,,1.0,,8.802828,3.0,8.802828,1.0,0.94337827,9.005291,1.2285511493682861,18.602184,9.636434847425862,180,18.187344,1.0,9,20.03715,[[0.11]],9.0,[[-1.2]]
14.463427,1.0,9.005291,3.1622777,17.758486,8.454358,,1.0,,8.767981,3.1622777,8.767981,1.0,0.94337827,9.005291,1.2833802700042725,18.602184,9.095922236709434,200,17.758486,1.0,10,13.898763,[[0.11]],10.0,[[-1.2]]
14.211447,1.0,9.005291,3.3166246,17.704332,8.911768,,1.0,,8.781052,3.3166249,8.781052,1.0,0.94337827,9.005291,1.3187305927276611,18.602184,9.587110107847831,220,17.704332,1.0,11,17.16281,[[0.11]],11.0,[[-1.2]]
13.978466,1.0,9.005291,3.4641018,17.749504,8.759533,,1.0,,8.779259,3.4641016,8.779259,1.0,0.94337827,9.005291,1.355151891708374,18.602184,9.425062297579096,240,17.749504,1.0,12,18.246397,[[0.11]],12.0,[[-1.2]]
13.755466,1.0,9.005291,3.6055512,17.249325,8.531897,,1.0,,8.76023,3.6055512,8.76023,1.0,0.94337827,9.005291,1.4001309871673584,18.602184,9.175381154785526,260,17.249325,1.0,13,11.24715,[[0.11]],13.0,[[-1.2]]
13.554941,1.0,9.005291,3.7416573,17.261108,8.496756,,1.0,,8.741411,3.7416575,8.741411,1.0,0.94337827,9.005291,1.4482250213623047,18.602184,9.138121568832238,280,17.261108,1.0,14,17.414303,[[0.11]],14.0,[[-1.2]]
13.390161,1.0,9.005291,3.8729832,17.33134,8.717961,,1.0,,8.739848,3.8729835,8.739848,1.0,0.94337827,9.005291,1.4934396743774414,18.602184,9.38805967763654,300,17.33134,1.0,15,18.31459,[[0.11]],15.0,[[-1.2]]
13.248649,1.0,9.005291,4.0,17.285133,8.838334,,1.0,,8.746003,4.0,8.746003,1.0,0.94337827,9.005291,1.540797472000122,18.602184,9.512813924928436,320,17.285133,1.0,16,16.592028,[[0.11]],16.0,[[-1.2]]
13.102121,1.0,9.005291,4.1231055,17.328157,8.540488,,1.0,,8.733913,4.1231055,8.733913,1.0,0.94337827,9.005291,1.6832001209259033,18.602184,9.188650504330681,340,17.328157,1.0,17,18.016508,[[0.11]],17.0,[[-1.2]]
12.973839,1.0,9.005291,4.242641,17.379482,8.64013,,1.0,,8.7287035,4.2426405,8.7287035,1.0,0.94337827,9.005291,1.7952191829681396,18.602184,9.306796655262714,360,17.379482,1.0,18,18.252037,[[0.11]],18.0,[[-1.2]]
12.860042,1.0,9.005291,4.3588986,17.410105,8.717798,,1.0,,8.72813,4.358899,8.72813,1.0,0.94337827,9.005291,1.9234070777893066,18.602184,9.378321688268555,380,17.410105,1.0,19,17.961308,[[0.11]],19.0,[[-1.2]]
12.744022,1.0,9.005291,4.472136,17.387753,8.500225,,1.0,,8.716734,4.472136,8.716734,1.0,0.94337827,9.005291,2.0149567127227783,18.602184,9.150567782580762,400,17.387753,1.0,20,16.963097,[[0.11]],20.0,[[-1.2]]
12.639887,1.0,9.005291,4.582576,17.367609,8.568097,,1.0,,8.709656,4.582576,8.709656,1.0,0.94337827,9.005291,2.1549084186553955,18.602184,9.215822765621796,420,17.367609,1.0,21,16.964716,[[0.11]],21.0,[[-1.2]]
12.584647,1.0,9.051247,4.690416,17.191362,9.051247,,1.0,,8.725183,4.690416,8.725183,1.0,0.94337827,9.051247,2.341947317123413,18.602184,9.74132180617608,440,17.191362,1.0,22,13.490177,[[0.11]],22.0,[[-1.2]]
12.509151,1.0,9.051247,4.795831,16.793316,8.939927,,1.0,,8.73452,4.7958317,8.73452,1.0,0.94337827,9.051247,2.4896228313446045,18.602184,9.618799370128817,460,16.793316,1.0,23,8.036288,[[0.11]],23.0,[[-1.2]]
12.42518,1.0,9.051247,4.898979,16.832594,8.626625,,1.0,,8.730024,4.8989797,8.730024,1.0,0.94337827,9.051247,2.5847666263580322,18.602184,9.2841286786245,480,16.832594,1.0,24,17.735985,[[0.11]],24.0,[[-1.2]]
12.349965,1.0,9.051247,5.0,16.907276,8.716085,,1.0,,8.729466,5.0,8.729466,1.0,0.94337827,9.051247,2.660202980041504,18.602184,9.38267107810225,500,16.907276,1.0,25,18.699644,[[0.11]],25.0,[[-1.2]]
12.283416,1.0,9.051247,5.0990195,16.907839,8.827191,,1.0,,8.733225,5.0990195,8.733225,1.0,0.94337827,9.051247,2.7368087768554688,18.602184,9.507617991714127,520,16.907839,1.0,26,16.921919,[[0.11]],26.0,[[-1.2]]
12.213091,1.0,9.051247,5.1961527,17.040096,8.626284,,1.0,,8.729264,5.196152,8.729264,1.0,0.94337827,9.051247,2.8157269954681396,18.602184,9.282442437494327,540,17.040096,1.0,27,20.47878,[[0.11]],27.0,[[-1.2]]
12.149816,1.0,9.051247,5.291503,17.009745,8.715317,,1.0,,8.728766,5.2915025,8.728766,1.0,0.94337827,9.051247,2.897611618041992,18.602184,9.371832114255389,560,17.009745,1.0,28,16.190243,[[0.11]],28.0,[[-1.2]]
12.091755,1.0,9.051247,5.3851647,17.080498,8.770539,,1.0,,8.7302065,5.3851647,8.7302065,1.0,0.94337827,9.051247,2.980719566345215,18.602184,9.447633479434556,580,17.080498,1.0,29,19.06157,[[0.11]],29.0,[[-1.2]]
12.033774,1.0,9.051247,5.4772253,16.876608,8.685785,,1.0,,8.728726,5.477226,8.728726,1.0,0.94337827,9.051247,3.0667989253997803,18.602184,9.33584337923907,600,16.876608,1.0,30,10.963815,[[0.11]],30.0,[[-1.2]]
11.980847,1.0,9.051247,5.5677643,16.673874,8.754062,,1.0,,8.729544,5.5677643,8.729544,1.0,0.94337827,9.051247,3.1560869216918945,18.602184,9.419413325380217,620,16.673874,1.0,31,10.591839,[[0.11]],31.0,[[-1.2]]
11.929311,1.0,9.051247,5.656854,16.624044,8.718939,,1.0,,8.729212,5.656854,8.729212,1.0,0.94337827,9.051247,3.2473104000091553,18.602184,9.380364715963038,640,16.624044,1.0,32,15.07936,[[0.11]],32.0,[[-1.2]]
11.887957,1.0,9.051247,5.7445626,16.648825,8.976889,,1.0,,8.736717,5.7445626,8.736717,1.0,0.9501235,9.051247,3.342029094696045,18.602184,9.663340143701664,660,16.648825,1.0,33,17.441761,[[0.11]],33.0,[[-1.2]]
11.844988,1.0,9.051247,5.830952,16.706356,8.863123,,1.0,,8.740436,5.8309517,8.740436,1.0,0.9501235,9.051247,3.438965320587158,18.602184,9.531902382155419,680,16.706356,1.000001,34,18.60491,[[0.11]],34.0,[[-1.2]]
11.804418,1.0,9.051247,5.9160795,16.765982,8.884005,,1.0,,8.744536,5.91608,8.744537,1.0,0.9501235,9.051247,3.5551702976226807,18.602184,9.562574259212019,700,16.765982,1.000001,35,18.793259,[[0.11]],35.0,[[-1.2]]
