IWMean,LQGsigma,DenMISEMeanLog,IWMin,Bound,IWFirstEpisode,TimeElapsed,ReturnMin,IWNorm2,LQGmu,IWNorm1,SqrtESSClassic,MISE,ReturnMean,ReturnStepMax,DenMISELogFirst,target_sum_log_mean,ReturnMax,IWLastEpisode,IWMax,ReturnAbsMax,URet,Iteration,TimestepsSoFar,DenMISELogLast,ReturnLastEpisode
1.0,[[0.11]],18.602184,,28.335026,1.0,0.15693974494934082,,1.0,[[-1.1]],1.0,1.0,9.445008,9.445008,0.9256329,18.602184,18.602184,9.445008,1.0,1.0,9.445008,10.179994140682043,1,20,18.602184,9.445008
1.0,[[0.11]],19.957485,,22.586292,1.0,0.8496158123016357,,1.4142135,[[-1.1]],2.0,1.4142135,9.229034,9.229034,0.94732004,18.602184,19.957485,9.445008,1.0,1.0,9.445008,9.685236876422554,2,40,21.312784,9.013062
1.0,[[0.11]],20.361198,,20.07697,1.0,0.9248671531677246,,1.7320508,[[-1.1]],3.0,1.7320509,9.170813,9.170813,0.94732004,18.602184,20.361198,9.445008,1.0,1.0,9.445008,9.726738529167141,3,60,21.168625,9.054368
1.0,[[0.11]],19.958939,,18.481417,1.0,1.000502109527588,,2.0,[[-1.1]],4.0,2.0,9.036408,9.036408,0.94732004,18.602184,19.958939,9.445008,1.0,1.0,9.445008,9.269732335750183,4,80,18.752161,8.633196
1.0,[[0.11]],18.726944,,17.527407,1.0,1.0994899272918701,,2.236068,[[-1.1]],5.0,2.236068,9.079535,9.079535,0.94732004,18.602184,18.726944,9.445008,1.0,1.0,9.445008,9.957757081607737,5,100,13.798965,9.252044
1.0,[[0.11]],18.418015,,16.747961,1.0,1.1512622833251953,,2.4494898,[[-1.1]],6.0,2.4494896,9.036144,9.036144,0.94732004,18.602184,18.418015,9.445008,1.0,1.0,9.445008,9.477054765123837,6,120,16.87337,8.819188
1.0,[[0.11]],18.515263,,16.180855,1.0,1.19453763961792,,2.6457512,[[-1.1]],7.0,2.6457515,9.0411005,9.0411005,0.94732004,18.602184,18.515263,9.445008,1.0,1.0,9.445008,9.762869657370791,7,140,19.098755,9.070837
1.0,[[0.11]],17.95612,,15.761877,1.0,1.241034984588623,,2.828427,[[-1.1]],8.0,2.828427,9.083248,9.083248,0.94732004,18.602184,17.95612,9.445008,1.0,1.0,9.445008,10.084805346365023,8,160,14.042102,9.378286
1.0,[[0.11]],18.187344,,15.404936,1.0,1.2890019416809082,,3.0,[[-1.1]],9.0,3.0,9.108263,9.108263,0.94732004,18.602184,18.187344,9.445008,1.0,1.0,9.445008,10.02209593673948,9,180,20.03715,9.308377
1.0,[[0.11]],17.758488,,15.025276,1.0,1.3386340141296387,,3.1622777,[[-1.1]],10.0,3.1622777,9.051729,9.051729,0.9476456,18.602184,17.758488,9.445008,1.0,1.0,9.445008,9.171499999875143,10,200,13.898762,8.542922
1.0,[[0.11]],17.704334,,14.769068,1.0,1.3906118869781494,,3.3166249,[[-1.1]],11.0,3.3166246,9.073514,9.073514,0.94942534,18.602184,17.704334,9.445008,1.0,1.0,9.445008,10.00191997068025,11,220,17.16281,9.2913685
1.0,[[0.11]],17.749506,,14.521097,1.0,1.444627285003662,,3.4641016,[[-1.1]],12.0,3.4641018,9.068019,9.068019,0.94942534,18.602184,17.749506,9.445008,1.0,1.0,9.445008,9.683626685123368,12,240,18.246397,9.007572
1.0,[[0.11]],17.249325,,14.288302,1.0,1.5008330345153809,,3.6055512,[[-1.1]],13.0,3.6055512,9.049154,9.049154,0.94942534,18.602184,17.249325,9.445008,1.0,1.0,9.445008,9.47452495853841,13,260,11.247149,8.822775
1.0,[[0.11]],17.26111,,14.076561,1.0,1.5587153434753418,,3.7416575,[[-1.1]],14.0,3.7416573,9.027992,9.027992,0.94942534,18.602184,17.26111,9.445008,1.0,1.0,9.445008,9.399503353038204,14,280,17.4143,8.752895
1.0,[[0.11]],17.33134,,13.904449,1.0,1.6191115379333496,,3.8729835,[[-1.1]],15.0,3.8729832,9.027068,9.027068,0.94942534,18.602184,17.33134,9.445008,1.0,1.0,9.445008,9.697291734440984,15,300,18.31459,9.014116
1.0,[[0.11]],17.285133,,13.75342,1.0,1.6810133457183838,,4.0,[[-1.1]],16.0,4.0,9.030915,9.030915,0.94942534,18.602184,17.285133,9.445008,1.0,1.0,9.445008,9.7803602801513,16,320,16.592026,9.088629
1.0,[[0.11]],17.328157,,13.599369,1.0,1.7462449073791504,,4.1231055,[[-1.1]],17.0,4.1231055,9.017867,9.017867,0.94942534,18.602184,17.328157,9.445008,1.0,1.0,9.445008,9.464202652680783,17,340,18.01651,8.809097
1.0,[[0.11]],17.379482,,13.463001,1.0,1.8119010925292969,,4.2426405,[[-1.1]],18.0,4.242641,9.010582,9.010582,0.94942534,18.602184,17.379482,9.445008,1.0,1.0,9.445008,9.56373003390359,18,360,18.252037,8.886736
1.0,[[0.11]],17.410105,,13.344044,1.0,1.9005305767059326,,4.358899,[[-1.1]],19.0,4.3588986,9.010376,9.010376,0.94942534,18.602184,17.410105,9.445008,1.0,1.0,9.445008,9.678373853231228,19,380,17.961308,9.006669
1.0,[[0.11]],17.387753,,13.21184,1.0,2.0089664459228516,,4.472136,[[-1.1]],20.0,4.472136,8.987904,8.987904,0.94942534,18.602184,17.387753,9.445008,1.0,1.0,9.445008,9.199782791531248,20,400,16.963097,8.5609255
1.0,[[0.11]],17.367609,,13.104965,1.0,2.199827194213867,,4.582576,[[-1.1]],21.0,4.582576,8.982825,8.982825,0.94942534,18.602184,17.367609,9.445008,1.0,1.0,9.445008,9.538442187629359,21,420,16.964718,8.881251
1.0,[[0.11]],17.191362,,13.026674,1.0,2.3745687007904053,,4.690416,[[-1.1]],22.0,4.690416,8.999309,8.999309,0.94942534,18.602184,17.191362,9.445008,1.0,1.0,9.445008,10.054935518165227,22,440,13.490178,9.345457
1.0,[[0.11]],16.793316,,12.948223,1.0,2.5213851928710938,,4.7958317,[[-1.1]],23.0,4.795831,9.009382,9.009382,0.9500166,18.602184,16.793316,9.445008,1.0,1.0,9.445008,9.926840893136273,23,460,8.036285,9.231014
1.0,[[0.11]],16.832594,,12.860898,1.0,2.6516530513763428,,4.8989797,[[-1.1]],24.0,4.898979,9.00499,9.00499,0.9500166,18.602184,16.832594,9.445008,1.0,1.0,9.445008,9.569352681697335,24,480,17.735987,8.903952
1.0,[[0.11]],16.907276,,12.780489,1.0,2.754650592803955,,5.0,[[-1.1]],25.0,5.0,9.002485,9.002485,0.9500166,18.602184,16.907276,9.445008,1.0,1.0,9.445008,9.619691304007352,25,500,18.699644,8.942379
1.0,[[0.11]],16.907839,,12.704758,1.0,2.8344621658325195,,5.0990195,[[-1.1]],26.0,5.0990195,9.000121,9.000121,0.9500166,18.602184,16.907839,9.445008,1.0,1.0,9.445008,9.625413424081279,26,520,16.92192,8.941033
