ReturnMean,ReturnStepMax,ReturnMax,LQGmu,IWLastEpisode,IWFirstEpisode,SqrtESSClassic,DenMISEMeanLog,ReturnLastEpisode,IWNorm1,URet,IWMax,target_sum_log_mean,MISE,DenMISELogFirst,Iteration,LQGsigma,TimestepsSoFar,ReturnAbsMax,IWNorm2,Bound,DenMISELogLast,ReturnMin,IWMin,IWMean,TimeElapsed
15.934774,0.9610498,15.934774,[[-2.9]],1.0,1.0,1.0,18.60218,15.934774,1.0,17.60927089146508,1.0,18.60218,15.934774,18.60218,1,[[0.11]],20,15.934774,1.0,47.80432,18.60218,,,1.0,0.14160609245300293
15.553248,0.9610498,15.934774,[[-2.9]],1.0,1.0,1.4142135,19.957481,15.171722,2.0,16.731342180253602,1.0,19.957481,15.553248,18.60218,2,[[0.11]],40,15.934774,1.4142135,38.08842,21.31278,,,1.0,0.6938478946685791
15.348668,0.9610498,15.934774,[[-2.9]],1.0,1.0,1.7320509,20.361197,14.939507,3.0,16.46727239314154,1.0,20.361197,15.348668,18.60218,3,[[0.11]],60,15.934774,1.7320508,33.74856,21.168627,,,1.0,0.7281050682067871
14.983824,0.9610498,15.934774,[[-2.9]],1.0,1.0,2.0,19.958935,13.889292,4.0,15.292239570081838,1.0,19.958935,14.983824,18.60218,4,[[0.11]],80,15.934774,2.0,30.918598,18.752157,,,1.0,0.7686231136322021
15.133146,0.9610498,15.934774,[[-2.9]],1.0,1.0,2.236068,18.72694,15.730436,5.0,17.38026509801613,1.0,18.72694,15.133146,18.60218,5,[[0.11]],100,15.934774,2.236068,29.385643,13.798967,,,1.0,0.8039858341217041
15.095474,0.9610498,15.934774,[[-2.9]],1.0,1.0,2.4494896,18.418013,14.907116,6.0,16.45174744355475,1.0,18.418013,15.095474,18.60218,6,[[0.11]],120,15.934774,2.4494898,28.106163,16.873373,,,1.0,0.8433477878570557
15.116681,0.9610498,15.934774,[[-2.9]],1.0,1.0,2.6457515,18.515263,15.243914,7.0,16.827803332319426,1.0,18.515263,15.116681,18.60218,7,[[0.11]],140,15.934774,2.6457512,27.162237,19.098753,,,1.0,0.8922939300537109
15.166296,0.9610498,15.934774,[[-2.9]],1.0,1.0,2.828427,17.956116,15.513603,8.0,17.0929068927184,1.0,17.956116,15.166296,18.60218,8,[[0.11]],160,15.934774,2.828427,26.433884,14.042101,,,1.0,0.9583961963653564
15.221956,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.0,18.187344,15.667237,9.0,17.293172291589435,1.0,18.187344,15.221956,18.60218,9,[[0.11]],180,15.934774,3.0,25.845139,20.037153,,,1.0,1.0005309581756592
15.017815,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.1622777,17.758486,13.180541,10.0,14.505479817023522,1.0,17.758486,15.017815,18.60218,10,[[0.11]],200,15.934774,3.1622777,25.095852,13.89876,,,1.0,1.0506794452667236
15.077997,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.3166246,17.704332,15.679826,11.0,17.310089015573045,1.0,17.704332,15.077997,18.60218,11,[[0.11]],220,15.934774,3.3166249,24.687027,17.162804,,,1.0,1.1038627624511719
15.023908,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.4641018,17.749504,14.428926,12.0,15.889863030641203,1.0,17.749504,15.023908,18.60218,12,[[0.11]],240,15.934774,3.4641016,24.223854,18.246395,,,1.0,1.1582598686218262
14.94227,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.6055512,17.249325,13.962611,13.0,15.350858474895318,1.0,17.249325,14.94227,18.60218,13,[[0.11]],260,15.934774,3.6055512,23.781292,11.24715,,,1.0,1.2155883312225342
14.887377,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.7416573,17.261108,14.173765,14.0,15.60824786032593,1.0,17.261108,14.887377,18.60218,14,[[0.11]],280,15.934774,3.7416575,23.404873,17.414305,,,1.0,1.2797861099243164
14.920897,0.9610498,15.934774,[[-2.9]],1.0,1.0,3.8729832,17.331339,15.39017,15.0,17.010794989338365,1.0,17.331339,14.920897,18.60218,15,[[0.11]],300,15.934774,3.8729835,23.149578,18.31459,,,1.0,1.3410086631774902
14.932329,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.0,17.285133,15.103833,16.0,16.65172958047416,1.0,17.285133,14.932329,18.60218,16,[[0.11]],320,15.934774,4.0,22.899715,16.592031,,,1.0,1.4023356437683105
14.875901,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.1231055,17.328156,13.973042,17.0,15.364919542796365,1.0,17.328156,14.875901,18.60218,17,[[0.11]],340,15.934774,4.1231055,22.605402,18.01651,,,1.0,1.4646594524383545
14.8461895,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.242641,17.379482,14.341101,18.0,15.794772360934314,1.0,17.379482,14.8461895,18.60218,18,[[0.11]],360,15.934774,4.2426405,22.357914,18.252035,,,1.0,1.5297508239746094
14.838631,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.3588986,17.410105,14.702573,19.0,16.209269079543873,1.0,17.410105,14.838631,18.60218,19,[[0.11]],380,15.934774,4.358899,22.150007,17.961304,,,1.0,1.6124026775360107
14.762357,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.472136,17.387753,13.31312,20.0,14.647544444962406,1.0,17.387753,14.762357,18.60218,20,[[0.11]],400,15.934774,4.472136,21.888605,16.963097,,,1.0,1.663404941558838
14.745882,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.582576,17.367609,14.416414,21.0,15.88864848441261,1.0,17.367609,14.745882,18.60218,21,[[0.11]],420,15.934774,4.582576,21.700388,16.964718,,,1.0,1.7070562839508057
14.786258,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.690416,17.191362,15.634155,22.0,17.277824172776754,1.0,17.191362,14.786258,18.60218,22,[[0.11]],440,15.934774,4.690416,21.580868,13.49018,,,1.0,1.7571704387664795
14.807794,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.795831,16.793316,15.281572,23.0,16.866756411264337,1.0,16.793316,14.807794,18.60218,23,[[0.11]],460,15.934774,4.7958317,21.453054,8.036285,,,1.0,1.8111817836761475
14.766251,0.9610498,15.934774,[[-2.9]],1.0,1.0,4.898979,16.832594,13.810768,24.0,15.203456914269527,1.0,16.832594,14.766251,18.60218,24,[[0.11]],480,15.934774,4.8989797,21.271595,17.735983,,,1.0,1.8584856986999512
14.789102,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.0,16.907276,15.3375435,25.0,16.943552317922816,1.0,16.907276,14.789102,18.60218,25,[[0.11]],500,15.934774,5.0,21.163012,18.699642,,,1.0,1.9055607318878174
14.776589,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.0990195,16.907839,14.463752,26.0,15.93205032156989,1.0,16.907839,14.776589,18.60218,26,[[0.11]],520,15.934774,5.0990195,21.026722,16.921925,,,1.0,1.9541521072387695
14.769001,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.1961527,17.040096,14.571718,27.0,16.059263636448946,1.0,17.040096,14.769001,18.60218,27,[[0.11]],540,15.934774,5.196152,20.902298,20.478785,,,1.0,2.0033109188079834
14.769432,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.291503,17.009745,14.78108,28.0,16.305816889530064,1.0,17.009745,14.769432,18.60218,28,[[0.11]],560,15.934774,5.2915025,20.79221,16.190237,,,1.0,2.0694122314453125
14.770478,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.3851647,17.080498,14.799748,29.0,16.320179737347814,1.0,17.080498,14.770478,18.60218,29,[[0.11]],580,15.934774,5.3851647,20.688505,19.061567,,,1.0,2.1538612842559814
14.75342,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.4772253,16.876608,14.258742,30.0,15.66151925337838,1.0,16.876608,14.75342,18.60218,30,[[0.11]],600,15.934774,5.477226,20.571978,10.963816,,,1.0,2.240286111831665
14.731165,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.5677643,16.673872,14.063495,31.0,15.475618092887549,1.0,16.673872,14.731165,18.60218,31,[[0.11]],620,15.934774,5.5677643,20.455105,10.591843,,,1.0,2.3212056159973145
14.741089,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.656854,16.624043,15.048725,32.0,16.612162105185806,1.0,16.624043,14.741089,18.60218,32,[[0.11]],640,15.934774,5.656854,20.374882,15.079361,,,1.0,2.413001298904419
14.765381,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.7445626,16.648823,15.542755,33.0,17.150570149149384,1.0,16.648823,14.765381,18.60218,33,[[0.11]],660,15.934774,5.7445626,20.313158,17.441761,,,1.0,2.5132224559783936
14.772528,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.830952,16.706354,15.008349,34.0,16.54806604210099,1.0,16.706354,14.772528,18.60218,34,[[0.11]],680,15.934774,5.8309517,20.23811,18.604906,,,1.0,2.61421537399292
14.788606,0.9610498,15.934774,[[-2.9]],1.0,1.0,5.9160795,16.765982,15.335232,35.0,16.932063932156023,1.0,16.765982,14.788606,18.60218,35,[[0.11]],700,15.934774,5.91608,20.175543,18.793255,,,1.0,2.7216875553131104
14.789883,0.9610498,15.934774,[[-2.9]],0.99999905,1.0,6.0,16.70264,14.834631,36.0,16.374188073121918,1.0,16.70264,14.789883,18.60218,36,[[0.11]],720,15.934774,6.0,20.101475,14.485692,,,1.0,2.909940004348755
14.728511,0.9610498,15.934774,[[-2.9]],1.0,1.0,6.0827622,16.615595,12.519126,37.0,13.745183894192238,1.0,16.615595,14.728511,18.60218,37,[[0.11]],740,15.934774,6.0827627,19.967833,13.481956,,,1.0,3.0505800247192383
14.7328415,0.9610498,15.934774,[[-2.9]],1.0,1.0,6.164414,16.617718,14.893052,38.0,16.45035639731191,1.0,16.617718,14.73284,18.60218,38,[[0.11]],760,15.934774,6.164414,19.902763,16.69631,,,1.0,3.177480697631836
14.743179,0.9610498,15.934774,[[-2.9]],1.0,1.0,6.244998,16.643621,15.136032,39.0,16.67179534632788,1.000001,16.643621,14.743179,18.60218,39,[[0.11]],780,15.934774,6.244998,19.846392,17.627972,,,1.0,3.292456865310669
