MISE,DenMISELogFirst,IWFirstEpisode,IWNorm2,Bound,LQGsigma,DenMISEMeanLog,ReturnStepMax,IWMean,Iteration,DenMISELogLast,ReturnLastEpisode,TimestepsSoFar,SqrtESSClassic,ReturnMin,ReturnAbsMax,URet,IWLastEpisode,LQGmu,IWNorm1,IWMin,ReturnMax,ReturnMean,IWMax,target_sum_log_mean,TimeElapsed
9.907252,18.602179,1.0,1.0,29.721756,[[0.11]],18.602179,0.91055644,1.0,1,18.602179,9.907252,20,1.0,,9.907252,10.778549964134376,1.0,[[-1.6]],1.0,,9.907252,9.907252,1.0,18.602179,0.36563873291015625
9.855417,18.602179,1.0,1.4142135,23.866386,[[0.11]],19.957478,0.91380405,1.0,2,21.312778,9.803581,40,1.4142135,,9.907252,10.666858810605687,1.0,[[-1.6]],2.0,,9.907252,9.855417,1.0,19.957478,0.9396991729736328
9.864771,18.602179,1.0,1.7320508,21.30468,[[0.11]],20.361195,0.9259719,1.0,3,21.168625,9.883479,60,1.7320509,,9.907252,10.748913495492529,1.0,[[-1.6]],3.0,,9.907252,9.864771,1.0,20.361195,0.9974367618560791
9.82078,18.602179,1.0,2.0,19.728031,[[0.11]],19.958935,0.9309373,1.0,4,18.752157,9.688809,80,2.0,,9.907252,10.545419228770848,1.0,[[-1.6]],4.0,,9.907252,9.82078,1.0,19.958935,1.065337896347046
9.828556,18.602179,1.0,2.236068,18.689873,[[0.11]],18.72694,0.9309373,1.0,5,13.798964,9.859658,100,2.236068,,9.907252,10.727677136571373,1.0,[[-1.6]],5.0,,9.907252,9.828556,1.0,18.72694,1.1104133129119873
9.799361,18.602179,1.0,2.4494898,17.8886,[[0.11]],18.418013,0.9309373,1.0,6,16.873375,9.653387,120,2.4494896,,9.907252,10.507505337050734,1.0,[[-1.6]],6.0,,9.907252,9.799361,1.0,18.418013,1.149862289428711
9.799218,18.602179,1.0,2.6457512,17.288397,[[0.11]],18.51526,0.9309373,1.0,7,19.098755,9.798363,140,2.6457515,,9.907252,10.662939668795296,1.0,[[-1.6]],7.0,,9.907252,9.799218,1.0,18.51526,1.238492727279663
9.81583,18.602179,1.0,2.828427,16.838894,[[0.11]],17.956116,0.9309373,1.0,8,14.042101,9.932111,160,2.828427,,9.932111,10.7957872929062,1.0,[[-1.6]],8.0,,9.932111,9.81583,1.0,17.956116,1.301271915435791
9.826537,18.602179,1.0,3.0,16.447945,[[0.11]],18.187342,0.9309373,1.0,9,20.037151,9.912194,180,3.0,,9.932111,10.781019749856656,1.0,[[-1.6]],9.0,,9.932111,9.826537,1.0,18.187342,1.3497648239135742
9.810737,18.602179,1.0,3.1622777,16.092356,[[0.11]],17.758484,0.9309373,1.0,10,13.898759,9.668534,200,3.1622777,,9.932111,10.526980349259466,1.0,[[-1.6]],10.0,,9.932111,9.810737,1.0,17.758484,1.40382719039917
9.823692,18.602179,1.0,3.3166249,15.825727,[[0.11]],17.704332,0.9309373,1.0,11,17.162806,9.953249,220,3.3166246,,9.953249,10.820490163369982,1.0,[[-1.6]],11.0,,9.953249,9.823692,1.0,17.704332,1.4551842212677002
9.824622,18.602179,1.0,3.4641016,15.571133,[[0.11]],17.749504,0.9377335,1.0,12,18.246395,9.834846,240,3.4641018,,9.953249,10.699300156104012,1.0,[[-1.6]],12.0,,9.953249,9.824622,1.0,17.749504,1.5338175296783447
9.818333,18.602179,1.0,3.6055512,15.339401,[[0.11]],17.249321,0.9377335,1.0,13,11.247148,9.742859,260,3.6055512,,9.953249,10.601838195609206,1.0,[[-1.6]],13.0,,9.953249,9.818333,1.0,17.249321,1.5935628414154053
