,Iteration,ReturnStepMax,DenMISELogLast,IWMean,LQGmu01,TimeElapsed,MISE,TimestepsSoFar,IWFirstEpisode,ReturnMean,ReturnMax,IWLastEpisode,IWMin,IWMax,ReturnLastEpisode,ReturnMin,DenMISELogFirst,target_sum_log_mean,IWNorm1,LQGsigma,URet,LQGmu1,ReturnAbsMax,SqrtESSClassic,Bound,IWNorm2,DenMISEMeanLog
0,1,0.99262077,17.102016,,0.02,0.3228659629821777,,20,,15.644507999999998,15.644507999999998,,,,15.644507999999998,,17.102016,-245.30376,1e-10,0.11,17.332240856619553,0.195,15.644507999999998,1.0,46.933525,1e-10,17.102016
1,2,0.99262077,-9.903487,2.2325596999999998e-15,0.02,14.963744878768921,2.0054463999999998e-14,40,,12.313616,15.644507999999998,4.4651193999999996e-15,,4.4651193999999996e-15,8.982722,,16.408869,-144.12486,2.0000446e-10,0.11,9.853878778052412,0.195,15.644507999999998,1.4142135,33.187016,1.4142451000000002e-10,3.2526908
2,3,0.99262077,10.233628,,-0.356,15.272902488708494,,60,,11.170129,15.644507999999998,,,,8.883155,,16.003404999999997,-1627.2709,3e-10,0.11,9.756865261801403,-0.999,15.644507999999998,1.7320506999999998,27.097085999999997,1.7320508999999999e-10,5.3093605
3,4,0.9999224,-10.596635000000001,6.443539299999999e-34,-0.356,15.675227165222168,1.05667296e-32,80,,12.477335,16.398951999999998,2.5774156999999995e-33,,2.5774156999999995e-33,16.398951999999998,,15.715722,-1241.8619,4e-10,0.11,18.137164360390962,-0.999,16.398951999999998,2.0,24.598429,2e-10,1.1170997999999999
4,5,0.9999224,19.27197,0.6224984,-0.336,16.125343322753903,10.413412,100,,13.327551000000001,16.728416,3.1124918,,3.1124918,16.728416,,15.4925785,-988.8283,3.1124918,0.11,18.452150209721857,-0.998,16.728416,1.0,60.598663,3.1124918,4.5695586
5,6,0.9999283999999999,16.712385,0.75272256,-0.337,16.851603031158447,12.62927,120,,13.911244,16.829718,2.2159283,,2.300407,16.829718,,15.310257,-821.13214,4.5163355,0.11,18.556958307029568,-0.998,16.829718,1.4139663,48.336735,3.19409,6.5220895
6,7,0.9999283999999999,13.322335,0.8459187,-0.333,17.55950617790222,14.1627,140,,14.306619,16.829718,2.1312284,,2.1312284,16.678856,,15.156106,-701.73035,5.921431,0.11,18.41151037301723,-0.998,16.829718,1.7291147,43.362125,3.4245449999999997,7.452689599999999
7,8,0.9999283999999999,15.101274499999999,0.8384024999999999,-0.339,18.17325210571289,14.032907000000002,160,,14.607420000000001,16.829718,1.4985087,,1.7701292000000002,16.713028,,15.022575,-612.1866,6.7072199999999995,0.11,18.436171902074076,-0.998,16.829718,1.9960605,39.327304999999996,3.3602288000000002,8.385042
8,9,0.9999283999999999,19.982044000000002,0.39475933,-0.281,19.2107355594635,6.6038666,180,,14.843253,16.829718,2.8980699,,2.8980699,16.72992,,14.904792,-541.871,3.552834,0.11,18.45717616683291,-0.994,16.829718,1.2139527,48.194576,2.926666,9.653449
9,10,0.9999283999999999,9.273108500000001,1.013525,-0.307,20.16162323951721,16.968666,200,,15.035654000000001,16.829718,3.060032,,3.4690382000000004,16.767262,,14.799432000000001,-486.34357,10.13525,0.11,18.500527657329034,-0.996,16.829718,2.0159292,42.01377,5.027582,9.555679
10,11,0.9999283999999999,15.270736999999999,1.1053264999999999,-0.314,21.348477602005005,18.515078,220,,15.194726999999999,16.829718,2.3636806,,2.6097245,16.785458,,14.704122,-440.67587000000003,12.158592,0.11,18.514173196211818,-0.997,16.829718,2.435141,39.248642,4.9929724,10.071076
11,12,0.9999283999999999,13.708788,1.0732232,-0.306,22.56247568130493,17.96288,240,,15.31926,16.829718,2.7661752999999996,,2.7661752999999996,16.689123000000002,,14.61711,-402.72217,12.878678,0.11,18.43055869535336,-0.996,16.829718,2.5118976,38.062884999999994,5.127071400000001,10.378995
12,13,0.9999283999999999,11.586742,1.1094108,-0.303,23.757249355316162,18.602985,260,,15.440535999999998,16.895844,2.8753743,,2.8753743,16.895844,,14.537067,-370.77878,14.42234,0.11,18.64484021481693,-0.996,16.895844,2.6459696,37.75949,5.4506825999999995,10.47432
13,14,0.9999283999999999,14.946929,1.1284374,-0.306,24.87906265258789,18.905214,280,,15.528089999999999,16.895844,2.0375092,,2.4338743999999997,16.666285000000002,,14.462959,-343.17172,15.798124,0.11,18.391079941526954,-0.996,16.895844,2.9251454,36.23342,5.4007998,10.798596
14,15,0.9999283999999999,12.63905,1.1217335,-0.309,25.629255294799805,18.797037,300,,15.613062,16.895844,1.6312327,,2.0971327,16.80268,,14.393967000000002,-319.42287999999996,16.826004,0.11,18.54021481374993,-0.997,16.895844,3.1649795,34.812157,5.3163075,10.927592
15,16,0.9999283999999999,12.603995,1.1177661,-0.311,26.563231706619266,18.728545999999998,320,,15.683723,16.895844,1.6195977,,1.8762647000000001,16.743648999999998,,14.329428,-298.6469,17.884258,0.11,18.47608080759069,-0.997,16.895844,3.3605742,33.811543,5.321786400000001,11.038326
16,17,0.9999283999999999,14.060203,1.1094522,-0.312,27.598222732543945,18.589897,340,,15.747447,16.895844,1.5101421,,1.7337261000000002,16.767048000000003,,14.268804000000001,-280.23254,18.860687,0.11,18.498883624241735,-0.997,16.895844,3.528714,32.954205,5.3449183,11.221728
17,18,0.9999283999999999,17.05922,1.1081014,-0.311,28.692951917648315,18.559835,360,,15.799001,16.895844,1.6761005,,1.718029,16.675383,,14.211645,-263.68344,19.945826,0.11,18.40487258614281,-0.997,16.895844,3.6597116,32.40998,5.4501085,11.551098
18,19,0.9999283999999999,15.717919,0.99711055,-0.293,29.552273273468018,16.719858,380,,15.854187,16.895844,3.713924,,3.713924,16.847555,,14.157577499999999,-249.03752000000003,18.9451,0.11,18.588552147378515,-0.995,16.895844,3.222546,32.448890000000006,5.878923,11.77522
19,20,0.9999283999999999,15.059860999999998,0.069465354,-0.236,30.33352851867676,1.1694608999999998,400,,15.907572,16.921858,0.0047999653,,1.2562203,16.921858,,14.106284,-240.35773999999998,1.3893071000000001,0.11,18.668856095709994,-0.984,16.921858,1.1023555,47.221367,1.2603078,11.938366
20,21,0.9999283999999999,7.016813000000001,0.0023170179999999997,-0.195,31.107192277908325,0.03941243,420,,15.960097,17.010628,0.04847791,,0.04847791,17.010628,,14.057494,-238.72736,0.04865738,0.11,18.762999504184272,-0.962,17.010628,1.0036962,50.883365999999995,0.048478197,11.660757
21,22,0.99998116,13.164786,0.7950871,-0.2,32.02185082435608,13.620894,440,,16.013378,17.132238,17.361692,,17.361692,17.132238,,14.010974,-225.41011,17.491917,0.11,18.907407816997768,-0.966,17.132238,1.0074728000000002,64.63638,17.362173000000002,11.684823
22,23,0.99998116,13.93535,0.7750501000000001,-0.179,32.86081433296204,13.280032,460,,16.062464000000002,17.142355,3.854147,,13.970761999999999,17.142355,,13.966522,-222.87967000000003,17.826153,0.11,18.919770564588067,-0.947,17.142355,1.2300141000000002,55.090180000000004,14.492641,11.765702000000001
23,24,0.99998116,13.949259,1.0892752,-0.196,33.99967813491821,18.657434,480,,16.106134,17.142355,8.783412,,9.360796,17.11059,,13.923963,-206.67973,26.142605,0.11,18.88322252265898,-0.963,17.142355,1.7322043000000003,48.346233000000005,15.092101999999999,11.842132000000001
24,25,0.99998116,15.196567000000002,1.0744033000000002,-0.196,35.20944714546204,18.388018,500,,16.144904999999998,17.142355,6.881836,,7.052166000000001,17.075401,,13.883141,-197.6598,26.86008,0.11,18.845564457221684,-0.963,17.142355,2.0024831,44.069664,13.413387,11.974297
25,26,0.99998116,10.480853999999999,0.5662552,-0.152,36.27249574661255,9.679796000000001,520,,16.181288000000002,17.142355,13.234091000000001,,13.234091000000001,17.090882999999998,,13.84392,-208.55746000000002,14.722635,0.11,18.86583207533191,-0.911,17.142355,1.1083492,56.07949,13.283389999999999,11.915761
26,27,0.99998116,14.032534,0.9377639999999999,-0.163,37.46253085136413,16.026405,540,,16.214273000000002,17.142355,9.417602,,10.889242999999999,17.071863,,13.80618,-194.18178,25.319628,0.11,18.847237414656632,-0.929,17.142355,1.7139531000000003,46.03135,14.772649,11.975141
27,28,0.9999904000000001,9.050262,1.1388308,-0.169,38.504479169845574,19.493212,560,,16.248604,17.175512,8.872408,,8.872408,17.175512,,13.769812,-184.35083,31.887262,0.11,18.955260752417725,-0.936,17.175512,2.1609377999999997,43.337738,14.756214000000002,11.8647785
28,29,0.9999904000000001,11.359511,0.69402194,-0.134,39.814790964126594,11.812334,580,,16.274105,17.175512,15.47855,,15.47855,16.988146,,13.734720000000001,-196.88776000000001,20.126637,0.11,18.76295386672649,-0.875,17.175512,1.2787892,52.10556,15.738823000000002,11.848681
29,30,0.9999904000000001,13.219092999999999,1.6562748e-06,-0.05,41.10564184188843,2.8446050000000002e-05,600,,16.304125,17.175512,4.9688235000000006e-05,,4.9688235000000006e-05,17.174717,,13.700819000000001,-295.8823,4.9691236e-05,0.11,18.955442366574616,-0.466,17.175512,1.0000584000000001,51.523552,4.9688333e-05,11.881034
30,31,0.9999904000000001,13.022819,0.65314215,-0.253,42.62681984901428,11.059846,620,,16.3334,17.211666,3.5750272999999997e-35,,11.334328,17.211666,,13.668029,-154.06583999999998,20.247405999999998,0.11,18.993694647940554,-0.989,17.211666,1.5294793,44.8197,13.238104000000002,11.886134
31,32,0.9999904000000001,12.100234,0.9991110000000001,-0.256,43.87915897369385,16.89743,640,,16.351349,17.211666,14.1507,,14.1507,16.907768,,13.636281,-148.82986,31.971552000000003,0.11,18.660177961767445,-0.989,17.211666,1.7911569999999999,45.725165999999994,17.849664999999998,11.880125
32,33,0.9999904000000001,13.674610000000001,0.78030396,-0.25,45.45907354354858,13.204123499999998,660,,16.368692000000003,17.211666,2.3945917999999997,,10.717171,16.923695000000002,,13.605509,-143.81613000000002,25.75003,0.11,18.67360417439718,-0.988,17.211666,1.904091,40.32205,13.523529000000002,11.931125
33,34,0.9999904000000001,17.89498,0.9775894,-0.256,46.9790666103363,16.543009,680,,16.386175,17.211666,8.302401,,8.302401,16.963036,,13.575656,-139.04243,33.238040000000005,0.11,18.723377452498816,-0.989,17.211666,2.3208609,38.791218,14.321426999999998,12.0984
