,IWMean,ReturnMax,LQGmu01,TimestepsSoFar,LQGsigma,SqrtESSClassic,LQGmu1,ReturnLastEpisode,Bound,target_sum_log_mean,DenMISELogLast,IWLastEpisode,DenMISELogFirst,ReturnMean,Iteration,ReturnAbsMax,IWNorm2,IWFirstEpisode,URet,MISE,TimeElapsed,IWNorm1,ReturnStepMax,IWMin,IWMax,ReturnMin,DenMISEMeanLog
0,,15.644507999999998,1.0,20,0.11,1.0,1.0,15.644507999999998,46.933525,-1110.9623,17.102016,,17.102016,15.644507999999998,1,15.644507999999998,1e-10,,17.332240856619553,,0.17244195938110352,1e-10,0.99262077,,,,17.102016
1,1.6411442e-31,15.644507999999998,1.0,40,0.11,1.4142135,1.0,8.668443,33.187016,-595.5287,-9.903487,3.2822884e-31,16.408869,12.156475,2,15.644507999999998,1.4142136e-10,,9.507751597648364,1.4226164999999999e-30,6.650744676589966,2e-10,0.99262077,,3.2822884e-31,,3.2526908
2,0.5,15.644507999999998,1.0,60,0.11,1.0,1.0,8.578567999999999,51.222809999999996,-393.47278,10.233627,1.5,16.003404999999997,10.96384,3,15.644507999999998,1.5,,9.422409868982331,4.289283999999999,6.785827398300171,1.5,0.99262077,,1.5,,5.30936
3,0.6666663,15.644507999999998,1.0,80,0.11,1.4142135,1.0,8.554674,38.898094,-290.95867999999996,16.295956,1.3333327,15.715722,10.361547999999999,4,15.644507999999998,1.8856171000000002,,9.39539435135737,5.711077700000001,6.907036066055298,2.6666653,0.99262077,,1.3333327,,7.941613
4,0.7499995,15.644507999999998,1.0,100,0.11,1.7320508000000001,1.0,8.543934,33.516373,-228.7293,19.965117000000003,1.2499988000000002,15.4925785,9.998026,5,15.644507999999998,2.1650622000000004,,9.38565713922478,6.41929,7.062256336212157,3.7499976000000004,0.99262077,,1.25,,10.282872
5,0.8,15.644507999999998,1.0,120,0.11,2.0,1.0,8.530333,30.308265999999996,-187.69008,17.323593,1.2,15.310257,9.75341,6,15.644507999999998,2.4,,9.368423600919428,6.8415027,7.193880319595338,4.8,0.99262077,,1.2,,11.415962
6,0.83333313,15.644507999999998,1.0,140,0.11,2.2360682,1.0,8.460329,28.100613,-158.87105,13.889041,1.166667,15.156106,9.568685,7,15.644507999999998,2.608745,,9.292158092186963,7.1113043000000005,7.514772891998291,5.833332,0.99262077,,1.166667,,11.741313
7,0.857143,15.644507999999998,1.0,160,0.11,2.4494898,1.0,8.575863,26.48106,-137.09386,15.21299,1.1428573,15.022575,9.444582,8,15.644507999999998,2.7994173,,9.416776407126124,7.320530000000001,7.783425569534303,6.857144,0.99262077,,1.1428573,,12.154778
8,0.87499976,15.644507999999998,1.0,180,0.11,2.6457512000000003,1.0,8.568379,25.215714000000002,-119.58221999999999,20.393068,1.1249995000000002,14.904792,9.347225,9,15.644507999999998,2.9764692999999998,,9.41093806981763,7.476508,7.9287269115448,7.8749975999999995,0.99262077,,1.1250006000000001,,13.054469000000001
9,0.88888854,15.644507999999998,1.0,200,0.11,2.828427,1.0,8.526228999999999,24.18665,-106.67966499999999,9.337937,1.1111106000000002,14.799432000000001,9.265125999999999,10,15.644507999999998,3.1426957000000004,,9.365008787086587,7.5931425,8.099549531936647,8.888885499999999,0.99262077,,1.1111116,,12.670439
10,0.9,15.644507999999998,1.0,220,0.11,3.0,1.0,8.529800999999999,23.33132,-95.52005,15.980732000000001,1.1,14.704122,9.198278,11,15.644507999999998,3.3,,9.369556973885944,7.6868114,8.245884418487549,9.9,0.99262077,,1.1,,12.961355000000001
11,0.9090908000000001,15.644507999999998,1.0,240,0.11,3.1622777,1.0,8.533317,22.60545,-86.35074,14.424725,1.090909,14.61711,9.142864,12,15.644507999999998,3.449757,,9.372613162150424,7.763765299999999,8.485304832458496,10.909089999999999,0.99262077,,1.090909,,13.075025
12,0.9166665999999999,15.644507999999998,1.0,260,0.11,3.3166246,1.0,8.558255,21.980964999999998,-78.738976,12.522103999999999,1.0833335,14.537067,9.097895,13,15.644507999999998,3.5930101999999997,,9.399888412199688,7.829973,8.692598819732666,11.916666000000001,0.99262077,,1.0833343999999998,,13.025538000000001
13,0.92307705,15.644507999999998,1.0,280,0.11,3.4641016000000002,1.0,8.487219,21.429073000000002,-71.99718,15.572153,1.0769233,14.462959,9.054275,14,15.644507999999998,3.7305714999999995,,9.32272670762826,7.8805323000000005,8.991836786270143,12.923079,0.99262077,,1.0769233,,13.201514999999999
14,0.92857116,15.644507999999998,1.0,300,0.11,3.6055512000000003,1.0,8.553907,20.945646,-66.32481999999999,13.019141000000001,1.0714283000000002,14.393967000000002,9.020916999999999,15,15.644507999999998,3.8630898,,9.39803445243334,7.928627499999999,9.21799612045288,13.928567999999999,0.99262077,,1.0714283000000002,,13.18425
15,0.9333334999999999,15.644507999999998,1.0,320,0.11,3.7416577000000006,1.0,8.513098,20.511105999999998,-61.362465,13.008314,1.0666671,14.329428,8.989179,16,15.644507999999998,3.9911017,,9.347572604324338,7.967594999999999,9.525801181793213,14.933335999999999,0.99262077,,1.0666671,,13.168806
16,0.93750024,15.644507999999998,1.0,340,0.11,3.8729835,1.0,8.523164999999999,20.120502,-56.901814,14.407951999999998,1.0625004999999998,14.268804000000001,8.961766,17,15.644507999999998,4.1150455,,9.364636960574991,8.002319,9.854832410812376,15.937504,0.99262077,,1.0625004999999998,,13.237786999999999
17,0.9411761999999999,15.644507999999998,1.0,360,0.11,4.0,1.0,8.516451,19.76594,-52.7651,17.501844000000002,1.0588226,14.211645,8.937026,18,15.644507999999998,4.235293,,9.354285692891224,8.032558,10.078299045562744,16.941172,0.99262077,,1.0588236,,13.471217999999999
18,0.94444466,15.644507999999998,1.0,380,0.11,4.123106,1.0,8.514043,19.442362,-49.15278,15.814913,1.0555558999999999,14.157577499999999,8.914764,19,15.644507999999998,4.3521676,,9.350870392330243,8.059311,10.318614721298216,17.944448,0.99262077,,1.0555558999999999,,13.591482000000001
19,0.94736814,15.644507999999998,1.0,400,0.11,4.242641000000001,1.0,8.532336,19.146542,-45.924095,15.369588,1.0526316,14.106284,8.895643,20,15.644507999999998,4.465936,,9.370902328206594,8.084204,10.775552749633787,18.947363,0.99262077,,1.0526316,,13.677615
20,0.94999987,15.644507999999998,1.0,420,0.11,4.3588986,1.0,8.56066,18.875317000000003,-43.328278000000005,8.539377,1.0499998,14.057494,8.879691000000001,21,15.644507999999998,4.5768433,,9.400272217347553,8.1080265,11.344518899917604,19.949997,0.99262077,,1.0499998,,13.430437
21,0.95238113,15.644507999999998,1.0,440,0.11,4.4721364999999995,1.0,8.549387,18.6237,-40.621340000000004,16.177736,1.0476192,14.010974,8.864677,22,15.644507999999998,4.6850953,,9.389018771829967,8.129046,11.919562816619873,20.952385,0.99262077,,1.0476192,,13.553045000000001
