,Iteration,SqrtESSClassic,LQGsigma,MISE,LQGmu1,ReturnAbsMax,TimeElapsed,IWNorm1,IWFirstEpisode,ReturnMin,DenMISEMeanLog,LQGmu01,DenMISELogFirst,TimestepsSoFar,IWMin,IWNorm2,DenMISELogLast,IWMean,IWLastEpisode,IWMax,ReturnMax,URet,ReturnMean,ReturnStepMax,ReturnLastEpisode,target_sum_log_mean,Bound
0,1,1.0,0.11,18.074266,-0.111,15.058442000000001,1.34617018699646,1.2002747,1.2002747,,18.60218,-0.011,18.60218,20,,1.2002747,18.60218,1.2002747,1.2002747,1.2002747,15.058442000000001,16.687925283112616,15.058442000000001,0.9625284,15.058442000000001,18.78473,19.587695999999998
1,2,1.3032825000000001,0.11,13.571116,-0.123,15.953459,34.126278638839715,1.729413,0.50042146,,19.81343,-0.012,18.697615,40,,1.3269671,20.929247,0.8647065,1.2289915,1.2289915,15.953459,17.662259126015382,15.505951000000001,0.9978268,15.953459,19.570375,14.801382
2,3,1.7303593000000002,0.11,19.374624,-0.111,16.136745,35.78242564201354,3.7032447,1.3109623,,20.38158,-0.011,18.515463,60,,2.1401594,21.626473999999998,1.2344149,1.1874366000000003,1.3109623,16.136745,17.863055696307942,15.716214,0.9990846,16.136745,20.591217,20.311888
3,4,1.9910169999999998,0.11,17.892477,-0.115,16.311075,37.324986934661865,4.5052137000000005,1.0433778,,19.982437,-0.012,18.590329999999998,80,,2.2627702000000003,18.614407999999997,1.1263034,1.2497222,1.2497222,16.311075,18.048527099053302,15.86493,0.9999735999999999,16.311075,20.096828,18.715837
4,5,2.2360678,0.11,,0.378,16.311075,39.27226638793945,5e-10,,,18.715954,0.04,18.598969,100,,2.2360681e-10,13.551105499999998,,,,16.311075,17.351762021187135,15.826391000000001,0.9999735999999999,15.672235500000001,-496.43164,0.73312837
5,6,2.4494896,0.11,1.9491386e-25,0.378,16.311075,40.34830212593079,6e-10,,,13.611011499999998,0.04,18.416647,120,,2.4494897999999997e-10,-11.0021,2.2244405e-26,1.3346643e-25,1.3346643e-25,16.311075,9.615826789377909,14.6490555,0.9999735999999999,8.762377,-425.07272,0.66925156
6,7,1.0,0.11,0.017174767,0.802,16.311075,41.55199861526489,0.013945329,,,14.083879000000001,0.11,18.262495,140,,0.013945329,17.845991,0.0019921898,0.013945329,0.013945329,16.311075,9.468360179529746,13.787911,0.9999735999999999,8.621049000000001,-646.8087,1.6564994
7,8,1.0041184,0.11,1.830319e-07,0.252,16.311075,43.6077094078064,1.7064653e-07,,,13.6982155,0.026,18.128963,160,,1.6994661999999998e-07,11.931299000000001,2.1230816000000004e-08,1.231278e-13,1.698464e-07,16.311075,9.401243163913602,13.134070999999999,0.9999735999999999,8.557191,-215.57622,1.6326013000000001
8,9,1.0000058,0.11,12.116292,0.269,16.311075,45.9556097984314,12.479901,,,13.768031,0.028,18.01118,180,,12.479828999999999,15.268826500000001,1.3866557,12.479828999999999,12.479828999999999,16.311075,9.598393104562478,12.645596000000001,0.9999735999999999,8.737781,-201.31453,13.755607999999999
9,10,1.0064377,0.11,8.656033,0.583,16.311075,48.313219785690315,10.115022999999999,,,13.58593,0.067,17.905820000000002,200,,10.050322,12.025359,1.0115023,1.2722167e-15,10.050112,16.311075,9.609307968615557,12.256089999999999,0.9999735999999999,8.750535000000001,-365.68427,10.284871
10,11,1.4807975,0.11,10.357238,0.469,16.311075,51.3646092414856,13.312154999999999,,,13.825964,0.051,17.81051,220,,8.989855,16.47728,1.2101959,5.3208485,7.203111,16.311075,9.393594336864368,11.919221,0.9999735999999999,8.550546,-277.48514,11.4642935
