,LQGmu1,ReturnMin,IWNorm1,ReturnStepMax,IWMin,IWMax,DenMISELogFirst,ReturnMax,URet,IWMean,DenMISEMeanLog,LQGmu01,IWNorm2,LQGsigma,ReturnLastEpisode,ReturnAbsMax,TimestepsSoFar,TimeElapsed,IWLastEpisode,DenMISELogLast,SqrtESSClassic,IWFirstEpisode,ReturnMean,target_sum_log_mean,MISE,Iteration,Bound
0,-0.097,,1.1235435,0.99233466,,1.1235435,13.511501,15.807039999999999,17.497854397219367,1.1235435,13.511501,-0.01,1.1235435,0.11,15.807039999999999,15.807039999999999,20,0.4366261959075928,1.1235435,13.511501,1.0,1.1235435,15.807039999999999,13.627989000000001,17.759897,1,19.348564
1,-0.095,,2.584197,0.99233466,,1.5005451,13.571441,15.807039999999999,17.130192872932227,1.2920985,16.620287,-0.01,1.8509287,0.11,15.464203,15.807039999999999,40,10.187547922134401,1.5005451,19.669134,1.3961624,1.0836518,15.635622,16.863369,20.16703,2,21.304913
2,-0.094,,3.7825290000000003,0.99233466,,1.6306633999999998,13.598942999999998,15.807039999999999,16.93314883367875,1.260843,15.875617000000002,-0.009,2.23032,0.11,15.288174,15.807039999999999,60,10.848367691040039,1.0752289,14.204467999999999,1.695958,1.0766368,15.519805999999999,16.087404,19.557878,3,20.494616
3,-0.091,,5.0366106,0.99233466,,1.9932375,13.617920999999999,15.807039999999999,17.4926694135311,1.2591527,15.990530999999999,-0.009,2.6580837,0.11,15.793178,15.807039999999999,80,11.689358949661255,0.95728195,16.151255,1.8948276999999998,1.0513175,15.588149,16.173113,19.595093,4,20.433516
4,-0.087,,6.672283999999999,0.99233466,,2.4314895,13.628132,15.807039999999999,16.756003908990426,1.3344568,14.786249,-0.009,3.275042,0.11,15.148247,15.807039999999999,100,12.679218292236328,1.542283,9.779361999999999,2.0373125,0.9561851999999998,15.500167999999999,14.986076,20.627163,5,21.406948
5,-0.084,,9.097564,0.99233466,,2.8515615000000003,13.620803,15.807039999999999,16.044852803448048,1.5162606,15.348106,-0.008,4.258921599999999,0.11,14.436687,15.807039999999999,120,13.67316460609436,2.8515615000000003,17.907695999999998,2.1361191,0.8440791999999999,15.322922,15.607660999999998,22.94813,6,23.691847
6,-0.096,,5.9870353,0.99233466,,1.1008563999999998,13.598276,15.807039999999999,17.005588060497814,0.8552908000000001,15.001317000000002,-0.01,2.3377072999999995,0.11,15.359882999999998,15.807039999999999,140,14.883423566818236,0.85421383,12.530842999999999,2.5610714,1.047087,15.328201000000002,14.806485999999998,13.178719000000001,7,13.799032
7,-0.092,,8.307735000000001,0.99233466,,1.0901134,13.604145,15.807039999999999,17.385935047186987,1.0384669,14.98015,-0.009,2.9418382999999997,0.11,15.702072,15.807039999999999,160,16.066654443740845,1.0082296,14.962577,2.8239946,1.0752956,15.374935,15.016274,15.9781,8,16.54066
8,-0.087,,10.5073395,0.99233466,,1.9076936000000002,13.612476000000001,15.807039999999999,17.211583717616264,1.1674821000000002,14.697014999999999,-0.009,3.7177646,0.11,15.560578,15.807039999999999,180,17.037299871444702,0.7775785,12.397979,2.826252,0.9620869000000001,15.395562,14.790679999999998,17.849636,9,18.411747000000002
9,-0.016,,1.0959019e-05,0.9979804,,1.0834349999999999e-05,13.608678,15.807039999999999,17.37634716892108,1.0958018e-06,14.767923000000001,-0.002,1.0834793e-05,0.11,15.671234,15.807039999999999,200,17.794336080551147,2.8244115e-14,15.264014000000001,1.0114654,1.2012523000000002e-08,15.423129000000001,-5.4500337,1.693737e-05,10,1.570676
10,-0.017,,12.698518,0.9979804,,12.6985,13.513368,15.807039999999999,14.373625294138836,1.1544107,14.625522,-0.002,12.6985,0.11,12.987616000000001,15.807039999999999,220,19.19321918487549,12.6985,14.154607,1.0000014000000002,2.0810244e-08,15.201718,-2.9689262000000003,14.993046,11,16.58171
11,-0.019,,14.460537,0.9979804,,8.020423,13.426356,15.807039999999999,12.034818523012493,1.2050447,14.575206,-0.002,10.285998,0.11,10.900988,15.807039999999999,240,20.458220005035397,6.4400754000000004,14.211331,1.4058467,4.9727507000000005e-08,14.843326000000001,-0.62364584,14.530829,12,15.660872
12,-0.02,,14.770295999999998,0.9979804,,6.3138027,13.346313,15.807039999999999,14.172585617503536,1.1361766000000002,14.825586999999999,-0.002,8.703223,0.11,12.823228,15.807039999999999,260,21.577999830245968,3.9766197,17.849215,1.6971064999999999,1.223429e-07,14.687932,1.6313207,13.986907999999998,13,14.923012
13,-0.011,,15.456674,0.9979804,,10.046068,13.272205,15.807039999999999,13.411462761231036,1.1040481000000002,14.900110999999999,-0.001,10.598028,0.11,12.129425999999999,15.807039999999999,280,22.82732391357422,10.046068,15.873488,1.458448,1.1751717e-09,14.505181,-1.1860254,13.428137,14,14.517423
14,-0.027,,11.210847,0.9979804,,6.3052583,13.203213,15.807039999999999,14.438162996627865,0.7473898,14.191284,-0.003,6.891783,0.11,13.100302000000001,15.807039999999999,300,23.919522285461426,1.2222543,4.332406,1.6266975000000001,2.1931862e-06,14.411523999999998,4.6974792,9.418693,15,10.395313999999999
15,-0.033,,12.255391,0.9979804,,7.663264,13.138675,15.807039999999999,14.927001554653009,0.76596195,14.290185999999999,-0.003,8.447256,0.11,13.46856,15.807039999999999,320,25.351409435272217,7.663264,16.07988,1.4508133,3.415055e-05,14.352589000000002,6.956238000000001,10.12459,16,11.219608000000001
16,-0.04,,14.829976,0.9979804,,9.973385,13.078052,15.807039999999999,13.919353212080939,0.8723515,14.233776999999998,-0.004,10.635566,0.11,12.595426,15.807039999999999,340,26.582717180252075,9.973385,13.644559,1.3943758,0.00040393263999999996,14.249227,8.381207,11.205941000000001,17,12.345281
17,-0.061,,6.2764315999999996,0.9979804,,2.6166754,13.020916999999999,15.807039999999999,13.595121631342215,0.34869063,14.276546,-0.006,3.4116873999999995,0.11,12.268866000000001,15.807039999999999,360,27.60518574714661,0.7237854,15.24894,1.8396854,0.09997382,14.139206,8.382961,5.1294622,18,5.9930162000000005
18,-0.065,,21.351334,0.9979804,,12.930679,12.972389,15.807039999999999,16.083158215261722,1.1237544,14.114513,-0.007,13.740096,0.11,14.517251000000002,15.807039999999999,380,28.92044234275818,12.930679,11.839033,1.5539435,0.21971945,14.159101999999999,8.078764999999999,16.523798,19,17.546143
