,Iteration,LQGsigma,IWLastEpisode,DenMISELogFirst,TimestepsSoFar,LQGmu01,IWMax,ReturnMin,DenMISEMeanLog,Bound,SqrtESSClassic,LQGmu1,IWNorm1,target_sum_log_mean,MISE,ReturnMean,ReturnLastEpisode,IWMean,ReturnAbsMax,DenMISELogLast,TimeElapsed,ReturnMax,ReturnStepMax,IWNorm2,IWFirstEpisode,URet,IWMin
0,1,0.11,0.822758,13.511501,20,-0.008,0.822758,,13.511501,60.42649,1.0,-0.081,0.822758,13.316408,13.005369,15.807039999999999,15.807039999999999,0.822758,15.807039999999999,13.511501,0.11586284637451172,15.807039999999999,0.99233466,0.822758,0.822758,17.497854397219367,
1,2,0.11,2.3772717,13.418705,40,-0.008,2.3772717,,16.35279,61.776419999999995,1.2715788000000001,-0.08,3.1979450000000003,16.68695,24.483318,15.474008999999999,15.140978,1.5989726,15.807039999999999,19.286875,5.709920406341553,15.807039999999999,0.99233466,2.5149405,0.8206735000000001,16.773361696617513,
2,3,0.11,1.4554577,13.357068,60,-0.008,2.2578845000000003,,15.639235999999999,52.119057,1.5908556,-0.077,4.418257,15.919260999999999,22.310492,15.263423000000001,14.842251000000001,1.4727525,15.807039999999999,13.895952,5.959364414215088,15.807039999999999,0.99233466,2.7772837000000004,0.70491505,16.442827946838587,
3,4,0.11,1.1690571,13.280435,80,-0.007,2.5844197,,15.79066,47.851974,1.7472537000000001,-0.073,5.4494753,15.938316,20.7116,15.310013,15.449779999999999,1.3623688,15.807039999999999,15.940295,6.359464883804321,15.807039999999999,0.99233466,3.1188805,0.49922264,17.118227528944704,
4,5,0.11,2.3536099999999998,13.174901,100,-0.007,2.7446433999999997,,14.556545999999999,46.78678,1.8478723999999997,-0.068,7.0501380000000005,14.600176000000001,21.124228,15.163650500000001,14.578204999999999,1.4100276000000003,15.807039999999999,9.378507,6.639795780181885,15.807039999999999,0.99233466,3.8152733,0.2734771,16.121924787518893,
5,6,0.11,4.049332,13.045832,120,-0.006,4.049332,,15.128773,48.396667,1.8602365,-0.063,9.494793,15.077183999999999,22.904684,14.937251000000002,13.805248,1.5824655,15.807039999999999,17.714634,6.9847731590271,15.807039999999999,0.99233466,5.104078299999999,0.14172010000000002,15.349385446946672,
6,7,0.11,1.3804146000000002,12.915026,140,-0.005,2.3850243,,14.73419,37.162617,1.9340099999999998,-0.053,6.120368,13.727239,12.643034,14.904615,14.708803,0.87433827,15.807039999999999,11.978012,7.451566457748412,15.807039999999999,0.99233466,3.1646,0.01911724,16.286061502170526,
7,8,0.11,2.3442529999999997,12.784222,160,-0.006,2.5293427000000004,,14.661901,39.199883,2.3137639,-0.058,10.29278,14.403645999999998,18.704655,14.858579999999998,14.536329,1.2865975,15.807039999999999,14.303196,8.084058046340942,15.807039999999999,0.99233466,4.448500599999999,0.061974835,16.09678720141063,
8,9,0.11,2.190578,12.674156,180,-0.006,2.190578,,14.430294,38.521324,2.6514034,-0.061,12.756802,14.503594,20.636034,14.802037,14.349703,1.4174223999999997,15.807039999999999,12.36506,8.551968574523926,15.807039999999999,0.99233466,4.8113394,0.13851745,15.869464747199835,
9,10,0.11,0.17627044,12.584069,200,-0.006,1.8133721,,14.683054,34.679955,2.8126462,-0.064,12.187353,14.632710000000001,17.819986,14.8235445,15.017107000000001,1.2187353,15.807039999999999,16.613935,9.201061010360716,15.807039999999999,0.99233466,4.333056,0.23811662,16.669510406254695,
10,11,0.11,0.76602495,12.512292,220,-0.008,2.6596314999999997,,15.246954999999998,34.34,2.3861988,-0.083,10.477917,14.567935,14.466922,14.836433999999999,14.965333,0.9525379,15.807039999999999,20.705054999999998,9.610598802566527,15.807039999999999,0.99233466,4.391049400000001,2.4117992000000004,16.59601636669535,
11,12,0.11,1.8596849999999998,12.62352,240,-0.009,2.7094202000000003,,15.321280999999999,33.663406,2.428794,-0.086,11.182018,14.423793,14.13885,14.83954,14.873701,0.9318349,15.807039999999999,16.21397,10.336366415023805,15.807039999999999,0.99233466,4.6039386,2.48888,16.487902327938794,
12,13,0.11,0.60931116,12.731952,260,-0.007,1.7456051,,15.570725,31.77747,3.2885263,-0.067,15.295276999999999,15.581604,17.357295999999998,14.91179,15.778782999999999,1.1765596999999999,15.807039999999999,18.65841,10.927614450454712,15.807039999999999,0.99233466,4.6511035000000005,0.34135348,17.466949819728633,
