,Iteration,ReturnStepMax,SqrtESSClassic,URet,IWMean,LQGmu1,ReturnLastEpisode,IWFirstEpisode,ReturnAbsMax,IWLastEpisode,DenMISELogLast,TimestepsSoFar,IWMax,LQGsigma,TimeElapsed,LQGmu01,ReturnMin,IWNorm1,DenMISEMeanLog,MISE,DenMISELogFirst,ReturnMax,ReturnMean,Bound,target_sum_log_mean,IWNorm2,IWMin
0,1,0.99233466,1.0,17.497854397219367,1.0494462,-0.099,15.807039999999999,1.0494462,15.807039999999999,1.0494462,13.511501,20,1.0494462,0.11,0.9978389739990234,-0.01,,1.0494462,13.511501,16.588638,13.511501,15.807039999999999,15.807039999999999,48.20272,13.559764000000001,1.0494462,
1,2,0.99233466,1.3839453000000002,17.175772607953206,1.4183483000000001,-0.096,15.505637,1.1200888999999998,15.807039999999999,1.7166076000000001,19.79157,40,1.7166076000000001,0.11,18.710316896438602,-0.01,,2.8366966000000002,16.663748000000002,22.161194000000002,13.535924,15.807039999999999,15.656339000000001,45.00464,16.990627,2.0497172,
2,3,0.99233466,1.6140957,16.946699625444662,1.4913316,-0.091,15.300857,1.1001438000000001,15.807039999999999,1.0619148999999999,14.123415,60,2.311936,0.11,19.758617401123047,-0.009,,4.4739947,15.901454000000001,23.162086,13.575173000000001,15.807039999999999,15.537845,42.748337,16.232653,2.7718275,
3,4,0.99233466,1.5706917,17.45057208914187,1.3615133,-0.082,15.754773000000002,0.7940333,15.807039999999999,0.7566573,16.149538,80,3.2189400000000004,0.11,20.91738176345825,-0.008,,5.446053,16.044413,21.183457999999998,13.599901000000001,15.807039999999999,15.592077,41.310947,16.111572,3.4672959999999997,
4,5,0.99233466,1.5001652,16.50059695428852,0.51917773,-0.062,14.919270000000001,0.065947145,15.807039999999999,1.1940069,8.830982,100,1.2490218000000002,0.11,21.98545789718628,-0.006,,2.5958886000000003,14.643407,7.915887400000001,13.557835,15.807039999999999,15.457517000000001,28.989620000000002,12.899405,1.7304018,
5,6,0.99233466,1.0903687,15.062905519413805,1.2702464,-0.053,13.546574,0.011064716,15.807039999999999,6.975498,17.86342,120,6.975498,0.11,22.799067974090576,-0.005,,7.6214786,15.106064000000002,17.394170000000003,13.388617000000002,15.807039999999999,15.139026000000001,46.388107,12.535159,6.989817599999999,
6,7,0.99233466,1.4526806,15.816311598974664,1.0442009,-0.049,14.287357,0.004248834,15.807039999999999,4.109143700000001,11.096445,140,4.109143700000001,0.11,24.15401363372803,-0.005,,7.309406299999999,14.526316,14.65656,13.236308,15.807039999999999,15.017357999999998,36.419140000000006,11.728259,5.031667700000001,
7,8,0.99233466,1.6589646,15.81938011852036,0.29970503,-0.038,14.285667000000002,0.0001898834,15.807039999999999,0.7903690999999999,14.093562,160,1.1157529,0.11,25.488710403442386,-0.004,,2.3976402,14.461767000000002,4.241722,13.103384,15.807039999999999,14.925898000000002,23.298235000000002,9.6556635,1.445263,
8,9,0.99233466,1.9426539,14.745185420085294,1.1387415,-0.074,13.3513775,0.6821229,15.807039999999999,0.0010828618,9.943508999999999,180,3.9404879,0.11,26.87127184867859,-0.007,,10.248673,13.886660999999998,17.217010000000002,12.985624000000001,15.807039999999999,14.75095,33.490665,12.932262,5.2756042,
9,10,0.9929538,1.4145447,16.861226909437484,0.8712559000000001,-0.039,15.188552,0.0002554086,15.807039999999999,4.105116700000001e-06,15.817109,200,5.929560700000001,0.11,28.245577812194824,-0.004,,8.712558999999999,14.084985999999999,11.853021,12.9533205,15.807039999999999,14.794710999999998,34.202315999999996,9.324508,6.159267400000001,
