,LQGmu01,IWLastEpisode,TimestepsSoFar,IWMean,SqrtESSClassic,IWNorm2,Bound,ReturnAbsMax,MISE,LQGmu1,ReturnMax,Iteration,target_sum_log_mean,ReturnStepMax,ReturnMean,IWNorm1,TimeElapsed,DenMISELogFirst,IWMin,DenMISELogLast,IWMax,ReturnMin,DenMISEMeanLog,LQGsigma,ReturnLastEpisode,IWFirstEpisode,URet
0,-0.011,1.2002747,20,1.2002747,1.0,1.2002747,19.587695999999998,15.058442000000001,18.074266,-0.111,15.058442000000001,1,18.78473,0.9625284,15.058442000000001,1.2002747,0.6180856227874756,18.60218,,18.60218,1.2002747,,18.60218,0.11,15.058442000000001,1.2002747,16.687925283112616
1,-0.012,1.2289915,40,0.8647065,1.3032825000000001,1.3269671,14.801382,15.953459,13.571116,-0.123,15.953459,2,19.570375,0.9978268,15.505951000000001,1.729413,22.71418523788452,18.697615,,20.929247,1.2289915,,19.81343,0.11,15.953459,0.50042146,17.662259126015382
2,-0.011,1.1874366000000003,60,1.2344149,1.7303593000000002,2.1401594,20.311888,16.136745,19.374624,-0.111,16.136745,3,20.591217,0.9990846,15.716214,3.7032447,23.91826248168945,18.515463,,21.626473999999998,1.3109623,,20.38158,0.11,16.136745,1.3109623,17.863055696307942
3,-0.012,1.2497222,80,1.1263034,1.9910169999999998,2.2627702000000003,18.715837,16.311075,17.892477,-0.115,16.311075,4,20.096828,0.9999735999999999,15.86493,4.5052137000000005,24.97339677810669,18.590329999999998,,18.614407999999997,1.2497222,,19.982437,0.11,16.311075,1.0433778,18.048527099053302
4,0.04,,100,,2.2360678,2.2360681e-10,0.73312837,16.311075,,0.378,16.311075,5,-496.43164,0.9999735999999999,15.826391000000001,5e-10,26.30319881439209,18.598969,,13.551105499999998,,,18.715954,0.11,15.672235500000001,,17.351762021187135
5,0.04,1.3346643e-25,120,2.2244405e-26,2.4494896,2.4494897999999997e-10,0.66925156,16.311075,1.9491386e-25,0.378,16.311075,6,-425.07272,0.9999735999999999,14.6490555,6e-10,27.034942626953125,18.416647,,-11.0021,1.3346643e-25,,13.611011499999998,0.11,8.762377,,9.615826789377909
6,0.206,0.013400353,140,0.0019143360999999998,1.0,0.013400353,1.6558282,16.311075,0.016503586,0.97,16.311075,7,-746.46027,0.9999735999999999,13.787911,0.013400353,27.56061744689941,18.262495,,17.845991,0.013400353,,14.083879000000001,0.11,8.621049000000001,,9.468360179529746
7,0.206,5.654914,160,0.7087749,1.0026994,5.6549344,7.6999364,16.311075,6.065025,0.97,16.311075,8,-651.4458599999999,0.9999735999999999,13.134032999999999,5.6701994000000004,28.28942370414734,18.128963,,11.922039,5.654914,,13.697048,0.11,8.556881,,9.400902206471867
8,0.206,4.493681,180,0.91533524,1.4110397,5.83826,8.976119,16.311075,7.8143344,0.97,16.311075,9,-576.8367,0.9999735999999999,12.621410000000001,8.238017,29.03839135169983,18.01118,,18.53448,4.493681,,14.189464000000001,0.11,8.520425,,9.358479489850973
9,0.206,3.1903770000000002,200,0.9468136,1.7331096999999998,5.463091,9.033937,16.311075,8.088051,0.97,16.311075,10,-517.76306,0.9999735999999999,12.214424000000001,9.468136,29.508481740951535,17.905820000000002,,12.738623,3.3302099999999997,,14.024897,0.11,8.551549000000001,,9.390426991484944
10,0.206,2.74243,220,0.9694235000000001,2.002396,5.325449,9.096255000000001,16.311075,8.277574000000001,0.97,16.311075,11,-469.13347999999996,0.9999735999999999,11.879226,10.663658,29.847930669784546,17.81051,,16.153961,2.7480693,,14.206629000000001,0.11,8.527231,,9.369244440726737
11,0.206,2.3943133,240,0.98031527,2.2393904,5.253118499999999,9.101339999999999,16.311075,8.3693,0.97,16.311075,12,-428.51845999999995,0.9999735999999999,11.600266,11.763783,30.53728795051575,17.7235,,17.373299,2.3986511000000004,,14.463115,0.11,8.531724,,9.370752930934687
12,0.206,1.9503276000000003,260,0.97011065,2.452381,5.1425285,8.954365,16.311075,8.285902,0.97,16.311075,13,-394.69037000000003,0.9999735999999999,11.366528,12.611439,31.418882608413696,17.643456,,10.57915,2.1656494,,14.159343,0.11,8.561674,,9.40355792486515
13,0.206,1.9447148,280,0.9743306,2.6495602000000003,5.148261499999999,8.94255,16.311075,8.323833,0.97,16.311075,14,-365.25433,0.9999735999999999,11.1656475,13.640629,32.29233241081238,17.569347,,16.749191,1.9991961999999999,,14.339761,0.11,8.554188,,9.396797524370827
14,0.206,1.8730663,300,0.9804947,2.8328113999999998,5.1918106,8.953795,16.311075,8.375103999999999,0.97,16.311075,15,-339.68307000000004,0.9999735999999999,10.990039,14.70742,33.147127389907844,17.500355,,17.687014,1.8743421999999998,,14.559344,0.11,8.531523,,9.3673657816727
15,0.206,1.7769659,320,0.9848281999999999,3.0048728,5.2438993,8.955372,16.311075,8.409817,0.97,16.311075,16,-317.41586,0.9999735999999999,10.835695,15.757251,33.85624098777771,17.435817999999998,,16.017122,1.7772233,,14.647768,0.11,8.520557,,9.359467800704905
16,0.206,1.6715319,340,0.9863234000000001,3.1676164,5.2934117,8.94173,16.311075,8.424203,0.97,16.311075,17,-297.68453999999997,0.9999735999999999,10.701561,16.767498,34.360530614852905,17.375193,,17.50277,1.6995233,,14.813635000000001,0.11,8.555416000000001,,9.395780401423506
17,0.206,1.6354728,360,0.98892236,3.3223274,5.357871,8.93863,16.311075,8.445203999999999,0.97,16.311075,18,-280.1325,0.9999735999999999,10.580778,17.800601999999998,34.93156838417053,17.318033,,17.760105,1.6359438999999998,,14.975612,0.11,8.527467,,9.364274089170967
18,0.206,1.5544711000000002,380,0.9894350000000001,3.4701552,5.417413,8.923506,16.311075,8.451099000000001,0.97,16.311075,19,-264.44336,0.9999735999999999,10.474317,18.799265,35.62979245185853,17.263966,,17.520172,1.5829611000000001,,15.108164000000002,0.11,8.558013,,9.39828050466212
19,0.206,1.5365779,400,0.9911506999999999,3.6119032,5.488246,8.919175,16.311075,8.465308,0.97,16.311075,20,-250.37305,0.9999735999999999,10.377362,19.823013,36.46536922454835,17.212673000000002,,16.533539,1.5381291000000001,,15.178247,0.11,8.535217,,9.372566289516161
20,0.206,1.4772756999999999,420,0.9915216999999998,3.7482991,5.5550413,8.906898,16.311075,8.469546000000001,0.97,16.311075,21,-237.64267,0.9999735999999999,10.290621,20.821957,37.66160893440247,17.163883,,16.57452,1.4996982,,15.24376,0.11,8.555786999999999,,9.397205152591248
21,0.206,1.4666646,440,0.99283546,3.8798769,5.629658,8.898922,16.311075,8.476402,0.97,16.311075,22,-226.22754,0.9999735999999999,10.208146000000001,21.84238,38.644366264343255,17.117363,,13.107189,1.4666646,,15.145788,0.11,8.476177,,9.30972694226515
22,0.206,1.4373889,460,0.9939079,4.0071330000000005,5.7047977,8.892675,16.311075,8.483574,0.97,16.311075,23,-216.04216,0.9999735999999999,10.134119,22.859882,39.99821448326111,17.072912,,7.67346,1.4374973,,14.820188,0.11,8.505519999999999,,9.341639795315883
23,0.206,1.408879,480,0.9946823,4.1304684,5.7795806,8.887508,16.311075,8.4906225,0.97,16.311075,24,-206.3014,0.9999735999999999,10.06781,23.872375,40.95224189758301,17.030352,,17.393187,1.4117627000000001,,14.926792,0.11,8.542710000000001,,9.380548487618457
24,0.206,1.3874784,500,0.99538946,4.2502203000000005,5.854928500000001,8.882369,16.311075,8.496666000000001,0.97,16.311075,25,-197.30136000000002,0.9999735999999999,10.006532,24.884737,42.04470300674439,16.98953,,18.372158,1.3888869,,15.064086999999999,0.11,8.535862,,9.375194388018881
25,0.206,1.3681159999999999,520,0.9960304,4.3666844000000005,5.9305387000000005,8.876954,16.311075,8.501536999999999,0.97,16.311075,26,-189.06201000000001,0.9999735999999999,9.949525,25.89679,42.944298505783074,16.95031,,16.60849,1.3684187,,15.123043,0.11,8.524358,,9.35995700231125
26,0.206,1.3495772,540,0.9965734,4.4801188,6.0059752,8.871685000000001,16.311075,8.505774,0.97,16.311075,27,-181.30123999999998,0.9999735999999999,9.896846,26.907482,44.154620885849,16.912569,,20.178997,1.3499981,,15.3099165,0.11,8.527177,,9.366397552698642
27,0.206,1.329701,560,0.9969263,4.5907497,6.080474400000001,8.866346,16.311075,8.5092535,0.97,16.311075,28,-174.24797,0.9999735999999999,9.848550999999999,27.913937,45.217286109924316,16.876202,,15.905285000000001,1.3333313,,15.330848000000001,0.11,8.544607000000001,,9.384100289601736
28,0.206,1.317736,580,0.99734074,4.6987724,6.1554127,8.86148,16.311075,8.512596,0.97,16.311075,29,-167.58213999999998,0.9999735999999999,9.803118,28.922882,46.520114183425896,16.84111,,18.785652,1.3181797,,15.449685999999998,0.11,8.530968,,9.366947474180204
29,0.206,1.2954211000000002,600,0.9974195,4.804366,6.2282066,8.855007,16.311075,8.513792,0.97,16.311075,30,-161.6306,0.9999735999999999,9.761254,29.922584999999998,47.84103441238403,16.807209,,10.70498,1.3043453999999999,,15.291273,0.11,8.547193,,9.389765488989338
30,0.206,1.2907805,620,0.9977453000000002,4.9076830000000005,6.3023844,8.850292999999999,16.311075,8.516261,0.97,16.311075,31,-156.07504,0.9999735999999999,9.721475,30.930103000000003,49.3446102142334,16.774418,,10.336591,1.2916646999999999,,15.131210999999999,0.11,8.528096000000001,,9.368068690281968
31,0.206,1.2791708000000002,640,0.9980341,5.0088669999999995,6.3761114999999995,8.845894,16.311075,8.518609,0.97,16.311075,32,-150.72646,0.9999735999999999,9.684314,31.937092,50.32613468170166,16.74267,,14.833151,1.2799981000000002,,15.121692999999999,0.11,8.532341,,9.371305244419872
